index,n
840153bffffffff-2019-06,1
8402417ffffffff-2022-06,1
84024e9ffffffff-2013-06,2
84024e9ffffffff-2013-07,1
84024e9ffffffff-2014-06,1
84024e9ffffffff-2019-06,1
84024e9ffffffff-2022-07,1
84025cbffffffff-2012-07,2
84025cbffffffff-2021-06,6
84028e3ffffffff-2015-07,1
8402ab3ffffffff-2013-07,3
8402c23ffffffff-2023-06,4
8402c87ffffffff-2023-06,8
8402c99ffffffff-2023-07,4
8402c9bffffffff-2017-09,1
8402c9bffffffff-2023-07,5
8402ca7ffffffff-2023-06,4
8402cabffffffff-2015-08,2
8402cadffffffff-2012-07,1
8402cadffffffff-2013-06,1
8402cadffffffff-2013-07,2
8402cadffffffff-2014-06,1
8402cadffffffff-2014-07,16
8402cadffffffff-2015-07,1
8402cadffffffff-2016-06,2
8402cadffffffff-2016-07,42
8402cadffffffff-2017-06,16
8402cadffffffff-2017-07,16
8402cadffffffff-2018-06,7
8402cadffffffff-2018-07,48
8402cadffffffff-2019-06,2
8402cadffffffff-2019-07,46
8402cadffffffff-2019-08,4
8402cadffffffff-2021-06,1
8402cadffffffff-2021-07,1
8402cadffffffff-2022-06,5
8402cadffffffff-2022-07,88
8402cadffffffff-2022-09,3
8402cadffffffff-2023-06,25
8402cadffffffff-2023-07,61
8402cadffffffff-2023-08,8
8402cadffffffff-2023-09,1
8402cb7ffffffff-2014-06,1
8402cb7ffffffff-2022-06,1
8402cd3ffffffff-2023-06,4
8402ce5ffffffff-2023-06,8
8402ce7ffffffff-2022-07,6
8402d63ffffffff-2012-06,4
8402d63ffffffff-2021-06,1
8402d63ffffffff-2022-08,3
8402da9ffffffff-2022-08,1
8402dc5ffffffff-2023-06,8
84041adffffffff-2017-06,1
8404ccbffffffff-2014-06,2
8404cddffffffff-2014-06,35
8404cddffffffff-2014-07,2
8404eb1ffffffff-2014-05,2
8404eb1ffffffff-2014-06,2
84058c7ffffffff-2019-07,1
8408065ffffffff-2021-05,1
8408805ffffffff-2019-11,1
8408805ffffffff-2020-03,1
8408809ffffffff-2017-04,1
840880bffffffff-2017-03,2
840880bffffffff-2017-04,1
840880dffffffff-2014-04,1
840880dffffffff-2016-03,1
840880dffffffff-2017-10,1
840880dffffffff-2019-03,2
840880dffffffff-2020-03,1
840880dffffffff-2021-03,1
840880dffffffff-2023-04,4
8408829ffffffff-2020-03,2
8408845ffffffff-2019-02,1
8408845ffffffff-2019-03,1
8408847ffffffff-2017-03,1
840884bffffffff-2021-03,1
840884bffffffff-2023-04,1
8408855ffffffff-2018-01,1
8408855ffffffff-2020-10,2
8408863ffffffff-2019-03,1
8408863ffffffff-2023-03,2
8408863ffffffff-2023-10,1
8408865ffffffff-2022-03,1
8408867ffffffff-2012-03,1
8408867ffffffff-2019-03,2
8408867ffffffff-2019-04,2
8408867ffffffff-2022-04,1
8408869ffffffff-2022-02,1
840886dffffffff-2016-04,1
840886dffffffff-2019-03,1
840888dffffffff-2017-03,1
840888dffffffff-2020-03,1
84088a3ffffffff-2020-11,1
84088a9ffffffff-2016-04,2
84088adffffffff-2016-10,2
84088e3ffffffff-2012-03,1
84088e3ffffffff-2016-10,1
84088e3ffffffff-2017-03,1
84088e3ffffffff-2017-04,1
84088e3ffffffff-2020-11,1
84088e3ffffffff-2021-03,3
84088e3ffffffff-2022-03,4
8408937ffffffff-2020-03,1
8408937ffffffff-2020-09,2
8408937ffffffff-2021-10,6
8408937ffffffff-2022-04,1
8408937ffffffff-2023-04,1
8408959ffffffff-2023-03,1
840895bffffffff-2017-05,1
840895bffffffff-2020-03,1
840895bffffffff-2023-11,1
8408961ffffffff-2017-10,1
8408965ffffffff-2021-10,2
840896bffffffff-2023-04,1
8408985ffffffff-2014-04,1
8408985ffffffff-2018-05,1
8408985ffffffff-2022-04,1
8408985ffffffff-2022-05,11
8408985ffffffff-2022-09,1
8408985ffffffff-2023-04,1
8408985ffffffff-2023-10,2
840898bffffffff-2014-10,1
840898bffffffff-2023-03,2
840898bffffffff-2023-04,1
8408991ffffffff-2018-04,2
8408991ffffffff-2021-04,1
8408991ffffffff-2023-04,1
8408995ffffffff-2016-10,1
8408995ffffffff-2017-03,1
8408995ffffffff-2019-03,2
8408995ffffffff-2019-05,1
8408995ffffffff-2020-03,1
8408995ffffffff-2021-03,5
8408995ffffffff-2022-03,2
8408995ffffffff-2022-04,1
8408995ffffffff-2023-03,3
8408995ffffffff-2023-04,5
8408995ffffffff-2023-11,1
8408997ffffffff-2016-03,2
8408997ffffffff-2019-03,2
8408997ffffffff-2021-03,2
8408997ffffffff-2021-04,1
8408997ffffffff-2022-04,4
8408999ffffffff-2020-03,1
840899dffffffff-2019-04,2
840899dffffffff-2019-05,1
840899dffffffff-2019-10,1
840899dffffffff-2021-03,2
84089a1ffffffff-2020-03,2
84089a5ffffffff-2019-04,2
84089a5ffffffff-2020-03,2
84089a9ffffffff-2018-04,1
84089a9ffffffff-2019-04,1
84089a9ffffffff-2019-05,20
