index,n
8476809ffffffff-2023-09,2
8476815ffffffff-2014-10,1
847683bffffffff-2015-10,1
847683bffffffff-2017-10,1
8476845ffffffff-2022-11,1
8476847ffffffff-2022-11,1
847686bffffffff-2022-11,4
84768abffffffff-2016-04,1
84768abffffffff-2017-04,1
84768e5ffffffff-2014-10,1
84769d7ffffffff-2019-08,1
849ed8dffffffff-2017-11,1
849eda1ffffffff-2016-10,1
849eda7ffffffff-2012-09,4
849eda7ffffffff-2015-09,1
849eda7ffffffff-2017-07,2
849eda7ffffffff-2018-06,11
849eda7ffffffff-2018-07,1
849eda9ffffffff-2014-10,1
849ede1ffffffff-2017-10,1
849edebffffffff-2012-04,1
849edebffffffff-2014-10,1
849edebffffffff-2014-11,1
849edebffffffff-2015-01,3
849edebffffffff-2015-03,1
849edebffffffff-2015-09,1
849edebffffffff-2015-10,1
849edebffffffff-2015-12,1
849edebffffffff-2016-02,1
849edebffffffff-2016-03,1
849edebffffffff-2016-04,1
849edebffffffff-2016-08,1
849edebffffffff-2017-04,1
849edebffffffff-2017-07,2
849edebffffffff-2017-10,1
849edebffffffff-2018-07,1
849edebffffffff-2018-08,1
849edebffffffff-2018-09,2
849edebffffffff-2019-03,2
849edebffffffff-2019-10,1
849edebffffffff-2023-03,3
849edebffffffff-2023-04,5
849edebffffffff-2023-05,1
849edebffffffff-2023-07,2
849edebffffffff-2023-08,3
849edebffffffff-2023-09,1
