index,n
84ba241ffffffff-2017-01,1
84ba241ffffffff-2018-01,7
84ba241ffffffff-2019-04,6
84ba241ffffffff-2019-08,8
84ba241ffffffff-2019-10,4
84ba241ffffffff-2019-11,2
84ba241ffffffff-2020-11,2
84ba241ffffffff-2021-01,1
84ba241ffffffff-2021-04,13
84ba241ffffffff-2021-05,1
84ba241ffffffff-2022-01,1
84ba241ffffffff-2022-06,1
84ba241ffffffff-2023-01,1
84ba241ffffffff-2023-02,51
84ba241ffffffff-2023-03,1
84ba24bffffffff-2018-01,2
84ba24bffffffff-2019-04,2
84ba24bffffffff-2019-08,4
84ba24bffffffff-2019-12,2
84ba24bffffffff-2020-11,1
84ba24bffffffff-2021-04,5
84ba24bffffffff-2022-01,7
84ba24bffffffff-2022-06,2
84ba24bffffffff-2022-07,1
84ba24bffffffff-2023-01,2
84ba24bffffffff-2023-02,2
84ba24bffffffff-2023-06,1
84ba24dffffffff-2018-01,2
84ba24dffffffff-2019-08,3
84ba24dffffffff-2019-10,1
84ba24dffffffff-2021-04,4
84ba24dffffffff-2021-08,1
84ba24dffffffff-2022-11,3
84ba24dffffffff-2023-02,37
84bb081ffffffff-2017-12,2
84bb081ffffffff-2018-10,1
84bb081ffffffff-2019-01,1
84bb081ffffffff-2019-09,3
84bb081ffffffff-2019-12,4
84bb081ffffffff-2021-01,36
84bb081ffffffff-2021-10,4
84bb081ffffffff-2022-05,1
84bb081ffffffff-2022-08,1
84bb081ffffffff-2022-12,2
84bb085ffffffff-2015-03,2
84bb085ffffffff-2015-11,1
84bb085ffffffff-2017-03,1
84bb085ffffffff-2017-04,1
84bb085ffffffff-2017-10,6
84bb085ffffffff-2017-12,1
84bb085ffffffff-2018-02,1
84bb085ffffffff-2018-03,1
84bb085ffffffff-2018-11,1
84bb085ffffffff-2019-01,3
84bb085ffffffff-2019-04,5
84bb085ffffffff-2019-06,1
84bb085ffffffff-2019-12,1
84bb085ffffffff-2020-02,2
84bb085ffffffff-2020-09,5
84bb085ffffffff-2021-01,17
84bb085ffffffff-2022-01,1
84bb085ffffffff-2022-07,1
84bb085ffffffff-2022-12,1
84bb085ffffffff-2023-01,1
84bb085ffffffff-2023-02,8
84bb085ffffffff-2023-04,2
84bb089ffffffff-2012-01,2
84bb089ffffffff-2012-11,1
84bb089ffffffff-2012-12,1
84bb089ffffffff-2013-09,1
84bb089ffffffff-2013-10,1
84bb089ffffffff-2014-04,1
84bb089ffffffff-2014-12,2
84bb089ffffffff-2015-03,1
84bb089ffffffff-2015-06,1
84bb089ffffffff-2015-09,1
84bb089ffffffff-2016-01,3
84bb089ffffffff-2016-03,2
84bb089ffffffff-2016-04,4
84bb089ffffffff-2016-06,14
84bb089ffffffff-2016-08,2
84bb089ffffffff-2016-09,4
84bb089ffffffff-2016-10,2
84bb089ffffffff-2016-11,2
84bb089ffffffff-2016-12,2
84bb089ffffffff-2017-01,4
84bb089ffffffff-2017-03,2
84bb089ffffffff-2017-07,2
84bb089ffffffff-2017-08,1
84bb089ffffffff-2017-09,1
84bb089ffffffff-2017-10,5
84bb089ffffffff-2017-11,8
84bb089ffffffff-2017-12,11
84bb089ffffffff-2018-01,3
84bb089ffffffff-2018-02,6
84bb089ffffffff-2018-03,1
84bb089ffffffff-2018-04,5
84bb089ffffffff-2018-05,5
84bb089ffffffff-2018-06,2
84bb089ffffffff-2018-10,6
84bb089ffffffff-2018-11,10
84bb089ffffffff-2019-01,5
84bb089ffffffff-2019-02,4
84bb089ffffffff-2019-03,10
84bb089ffffffff-2019-04,7
84bb089ffffffff-2019-05,6
84bb089ffffffff-2019-06,10
84bb089ffffffff-2019-07,4
84bb089ffffffff-2019-08,2
84bb089ffffffff-2019-09,10
84bb089ffffffff-2019-10,16
84bb089ffffffff-2019-11,32
84bb089ffffffff-2019-12,10
84bb089ffffffff-2020-01,14
84bb089ffffffff-2020-02,11
84bb089ffffffff-2020-03,11
84bb089ffffffff-2020-04,14
84bb089ffffffff-2020-05,11
84bb089ffffffff-2020-06,21
84bb089ffffffff-2020-07,11
