index,n
848b203ffffffff-2022-04,1
848b205ffffffff-2020-10,1
848b205ffffffff-2021-03,1
848b205ffffffff-2021-05,1
848b205ffffffff-2021-09,1
848b205ffffffff-2021-11,1
848b205ffffffff-2022-01,1
848b205ffffffff-2022-10,1
848b205ffffffff-2023-10,1
848b205ffffffff-2023-11,1
848b20dffffffff-2023-03,1
848b211ffffffff-2021-05,5
848b211ffffffff-2022-05,3
848b229ffffffff-2015-03,1
848b229ffffffff-2022-10,1
848b2c5ffffffff-2013-07,2
848b2c5ffffffff-2013-08,3
848b2c5ffffffff-2013-11,2
848b2c5ffffffff-2013-12,1
848b2c5ffffffff-2015-05,2
848b2c5ffffffff-2015-09,1
848b2c5ffffffff-2015-11,1
848b2c5ffffffff-2016-07,2
848b2c5ffffffff-2016-09,1
848b2c5ffffffff-2017-07,2
848b2c5ffffffff-2017-11,1
848b2c5ffffffff-2018-05,1
848b2c5ffffffff-2018-09,4
848b2c5ffffffff-2018-10,2
848b2c5ffffffff-2018-11,1
848b2c5ffffffff-2020-12,2
848b2c5ffffffff-2021-03,5
848b2c5ffffffff-2021-04,4
848b2c5ffffffff-2022-05,1
848b2c5ffffffff-2022-06,10
848b2c5ffffffff-2022-07,5
848b2c5ffffffff-2022-08,4
848b2c5ffffffff-2022-10,5
848b2c5ffffffff-2022-12,3
848b2c5ffffffff-2023-05,4
848b2c5ffffffff-2023-06,1
848b2c5ffffffff-2023-09,12
848b2c5ffffffff-2023-10,1
848b2c5ffffffff-2023-11,3
848b2cdffffffff-2012-08,2
848b2cdffffffff-2012-10,2
848b2cdffffffff-2013-07,2
848b2cdffffffff-2017-10,1
848b2cdffffffff-2018-05,2
848b2cdffffffff-2018-11,4
848b2cdffffffff-2019-05,1
848b2cdffffffff-2020-10,2
848b2cdffffffff-2020-12,4
848b2cdffffffff-2021-05,1
848b2cdffffffff-2021-10,1
848b2cdffffffff-2022-09,7
848b2cdffffffff-2022-10,1
848b2cdffffffff-2023-04,2
848b2cdffffffff-2023-05,1
848b2cdffffffff-2023-09,4
848b2cdffffffff-2023-10,2
848b2cdffffffff-2023-11,1
848b2dbffffffff-2015-09,6
848b2dbffffffff-2015-10,1
848b2dbffffffff-2018-04,2
848b2dbffffffff-2020-04,3
848b2dbffffffff-2020-05,2
848b2dbffffffff-2020-07,1
848b2dbffffffff-2022-07,1
848b611ffffffff-2019-09,2
848b611ffffffff-2023-11,1
848b613ffffffff-2022-11,14
848b617ffffffff-2012-04,3
848b617ffffffff-2012-07,1
848b617ffffffff-2012-10,2
848b617ffffffff-2012-11,1
848b617ffffffff-2013-01,1
848b617ffffffff-2013-04,1
848b617ffffffff-2013-07,6
848b617ffffffff-2013-08,5
848b617ffffffff-2013-09,1
848b617ffffffff-2013-10,13
848b617ffffffff-2013-11,2
848b617ffffffff-2013-12,2
848b617ffffffff-2014-05,1
848b617ffffffff-2014-06,2
848b617ffffffff-2014-07,2
848b617ffffffff-2014-08,3
848b617ffffffff-2014-09,5
848b617ffffffff-2014-10,7
848b617ffffffff-2014-11,1
848b617ffffffff-2015-01,1
