index,n
84260a3ffffffff-2021-09,15
842618bffffffff-2018-04,1
8426245ffffffff-2015-11,8
8426405ffffffff-2021-04,1
8426439ffffffff-2012-01,3
8426449ffffffff-2018-09,3
84264e5ffffffff-2021-10,1
8426537ffffffff-2020-03,8
8426561ffffffff-2019-11,21
8426561ffffffff-2019-12,6
8426567ffffffff-2017-03,3
8426595ffffffff-2018-12,3
8426595ffffffff-2019-01,2
8426597ffffffff-2020-02,14
842659dffffffff-2017-10,7
84265b3ffffffff-2012-11,3
84265b3ffffffff-2012-12,6
84265b3ffffffff-2013-01,1
84265b5ffffffff-2023-02,5
84265b7ffffffff-2016-12,3
84265b7ffffffff-2022-03,5
84265d3ffffffff-2018-10,1
84265dbffffffff-2020-12,65
84265dbffffffff-2021-01,17
8426689ffffffff-2021-09,57
84266a1ffffffff-2023-11,31
84266adffffffff-2019-12,1
842681bffffffff-2018-09,22
842681bffffffff-2018-10,97
842681bffffffff-2018-11,46
842681bffffffff-2018-12,21
8426881ffffffff-2018-04,1
8426883ffffffff-2019-05,1
8426889ffffffff-2016-05,1
8426889ffffffff-2018-04,67
8426889ffffffff-2022-06,1
8426889ffffffff-2023-04,16
8426891ffffffff-2018-06,1
8426891ffffffff-2018-07,6
8426891ffffffff-2018-08,26
8426891ffffffff-2019-05,5
8426891ffffffff-2020-04,1
8426891ffffffff-2020-05,12
8426891ffffffff-2020-06,1
8426891ffffffff-2020-07,3
8426891ffffffff-2021-04,3
8426891ffffffff-2021-05,6
8426891ffffffff-2021-08,1
8426891ffffffff-2022-04,2
842689bffffffff-2023-04,1
84268b3ffffffff-2018-06,2
84268b9ffffffff-2021-05,1
84268c7ffffffff-2020-04,29
84268c7ffffffff-2022-05,101
84268c7ffffffff-2022-06,20
84268c7ffffffff-2022-07,12
84268c7ffffffff-2023-04,36
84268cdffffffff-2015-04,1
84268cdffffffff-2016-04,62
84268cdffffffff-2018-03,2
84268cdffffffff-2018-05,35
84268cdffffffff-2020-09,35
84268cdffffffff-2020-10,7
84268cdffffffff-2022-05,1
84268cdffffffff-2023-08,1
84268d1ffffffff-2016-04,3
84268d5ffffffff-2012-04,2
8426905ffffffff-2020-10,23
8426905ffffffff-2020-11,10
8426929ffffffff-2023-05,2
842692bffffffff-2020-04,1
8426961ffffffff-2015-09,5
8426961ffffffff-2023-09,7
8426963ffffffff-2023-10,77
8426963ffffffff-2023-11,49
8426969ffffffff-2016-12,26
8426969ffffffff-2017-11,3
8426969ffffffff-2017-12,14
8426969ffffffff-2020-10,1
8426969ffffffff-2023-10,1
8426969ffffffff-2023-11,6
8426989ffffffff-2017-10,3
8426995ffffffff-2020-10,1
8426995ffffffff-2021-05,4
84269a1ffffffff-2014-05,1
84269abffffffff-2021-05,5
84269abffffffff-2021-06,1
84269c3ffffffff-2023-10,1
84269e1ffffffff-2021-04,2
8426a9dffffffff-2021-05,1
8426aa5ffffffff-2018-04,9
8426aa5ffffffff-2023-05,15
8426aadffffffff-2023-04,14
8426c23ffffffff-2023-06,1
8426c35ffffffff-2021-06,1
8426c3bffffffff-2018-04,1
8426c4dffffffff-2019-04,1
8426c69ffffffff-2023-05,2
8426c81ffffffff-2017-02,1
8426c81ffffffff-2020-03,4
8426c83ffffffff-2015-10,2
8426c83ffffffff-2020-03,1
8426c83ffffffff-2020-05,1
8426c87ffffffff-2015-09,3
8426c87ffffffff-2016-04,1
8426c87ffffffff-2017-03,1
8426c87ffffffff-2018-03,3
8426c87ffffffff-2018-09,1
8426c87ffffffff-2020-03,1
8426c87ffffffff-2021-03,1
8426c87ffffffff-2023-03,1
8426c87ffffffff-2023-08,1
8426c91ffffffff-2023-10,1
8426ca1ffffffff-2023-08,6
8426ca1ffffffff-2023-09,4
8426ca1ffffffff-2023-10,4
8426ca5ffffffff-2014-08,1
8426ca5ffffffff-2015-10,1
8426ca5ffffffff-2018-07,1
8426ca5ffffffff-2021-05,1
8426ca5ffffffff-2022-05,1
8426ca5ffffffff-2023-03,1
8426ca5ffffffff-2023-05,1
8426ca7ffffffff-2016-05,1
8426ca7ffffffff-2016-06,3
8426ca7ffffffff-2016-07,1
8426ca7ffffffff-2016-08,2
8426ca7ffffffff-2017-05,2
8426ca7ffffffff-2018-04,2
8426ca7ffffffff-2018-05,1
8426ca7ffffffff-2020-04,1
8426ca7ffffffff-2020-05,1
8426ca9ffffffff-2022-04,1
8426cb9ffffffff-2013-08,1
8426cb9ffffffff-2014-08,1
8426cb9ffffffff-2015-11,10
8426cb9ffffffff-2015-12,7
8426cb9ffffffff-2016-01,15
8426cb9ffffffff-2016-02,14
8426cb9ffffffff-2016-03,10
8426cb9ffffffff-2016-04,17
