index,n
8466a03ffffffff-2014-03,1
8466a03ffffffff-2016-03,2
8466a03ffffffff-2016-04,1
8466a03ffffffff-2018-04,1
8466a03ffffffff-2019-01,1
8466a03ffffffff-2019-04,1
8466a03ffffffff-2019-11,1
8466a03ffffffff-2020-01,3
8466a03ffffffff-2020-08,2
8466a03ffffffff-2021-11,1
8466a03ffffffff-2022-08,1
8466a03ffffffff-2023-11,5
8466a07ffffffff-2020-05,2
8466a07ffffffff-2021-02,1
8466a07ffffffff-2022-03,1
8466a0bffffffff-2015-03,3
8466a0bffffffff-2017-01,1
8466a0bffffffff-2018-04,1
8466a0bffffffff-2020-08,3
8466a0bffffffff-2020-10,2
8466a0bffffffff-2021-02,2
8466a0bffffffff-2021-04,1
8466a0bffffffff-2022-04,4
8466a15ffffffff-2017-05,2
8466a15ffffffff-2019-04,2
8466a15ffffffff-2019-05,3
8466a15ffffffff-2020-01,2
8466a15ffffffff-2020-02,1
8466a15ffffffff-2020-04,1
8466a15ffffffff-2020-05,17
8466a15ffffffff-2021-02,1
8466a15ffffffff-2021-09,2
8466a15ffffffff-2022-04,2
8466a17ffffffff-2019-01,1
8466a17ffffffff-2019-02,1
8466a17ffffffff-2019-03,3
8466a17ffffffff-2019-05,1
8466a17ffffffff-2020-01,1
8466a17ffffffff-2020-05,2
8466a17ffffffff-2020-06,1
8466a17ffffffff-2021-05,5
8466a17ffffffff-2021-10,1
8466a17ffffffff-2022-02,2
8466a17ffffffff-2022-03,4
8466a17ffffffff-2022-04,1
8466a17ffffffff-2022-05,4
8466a1dffffffff-2012-02,1
8466a1dffffffff-2012-03,1
8466a1dffffffff-2012-05,1
8466a1dffffffff-2012-08,1
8466a1dffffffff-2012-09,1
8466a1dffffffff-2012-10,1
8466a1dffffffff-2012-11,1
8466a1dffffffff-2012-12,1
8466a1dffffffff-2013-03,1
8466a1dffffffff-2013-04,4
8466a1dffffffff-2013-10,2
8466a1dffffffff-2013-11,1
8466a1dffffffff-2014-01,1
8466a1dffffffff-2014-03,8
8466a1dffffffff-2014-04,3
8466a1dffffffff-2014-07,2
8466a1dffffffff-2014-11,5
8466a1dffffffff-2014-12,5
8466a1dffffffff-2015-01,1
8466a1dffffffff-2015-02,1
8466a1dffffffff-2015-03,3
8466a1dffffffff-2015-04,3
8466a1dffffffff-2015-05,1
8466a1dffffffff-2015-09,2
8466a1dffffffff-2015-10,1
8466a1dffffffff-2015-11,1
8466a1dffffffff-2015-12,4
8466a1dffffffff-2016-01,2
8466a1dffffffff-2016-02,4
8466a1dffffffff-2016-03,5
8466a1dffffffff-2016-04,8
8466a1dffffffff-2016-09,2
8466a1dffffffff-2016-10,2
8466a1dffffffff-2016-11,1
8466a1dffffffff-2016-12,2
8466a1dffffffff-2017-01,2
8466a1dffffffff-2017-02,2
8466a1dffffffff-2017-03,6
8466a1dffffffff-2017-04,3
8466a1dffffffff-2017-05,2
8466a1dffffffff-2017-09,3
8466a1dffffffff-2017-10,6
8466a1dffffffff-2017-11,1
8466a1dffffffff-2017-12,1
8466a1dffffffff-2018-01,1
8466a1dffffffff-2018-02,7
8466a1dffffffff-2018-03,11
8466a1dffffffff-2018-04,5
8466a1dffffffff-2018-05,2
8466a1dffffffff-2018-09,1
8466a1dffffffff-2018-10,4
8466a1dffffffff-2018-11,2
8466a1dffffffff-2018-12,6
8466a1dffffffff-2019-01,5
8466a1dffffffff-2019-02,6
8466a1dffffffff-2019-03,6
8466a1dffffffff-2019-04,7
8466a1dffffffff-2019-05,2
8466a1dffffffff-2019-07,1
8466a1dffffffff-2019-08,1
8466a1dffffffff-2019-09,5
8466a1dffffffff-2019-10,1
8466a1dffffffff-2019-11,7
8466a1dffffffff-2019-12,5
8466a1dffffffff-2020-01,12
8466a1dffffffff-2020-02,6
8466a1dffffffff-2020-03,9
8466a1dffffffff-2020-05,1
8466a1dffffffff-2020-08,1
8466a1dffffffff-2021-01,1
8466a1dffffffff-2021-02,5
8466a1dffffffff-2021-03,1
8466a1dffffffff-2021-05,1
8466a1dffffffff-2021-08,1
8466a1dffffffff-2021-09,11
8466a1dffffffff-2021-10,15
8466a1dffffffff-2021-11,19
8466a1dffffffff-2021-12,6
8466a1dffffffff-2022-01,18
8466a1dffffffff-2022-02,27
8466a1dffffffff-2022-03,12
8466a1dffffffff-2022-04,12
8466a1dffffffff-2022-05,26
8466a1dffffffff-2022-07,1
8466a1dffffffff-2022-08,5
8466a1dffffffff-2022-09,26
8466a1dffffffff-2022-10,20
8466a1dffffffff-2022-11,11
8466a1dffffffff-2022-12,11
8466a1dffffffff-2023-01,38
8466a1dffffffff-2023-02,31
8466a1dffffffff-2023-03,33
8466a1dffffffff-2023-04,18
8466a1dffffffff-2023-05,4
8466a1dffffffff-2023-09,7
8466a1dffffffff-2023-10,19
8466a1dffffffff-2023-11,14
8466a21ffffffff-2013-03,1
8466a21ffffffff-2013-11,1
8466a21ffffffff-2014-10,1
8466a21ffffffff-2015-02,2
8466a21ffffffff-2015-03,1
8466a21ffffffff-2015-10,5
8466a21ffffffff-2017-03,1
8466a21ffffffff-2018-01,1
8466a21ffffffff-2018-03,3
8466a21ffffffff-2019-02,1
8466a21ffffffff-2019-03,5
8466a21ffffffff-2019-04,1
8466a21ffffffff-2019-10,1
8466a21ffffffff-2019-11,2
8466a21ffffffff-2019-12,2
8466a21ffffffff-2021-01,1
8466a21ffffffff-2021-10,2
8466a21ffffffff-2021-11,2
8466a21ffffffff-2022-01,3
8466a21ffffffff-2022-02,5
8466a21ffffffff-2022-04,1
8466a21ffffffff-2023-02,1
8466a23ffffffff-2018-10,1
8466a23ffffffff-2020-09,1
8466a25ffffffff-2012-03,1
8466a25ffffffff-2019-01,1
8466a25ffffffff-2019-02,2
8466a25ffffffff-2019-11,3
8466a25ffffffff-2019-12,1
8466a25ffffffff-2022-04,2
8466a25ffffffff-2022-05,3
8466a25ffffffff-2022-06,1
8466a25ffffffff-2022-07,2
8466a25ffffffff-2022-12,1
8466a25ffffffff-2023-04,1
8466a2dffffffff-2022-09,1
8466a31ffffffff-2012-05,1
8466a31ffffffff-2015-05,1
8466a31ffffffff-2016-03,1
8466a31ffffffff-2019-03,3
8466a31ffffffff-2020-04,1
8466a31ffffffff-2022-01,7
8466a31ffffffff-2022-02,1
8466a31ffffffff-2023-02,1
8466a31ffffffff-2023-07,1
8466a33ffffffff-2013-02,1
8466a33ffffffff-2015-01,1
8466a33ffffffff-2015-03,1
8466a33ffffffff-2016-01,1
8466a33ffffffff-2019-01,1
8466a33ffffffff-2019-02,1
8466a33ffffffff-2022-01,3
8466a37ffffffff-2014-01,1
8466a39ffffffff-2016-04,2
8466a39ffffffff-2020-02,5
8466a39ffffffff-2020-05,2
8466a39ffffffff-2020-08,1
8466a39ffffffff-2020-12,1
8466a39ffffffff-2022-01,1
8466a39ffffffff-2022-11,1
8466a3bffffffff-2020-05,1
8466a3bffffffff-2020-10,2
8466a3bffffffff-2021-03,11
8466a3bffffffff-2021-04,1
8466a3bffffffff-2022-04,2
8466a3bffffffff-2022-11,2
8466a3bffffffff-2023-03,1
8466a3dffffffff-2018-10,2
8466a3dffffffff-2021-01,1
8466a3dffffffff-2021-02,2
8466a3dffffffff-2022-01,1
8466a3dffffffff-2022-03,12
8466a3dffffffff-2022-05,2
8466aedffffffff-2014-02,1
8466aedffffffff-2015-02,1
8466aedffffffff-2018-07,2
8466aedffffffff-2020-12,1
8466aedffffffff-2021-11,1
8466aedffffffff-2021-12,12
8466aedffffffff-2022-02,2
8466aedffffffff-2022-04,3
8466aedffffffff-2023-02,1
8466b01ffffffff-2018-06,5
8466b01ffffffff-2018-07,2
8466b01ffffffff-2019-06,1
8466b01ffffffff-2021-07,9
8466b01ffffffff-2022-08,2
8466b01ffffffff-2023-06,5
8466b01ffffffff-2023-07,1
8466b09ffffffff-2012-12,2
8466b09ffffffff-2013-09,1
8466b09ffffffff-2015-02,1
8466b09ffffffff-2015-10,1
8466b09ffffffff-2016-01,1
8466b09ffffffff-2017-07,1
8466b09ffffffff-2017-09,1
8466b09ffffffff-2018-02,1
8466b09ffffffff-2018-05,1
8466b09ffffffff-2018-07,3
8466b09ffffffff-2018-08,2
8466b09ffffffff-2018-11,1
8466b09ffffffff-2019-02,6
8466b09ffffffff-2019-04,1
8466b09ffffffff-2019-07,4
8466b09ffffffff-2019-08,2
8466b09ffffffff-2019-09,1
8466b09ffffffff-2019-10,2
8466b09ffffffff-2020-02,1
8466b09ffffffff-2020-05,1
8466b09ffffffff-2020-08,1
8466b09ffffffff-2021-02,1
8466b09ffffffff-2021-03,1
8466b09ffffffff-2021-05,1
8466b09ffffffff-2021-06,1
8466b09ffffffff-2021-07,4
8466b09ffffffff-2021-08,1
8466b09ffffffff-2021-09,2
8466b09ffffffff-2022-01,1
8466b09ffffffff-2022-04,5
8466b09ffffffff-2022-05,1
8466b09ffffffff-2022-07,3
8466b09ffffffff-2023-01,3
8466b09ffffffff-2023-02,4
8466b09ffffffff-2023-04,12
8466b09ffffffff-2023-05,21
8466b09ffffffff-2023-06,10
8466b09ffffffff-2023-07,7
8466b09ffffffff-2023-08,4
8466b0bffffffff-2012-01,1
8466b0bffffffff-2014-02,1
8466b0bffffffff-2014-07,2
8466b0bffffffff-2015-02,3
8466b0bffffffff-2015-11,1
8466b0bffffffff-2016-12,3
8466b0bffffffff-2017-01,3
8466b0bffffffff-2017-03,2
8466b0bffffffff-2017-05,2
8466b0bffffffff-2017-12,2
8466b0bffffffff-2018-01,1
8466b0bffffffff-2018-02,7
8466b0bffffffff-2018-05,1
8466b0bffffffff-2018-12,2
8466b0bffffffff-2019-01,3
8466b0bffffffff-2019-03,3
8466b0bffffffff-2019-06,1
8466b0bffffffff-2019-12,7
8466b0bffffffff-2020-02,13
8466b0bffffffff-2020-03,4
8466b0bffffffff-2020-12,4
8466b0bffffffff-2021-01,2
8466b0bffffffff-2021-07,1
8466b0bffffffff-2021-12,3
8466b0bffffffff-2022-01,3
8466b0bffffffff-2022-02,3
8466b0bffffffff-2022-04,2
8466b0bffffffff-2022-12,3
8466b0bffffffff-2023-01,2
8466b0bffffffff-2023-02,3
8466b0bffffffff-2023-03,4
8466b0bffffffff-2023-04,2
8466b0bffffffff-2023-05,2
8466b0bffffffff-2023-06,1
8466b0bffffffff-2023-10,3
8466b19ffffffff-2012-08,1
8466b19ffffffff-2013-01,1
8466b19ffffffff-2013-10,2
8466b19ffffffff-2015-05,1
8466b19ffffffff-2015-11,1
8466b19ffffffff-2016-08,1
8466b19ffffffff-2017-06,1
8466b19ffffffff-2017-08,3
8466b19ffffffff-2018-04,1
8466b19ffffffff-2018-06,4
8466b19ffffffff-2018-07,1
8466b19ffffffff-2018-11,2
8466b19ffffffff-2018-12,3
8466b19ffffffff-2019-04,1
8466b19ffffffff-2019-09,2
8466b19ffffffff-2019-12,3
8466b19ffffffff-2020-01,5
8466b19ffffffff-2020-02,2
8466b19ffffffff-2020-09,1
8466b19ffffffff-2021-02,3
8466b19ffffffff-2021-03,2
8466b19ffffffff-2021-05,1
8466b19ffffffff-2021-09,1
8466b19ffffffff-2021-10,3
8466b19ffffffff-2021-11,14
8466b19ffffffff-2021-12,3
8466b19ffffffff-2022-01,3
8466b19ffffffff-2022-02,9
8466b19ffffffff-2022-03,4
8466b19ffffffff-2022-04,4
8466b19ffffffff-2022-09,1
8466b19ffffffff-2022-10,2
8466b19ffffffff-2022-11,9
8466b19ffffffff-2022-12,4
8466b19ffffffff-2023-01,2
8466b19ffffffff-2023-02,1
8466b19ffffffff-2023-03,1
8466b19ffffffff-2023-04,1
8466b19ffffffff-2023-06,1
8466b19ffffffff-2023-07,3
8466b19ffffffff-2023-09,2
8466b19ffffffff-2023-10,2
8466b1dffffffff-2014-03,2
8466b1dffffffff-2018-10,4
8466b1dffffffff-2018-11,2
8466b1dffffffff-2020-12,1
8466b1dffffffff-2021-10,4
8466b1dffffffff-2023-10,2
8466b41ffffffff-2020-03,2
8466b43ffffffff-2023-01,1
8466b45ffffffff-2015-04,1
8466b45ffffffff-2018-02,2
8466b47ffffffff-2022-08,1
8466b51ffffffff-2018-01,2
8466b51ffffffff-2020-01,1
8466b51ffffffff-2021-10,3
8466b51ffffffff-2021-11,2
8466b51ffffffff-2022-02,1
8466b53ffffffff-2012-02,1
8466b53ffffffff-2013-02,1
8466b53ffffffff-2014-01,1
8466b53ffffffff-2014-02,3
8466b53ffffffff-2014-08,1
8466b53ffffffff-2015-01,2
8466b53ffffffff-2015-04,1
8466b53ffffffff-2015-06,1
8466b53ffffffff-2015-07,1
8466b53ffffffff-2015-08,2
8466b53ffffffff-2016-02,4
8466b53ffffffff-2016-03,5
8466b53ffffffff-2016-12,1
8466b53ffffffff-2017-03,1
8466b53ffffffff-2017-04,5
8466b53ffffffff-2017-11,2
8466b53ffffffff-2017-12,1
8466b53ffffffff-2018-01,1
8466b53ffffffff-2018-03,3
8466b53ffffffff-2018-04,8
8466b53ffffffff-2018-05,10
8466b53ffffffff-2018-08,2
8466b53ffffffff-2018-11,2
8466b53ffffffff-2018-12,7
8466b53ffffffff-2019-01,10
8466b53ffffffff-2019-02,3
8466b53ffffffff-2019-03,12
8466b53ffffffff-2019-04,22
8466b53ffffffff-2019-05,1
8466b53ffffffff-2019-08,2
8466b53ffffffff-2019-11,1
8466b53ffffffff-2019-12,3
8466b53ffffffff-2020-01,8
8466b53ffffffff-2020-02,3
8466b53ffffffff-2020-03,8
8466b53ffffffff-2020-04,2
8466b53ffffffff-2020-05,10
8466b53ffffffff-2020-06,5
8466b53ffffffff-2020-10,11
8466b53ffffffff-2020-11,4
8466b53ffffffff-2020-12,3
8466b53ffffffff-2021-01,11
8466b53ffffffff-2021-02,20
8466b53ffffffff-2021-03,28
8466b53ffffffff-2021-04,6
8466b53ffffffff-2021-05,1
8466b53ffffffff-2021-06,1
8466b53ffffffff-2021-07,1
8466b53ffffffff-2021-10,3
8466b53ffffffff-2021-11,4
8466b53ffffffff-2021-12,5
8466b53ffffffff-2022-01,7
8466b53ffffffff-2022-02,11
8466b53ffffffff-2022-03,2
8466b53ffffffff-2022-04,8
8466b53ffffffff-2022-05,4
8466b53ffffffff-2022-07,2
8466b53ffffffff-2022-09,1
8466b53ffffffff-2022-10,3
8466b53ffffffff-2022-11,2
8466b53ffffffff-2022-12,2
8466b53ffffffff-2023-01,4
8466b53ffffffff-2023-02,10
8466b53ffffffff-2023-03,6
8466b53ffffffff-2023-04,5
8466b53ffffffff-2023-05,1
8466b53ffffffff-2023-06,2
8466b53ffffffff-2023-09,1
8466b53ffffffff-2023-10,4
8466b53ffffffff-2023-11,5
8466b55ffffffff-2012-01,1
8466b55ffffffff-2012-05,1
8466b55ffffffff-2013-01,2
8466b55ffffffff-2013-02,1
8466b55ffffffff-2013-12,1
8466b55ffffffff-2014-01,7
8466b55ffffffff-2014-02,4
8466b55ffffffff-2015-01,4
8466b55ffffffff-2015-03,1
8466b55ffffffff-2016-02,1
8466b55ffffffff-2017-02,2
8466b55ffffffff-2017-04,1
8466b55ffffffff-2018-01,1
8466b55ffffffff-2018-02,3
8466b55ffffffff-2018-03,1
8466b55ffffffff-2018-05,1
8466b55ffffffff-2019-01,1
8466b55ffffffff-2019-02,6
8466b55ffffffff-2020-01,6
8466b55ffffffff-2021-02,1
8466b55ffffffff-2021-03,2
8466b55ffffffff-2021-04,1
8466b55ffffffff-2021-06,1
8466b55ffffffff-2021-12,1
8466b55ffffffff-2022-01,1
8466b55ffffffff-2022-02,13
8466b55ffffffff-2023-01,3
8466b55ffffffff-2023-02,2
8466b55ffffffff-2023-04,1
8466b55ffffffff-2023-05,10
8466b55ffffffff-2023-08,1
8466b55ffffffff-2023-09,3
8466b55ffffffff-2023-10,1
8466b57ffffffff-2014-01,2
8466b57ffffffff-2014-02,4
8466b57ffffffff-2014-09,4
8466b57ffffffff-2014-10,1
8466b57ffffffff-2014-12,2
8466b57ffffffff-2015-01,1
8466b57ffffffff-2015-03,1
8466b57ffffffff-2015-09,2
8466b57ffffffff-2015-12,2
8466b57ffffffff-2016-01,3
8466b57ffffffff-2016-02,1
