index,n
840c03bffffffff-2022-06,1
840c051ffffffff-2014-05,1
840c051ffffffff-2017-06,8
840c051ffffffff-2018-06,6
840c051ffffffff-2022-06,1
840c051ffffffff-2023-06,2
840c0a1ffffffff-2017-05,1
840c0a1ffffffff-2021-06,1
840c0a1ffffffff-2021-07,1
840c0a1ffffffff-2022-05,1
840c0adffffffff-2014-06,1
840c0adffffffff-2017-05,1
840c0b7ffffffff-2021-06,2
840c0c3ffffffff-2022-07,1
840c0c7ffffffff-2017-05,6
840c0c7ffffffff-2020-05,1
840c0c7ffffffff-2021-05,2
840c0c7ffffffff-2022-06,1
840c0c7ffffffff-2022-07,1
840c0c7ffffffff-2023-05,3
840c0c7ffffffff-2023-06,1
840c181ffffffff-2021-05,1
840c185ffffffff-2021-06,3
840c199ffffffff-2022-06,1
840c199ffffffff-2022-07,1
840c1b1ffffffff-2021-06,2
840c1b1ffffffff-2021-07,5
840c1b1ffffffff-2023-05,1
840c1b1ffffffff-2023-07,1
840c1ddffffffff-2023-07,1
840c213ffffffff-2019-06,15
840c289ffffffff-2021-06,1
840c297ffffffff-2017-05,1
840c297ffffffff-2017-06,2
840c297ffffffff-2018-06,8
840c297ffffffff-2018-07,1
840c297ffffffff-2019-06,2
840c297ffffffff-2021-06,1
840c297ffffffff-2021-07,1
840c297ffffffff-2023-06,2
840c2d5ffffffff-2018-06,1
840c2d5ffffffff-2019-06,1
840c2d5ffffffff-2023-05,1
840c2d9ffffffff-2017-05,1
840c2dbffffffff-2012-06,2
840c2dbffffffff-2017-06,2
840c2dbffffffff-2023-07,1
840c341ffffffff-2021-07,1
840c409ffffffff-2014-07,1
840c415ffffffff-2012-09,1
840c415ffffffff-2013-08,12
840c415ffffffff-2014-08,4
840c415ffffffff-2018-05,1
840c421ffffffff-2014-06,1
840c421ffffffff-2018-07,1
840c421ffffffff-2022-05,1
840c421ffffffff-2023-07,2
840c425ffffffff-2014-06,1
840c425ffffffff-2016-07,1
840c425ffffffff-2017-06,2
840c425ffffffff-2019-07,3
840c425ffffffff-2022-06,1
840c425ffffffff-2023-06,2
840c427ffffffff-2012-06,1
840c42dffffffff-2012-05,8
840c42dffffffff-2012-06,15
840c42dffffffff-2012-07,31
840c42dffffffff-2013-05,26
840c42dffffffff-2013-06,34
840c42dffffffff-2013-07,14
840c42dffffffff-2014-04,1
840c42dffffffff-2014-05,13
840c42dffffffff-2014-06,62
840c42dffffffff-2014-07,14
840c42dffffffff-2014-08,2
840c42dffffffff-2015-05,20
840c42dffffffff-2015-06,97
840c42dffffffff-2015-07,9
840c42dffffffff-2016-04,2
840c42dffffffff-2016-05,29
840c42dffffffff-2016-06,46
840c42dffffffff-2016-07,9
840c42dffffffff-2017-04,1
840c42dffffffff-2017-05,36
840c42dffffffff-2017-06,105
840c42dffffffff-2017-07,16
840c42dffffffff-2018-05,28
840c42dffffffff-2018-06,175
840c42dffffffff-2018-07,30
840c42dffffffff-2018-08,3
840c42dffffffff-2019-05,47
840c42dffffffff-2019-06,260
840c42dffffffff-2019-07,60
840c42dffffffff-2019-08,1
840c42dffffffff-2020-04,7
840c42dffffffff-2020-05,26
840c42dffffffff-2020-06,11
840c42dffffffff-2020-07,8
840c42dffffffff-2021-04,10
840c42dffffffff-2021-05,31
840c42dffffffff-2021-06,287
840c42dffffffff-2021-07,37
840c42dffffffff-2021-08,2
840c42dffffffff-2022-05,60
840c42dffffffff-2022-06,190
840c42dffffffff-2022-07,51
840c42dffffffff-2022-08,1
840c42dffffffff-2023-05,61
840c42dffffffff-2023-06,228
840c42dffffffff-2023-07,63
840c42dffffffff-2023-08,1
840c441ffffffff-2012-05,1
840c441ffffffff-2012-06,1
840c441ffffffff-2012-07,2
840c441ffffffff-2013-05,1
840c441ffffffff-2013-06,1
840c441ffffffff-2014-05,1
840c441ffffffff-2014-06,3
840c441ffffffff-2014-07,2
840c441ffffffff-2015-05,1
840c441ffffffff-2015-06,1
840c441ffffffff-2016-06,4
840c441ffffffff-2016-07,8
840c441ffffffff-2017-05,3
840c441ffffffff-2017-06,2
840c441ffffffff-2017-07,2
840c441ffffffff-2018-05,9
840c441ffffffff-2018-06,8
840c441ffffffff-2018-07,2
840c441ffffffff-2019-05,2
840c441ffffffff-2019-06,11
840c441ffffffff-2019-07,2
840c441ffffffff-2020-06,2
840c441ffffffff-2021-05,7
840c441ffffffff-2021-06,3
840c441ffffffff-2021-07,3
840c441ffffffff-2022-05,1
840c441ffffffff-2022-06,21
840c441ffffffff-2022-07,10
840c441ffffffff-2023-05,8
840c441ffffffff-2023-07,9
840c441ffffffff-2023-08,1
840c445ffffffff-2022-07,1
840c44bffffffff-2018-06,2
840c44bffffffff-2019-06,3
840c44bffffffff-2022-05,2
840c44bffffffff-2023-06,3
840c451ffffffff-2018-05,4
840c451ffffffff-2019-05,2
840c455ffffffff-2012-05,1
840c455ffffffff-2012-06,2
840c455ffffffff-2013-05,4
840c455ffffffff-2013-06,1
840c455ffffffff-2013-07,1
840c455ffffffff-2014-05,1
840c455ffffffff-2014-07,1
840c455ffffffff-2015-06,1
840c455ffffffff-2016-05,4
840c455ffffffff-2016-06,1
840c455ffffffff-2016-07,3
840c455ffffffff-2017-05,3
840c455ffffffff-2017-06,4
840c455ffffffff-2017-07,11
840c455ffffffff-2017-08,2
840c455ffffffff-2018-05,6
840c455ffffffff-2018-06,4
840c455ffffffff-2018-07,5
840c455ffffffff-2019-05,5
840c455ffffffff-2019-06,2
840c455ffffffff-2019-07,2
840c455ffffffff-2020-05,12
840c455ffffffff-2020-06,2
840c455ffffffff-2021-05,3
840c455ffffffff-2021-06,3
840c455ffffffff-2021-07,2
840c455ffffffff-2022-05,9
840c455ffffffff-2022-06,3
840c455ffffffff-2022-07,1
840c455ffffffff-2023-05,12
840c455ffffffff-2023-06,2
840c455ffffffff-2023-07,3
840c461ffffffff-2012-05,2
840c461ffffffff-2014-05,2
840c461ffffffff-2014-06,1
840c461ffffffff-2014-07,1
840c461ffffffff-2015-05,1
840c461ffffffff-2016-05,1
840c461ffffffff-2016-06,4
840c461ffffffff-2016-07,7
840c461ffffffff-2017-05,1
840c461ffffffff-2017-06,2
840c461ffffffff-2018-05,6
840c461ffffffff-2018-06,4
840c461ffffffff-2018-07,3
840c461ffffffff-2019-06,17
840c461ffffffff-2019-07,2
840c461ffffffff-2020-05,1
840c461ffffffff-2020-06,2
840c461ffffffff-2020-07,1
840c461ffffffff-2021-06,10
840c461ffffffff-2021-07,3
840c461ffffffff-2021-08,2
840c461ffffffff-2022-05,3
840c461ffffffff-2022-06,6
840c461ffffffff-2022-07,2
840c461ffffffff-2023-05,2
840c461ffffffff-2023-06,5
840c461ffffffff-2023-07,11
840c465ffffffff-2012-05,5
840c465ffffffff-2012-06,4
840c465ffffffff-2012-07,4
840c465ffffffff-2013-05,7
840c465ffffffff-2013-06,5
840c465ffffffff-2013-07,1
840c465ffffffff-2014-05,1
840c465ffffffff-2014-06,7
840c465ffffffff-2014-07,1
840c465ffffffff-2015-05,2
840c465ffffffff-2015-06,22
840c465ffffffff-2015-07,3
840c465ffffffff-2016-05,2
840c465ffffffff-2016-06,16
840c465ffffffff-2016-07,3
