index,n
84ac125ffffffff-2022-05,1
84ac209ffffffff-2018-11,1
84ad34dffffffff-2016-09,1
84ad34dffffffff-2016-10,1
84b9081ffffffff-2016-11,1
84bb0a9ffffffff-2023-11,1
84bb0adffffffff-2020-07,5
84bb295ffffffff-2021-06,2
84bb2dbffffffff-2013-03,1
84bb2dbffffffff-2013-11,2
84bb2dbffffffff-2019-10,3
84bb2dbffffffff-2023-02,4
84bb537ffffffff-2022-12,4
84bc027ffffffff-2022-01,3
84bc1adffffffff-2022-01,2
84bc1e7ffffffff-2022-01,2
84be0c1ffffffff-2019-10,1
84be0e1ffffffff-2022-09,3
84be0e3ffffffff-2018-09,1
84be0e3ffffffff-2018-10,1
84be0e3ffffffff-2021-05,4
84be0e3ffffffff-2022-07,1
84be0e3ffffffff-2023-08,3
84be689ffffffff-2016-06,1
84be689ffffffff-2017-04,6
84be689ffffffff-2017-05,1
84be689ffffffff-2017-06,1
84be689ffffffff-2019-05,1
84be689ffffffff-2020-03,1
84be689ffffffff-2021-03,10
84be689ffffffff-2022-05,5
84be689ffffffff-2023-02,2
84be689ffffffff-2023-03,5
84be689ffffffff-2023-08,1
84be689ffffffff-2023-11,6
84be68bffffffff-2016-12,1
84be691ffffffff-2019-06,1
84be695ffffffff-2019-08,1
84be695ffffffff-2019-11,3
84be69dffffffff-2023-02,1
84be69dffffffff-2023-11,8
84be6c3ffffffff-2023-08,8
84be6c3ffffffff-2023-11,6
84beabbffffffff-2022-10,1
84bf4c9ffffffff-2016-09,13
84bf4c9ffffffff-2017-02,2
84bf4c9ffffffff-2022-12,9
84bf4c9ffffffff-2023-11,4
84bf685ffffffff-2017-11,1
84c0f53ffffffff-2016-04,1
84c2031ffffffff-2021-03,1
84c234bffffffff-2021-10,1
84c3103ffffffff-2021-10,1
84c44b5ffffffff-2023-03,1
84c4993ffffffff-2022-03,1
84c9837ffffffff-2021-08,4
84c99ebffffffff-2019-11,2
84c9b03ffffffff-2022-01,1
84c9b0bffffffff-2020-02,1
84c9b0bffffffff-2021-02,1
84c9b0bffffffff-2022-02,1
84c9b0bffffffff-2022-03,4
84c9b0bffffffff-2022-04,2
84ca811ffffffff-2020-12,1
84ca815ffffffff-2015-12,3
84ca815ffffffff-2019-11,2
84ca815ffffffff-2020-12,2
84ca81dffffffff-2020-12,1
84cc64bffffffff-2013-11,1
84cc65dffffffff-2013-11,1
84cc691ffffffff-2021-03,1
84cc6d9ffffffff-2013-12,1
84cc6ebffffffff-2014-03,1
84ccc6dffffffff-2020-12,1
84ccf11ffffffff-2012-04,1
84ccf11ffffffff-2014-03,1
84ccf17ffffffff-2020-04,1
84ccf1bffffffff-2022-12,1
84cd59bffffffff-2013-11,2
84ce10bffffffff-2016-03,7
84ce139ffffffff-2022-10,1
84ce155ffffffff-2016-03,7
84ce301ffffffff-2018-03,8
84ce303ffffffff-2018-03,8
84ce303ffffffff-2019-02,1
84ce30bffffffff-2019-02,3
84ce339ffffffff-2019-02,1
84ce339ffffffff-2023-02,2
84cf133ffffffff-2023-02,1
84cf151ffffffff-2017-02,4
84cf151ffffffff-2022-12,1
84cf153ffffffff-2016-03,14
84cf153ffffffff-2019-02,1
84cf15bffffffff-2017-02,4
84d169bffffffff-2017-04,3
84d16c7ffffffff-2017-04,1
84d6a83ffffffff-2022-01,4
84d6a95ffffffff-2022-01,7
84d6a97ffffffff-2022-01,1
84d6a9dffffffff-2022-01,2
84d6a9dffffffff-2022-04,2
84d6a9dffffffff-2022-05,2
84d6ad7ffffffff-2022-01,4
84d6f61ffffffff-2022-01,3
84d8b29ffffffff-2023-03,2
84da083ffffffff-2023-01,1
84da0a1ffffffff-2022-12,1
84da0abffffffff-2022-12,1
84da1c1ffffffff-2023-01,1
84da733ffffffff-2016-11,1
84da733ffffffff-2022-11,1
84da733ffffffff-2023-01,3
84da841ffffffff-2021-05,1
84da841ffffffff-2022-06,2
84da847ffffffff-2020-01,1
84da849ffffffff-2021-05,1
84da849ffffffff-2022-06,2
84da849ffffffff-2022-10,2
84da8e3ffffffff-2021-09,7
84dc439ffffffff-2016-04,1
84dc4e3ffffffff-2023-03,2
84dc4ebffffffff-2023-03,1
84dc5a9ffffffff-2020-03,1
84dc5b1ffffffff-2023-03,1
84dceb3ffffffff-2019-03,1
84de033ffffffff-2023-07,1
84de083ffffffff-2019-03,1
84de091ffffffff-2019-03,2
84de093ffffffff-2016-01,1
84de095ffffffff-2023-10,1
84de095ffffffff-2023-11,1
84de099ffffffff-2022-11,1
84de099ffffffff-2023-11,1
84de0a3ffffffff-2019-11,1
84de0a5ffffffff-2021-11,1
84de0a7ffffffff-2019-11,1
84de0a7ffffffff-2023-02,2
84de0a7ffffffff-2023-03,2
84de0a7ffffffff-2023-09,1
84de0b1ffffffff-2019-03,1
84de0b9ffffffff-2017-03,1
84de0b9ffffffff-2018-03,1
84de0b9ffffffff-2020-03,1
84de0bdffffffff-2017-03,1
84de0bdffffffff-2022-11,1
84de0bdffffffff-2023-03,3
84de0d1ffffffff-2022-01,1
84de0ebffffffff-2023-11,2
84de191ffffffff-2017-11,1
84de191ffffffff-2022-11,2
84de193ffffffff-2016-01,1
84de197ffffffff-2015-02,1
84de19bffffffff-2019-02,1
84de19bffffffff-2020-01,2
84de19bffffffff-2023-02,2
84de19bffffffff-2023-11,2
84de1a3ffffffff-2019-03,1
84de1a3ffffffff-2022-10,1
84de1a5ffffffff-2022-11,1
84de1a7ffffffff-2019-03,2
84de1a7ffffffff-2023-11,1
84de1abffffffff-2019-02,1
84de1b9ffffffff-2018-11,1
84de1b9ffffffff-2020-01,1
84de1b9ffffffff-2022-03,1
84de1b9ffffffff-2022-11,3
84de1b9ffffffff-2023-03,1
84de1cbffffffff-2023-11,1
