index,n
848a189ffffffff-2019-04,1
848a1b9ffffffff-2016-08,1
848a451ffffffff-2016-09,3
848a451ffffffff-2018-06,1
848a451ffffffff-2019-05,7
848a451ffffffff-2019-06,4
848a451ffffffff-2019-08,2
848a451ffffffff-2022-01,2
848a451ffffffff-2022-02,3
848a451ffffffff-2022-05,3
848a451ffffffff-2023-01,6
848a451ffffffff-2023-05,3
848a451ffffffff-2023-06,3
848a459ffffffff-2018-07,1
848a459ffffffff-2022-01,1
848a459ffffffff-2023-01,3
848a459ffffffff-2023-06,8
848a45bffffffff-2019-06,1
848a45bffffffff-2019-11,1
848a45bffffffff-2023-10,1
848a525ffffffff-2019-12,2
848a52dffffffff-2021-11,1
848a6d9ffffffff-2012-02,2
848a6d9ffffffff-2012-10,1
848a6d9ffffffff-2013-01,1
848a6d9ffffffff-2013-06,1
848a6d9ffffffff-2013-08,2
848a6d9ffffffff-2014-08,4
848a6d9ffffffff-2014-10,8
848a6d9ffffffff-2015-05,2
848a6d9ffffffff-2015-08,7
848a6d9ffffffff-2015-10,1
848a6d9ffffffff-2016-01,4
848a6d9ffffffff-2016-02,1
848a6d9ffffffff-2016-05,1
848a6d9ffffffff-2017-02,2
848a6d9ffffffff-2017-07,1
848a6d9ffffffff-2018-04,1
848a6d9ffffffff-2018-09,1
848a6d9ffffffff-2019-01,1
848a6d9ffffffff-2019-04,3
848a6d9ffffffff-2019-05,2
848a6d9ffffffff-2019-06,1
848a6d9ffffffff-2019-07,1
848a6d9ffffffff-2021-07,3
848a6d9ffffffff-2021-11,2
848a6d9ffffffff-2021-12,3
848a6d9ffffffff-2022-02,2
848a6d9ffffffff-2022-04,2
848a6d9ffffffff-2022-05,1
848a6d9ffffffff-2022-06,2
848a6d9ffffffff-2022-07,2
848a6d9ffffffff-2022-11,3
848a6d9ffffffff-2023-01,2
848a6d9ffffffff-2023-02,8
848a6d9ffffffff-2023-03,5
848a6d9ffffffff-2023-05,5
848a6d9ffffffff-2023-07,13
848a6d9ffffffff-2023-08,3
848a6d9ffffffff-2023-09,1
848a6d9ffffffff-2023-10,1
848a6d9ffffffff-2023-11,1
848a70bffffffff-2014-12,1
848ae5bffffffff-2017-05,2
848ae5bffffffff-2017-08,1
848ae5bffffffff-2018-03,1
848ae5bffffffff-2018-04,1
848ae5bffffffff-2018-06,3
848ae5bffffffff-2018-07,2
848ae5bffffffff-2019-12,3
848ae5bffffffff-2021-08,1
848ae5bffffffff-2022-05,1
848ae5bffffffff-2022-07,1
848ae5bffffffff-2023-02,2
848ae5bffffffff-2023-08,2
848ae5bffffffff-2023-09,1
848f613ffffffff-2020-01,1
848f613ffffffff-2020-02,1
848f61bffffffff-2022-06,1
848f61bffffffff-2023-05,2
848f61bffffffff-2023-10,2
848f61bffffffff-2023-11,2
848f633ffffffff-2018-04,1
848f6e9ffffffff-2020-01,3
848f6e9ffffffff-2020-02,3
848f6e9ffffffff-2022-09,1
848f6e9ffffffff-2023-02,2
848f6e9ffffffff-2023-03,2
848f6e9ffffffff-2023-04,3
848f6e9ffffffff-2023-05,2
848f6e9ffffffff-2023-07,1
