index,n
843c837ffffffff-2014-10,1
843c837ffffffff-2015-11,5
843c837ffffffff-2022-03,1
843c837ffffffff-2023-02,1
843c839ffffffff-2023-03,2
843c885ffffffff-2012-12,16
843c885ffffffff-2013-12,1
843c885ffffffff-2014-03,1
843c885ffffffff-2014-11,1
843c885ffffffff-2015-10,1
843c885ffffffff-2015-12,1
843c885ffffffff-2016-02,2
843c885ffffffff-2016-04,17
843c885ffffffff-2016-12,2
843c885ffffffff-2017-02,1
843c885ffffffff-2017-04,3
843c885ffffffff-2017-11,1
843c885ffffffff-2018-01,10
843c885ffffffff-2018-02,5
843c885ffffffff-2018-03,1
843c885ffffffff-2018-04,2
843c885ffffffff-2018-12,7
843c885ffffffff-2019-01,4
843c885ffffffff-2019-03,1
843c885ffffffff-2019-04,8
843c885ffffffff-2019-12,4
843c885ffffffff-2020-01,7
843c885ffffffff-2020-02,3
843c885ffffffff-2020-05,2
843c885ffffffff-2020-10,1
843c885ffffffff-2020-11,1
843c885ffffffff-2020-12,2
843c885ffffffff-2021-01,4
843c885ffffffff-2021-02,5
843c885ffffffff-2021-03,3
843c885ffffffff-2021-04,15
843c885ffffffff-2021-10,2
843c885ffffffff-2021-12,12
843c885ffffffff-2022-01,2
843c885ffffffff-2022-02,3
843c885ffffffff-2022-03,6
843c885ffffffff-2022-04,27
843c885ffffffff-2022-10,1
843c885ffffffff-2022-12,2
843c885ffffffff-2023-01,10
843c885ffffffff-2023-02,11
843c885ffffffff-2023-03,12
843c885ffffffff-2023-04,21
843c885ffffffff-2023-07,1
843c885ffffffff-2023-09,43
843c889ffffffff-2021-08,1
843c889ffffffff-2021-09,1
843c889ffffffff-2022-09,1
843c889ffffffff-2023-09,1
843c899ffffffff-2014-04,3
843c899ffffffff-2015-04,1
843c899ffffffff-2016-11,3
843c899ffffffff-2017-01,1
843c899ffffffff-2017-08,2
843c899ffffffff-2017-12,1
843c899ffffffff-2018-04,3
843c899ffffffff-2018-09,1
843c899ffffffff-2019-03,2
843c899ffffffff-2019-04,1
843c899ffffffff-2019-05,1
843c899ffffffff-2019-06,1
843c899ffffffff-2020-02,2
843c899ffffffff-2020-11,3
843c899ffffffff-2021-04,2
843c899ffffffff-2021-10,6
843c899ffffffff-2021-11,2
843c899ffffffff-2022-04,1
843c899ffffffff-2022-10,2
843c899ffffffff-2023-04,5
843c899ffffffff-2023-10,2
843c89bffffffff-2021-12,1
843c8a9ffffffff-2018-01,1
843c8adffffffff-2016-04,2
843c8adffffffff-2021-01,1
843c8adffffffff-2022-05,1
843c8adffffffff-2023-09,1
843c8e5ffffffff-2014-02,1
843c8e5ffffffff-2017-03,2
843c8e5ffffffff-2017-12,2
843c8e5ffffffff-2018-01,1
843c8e5ffffffff-2018-03,1
843c8e5ffffffff-2018-05,1
843c8e5ffffffff-2019-01,2
843c8e5ffffffff-2021-02,1
843c8e5ffffffff-2021-08,1
843c8e5ffffffff-2023-02,1
843c8e5ffffffff-2023-03,6
843c917ffffffff-2022-02,1
843c927ffffffff-2020-05,1
843c927ffffffff-2022-01,3
843c927ffffffff-2022-05,1
843c931ffffffff-2012-11,1
843c931ffffffff-2013-07,1
843c931ffffffff-2013-12,1
843c931ffffffff-2014-09,1
843c931ffffffff-2015-01,2
843c931ffffffff-2015-04,1
843c931ffffffff-2015-07,2
843c931ffffffff-2015-11,3
843c931ffffffff-2015-12,1
843c931ffffffff-2016-01,2
843c931ffffffff-2016-02,1
843c931ffffffff-2016-05,1
843c931ffffffff-2016-10,1
843c931ffffffff-2016-11,1
843c931ffffffff-2016-12,2
843c931ffffffff-2017-04,1
843c931ffffffff-2017-05,5
843c931ffffffff-2017-08,1
