index,n
8472a07ffffffff-2023-04,1
8472a2bffffffff-2016-08,2
8472a2bffffffff-2019-10,1
8472a65ffffffff-2023-08,1
8472a65ffffffff-2023-09,1
8472a65ffffffff-2023-10,1
8472b07ffffffff-2023-11,2
8472b49ffffffff-2012-10,2
8472b49ffffffff-2019-11,1
8472c25ffffffff-2023-08,2
8472d19ffffffff-2023-02,6
8472d19ffffffff-2023-03,4
8472d19ffffffff-2023-04,3
8472d19ffffffff-2023-06,4
8472d19ffffffff-2023-07,23
8472d19ffffffff-2023-08,2
8472d19ffffffff-2023-09,2
8472d19ffffffff-2023-10,4
8472d19ffffffff-2023-11,2
8472d23ffffffff-2013-07,1
8472d23ffffffff-2013-10,2
8472d23ffffffff-2014-07,6
8472d23ffffffff-2014-08,1
8472d23ffffffff-2015-07,3
8472d23ffffffff-2016-08,4
8472d23ffffffff-2017-07,5
8472d23ffffffff-2017-08,2
8472d23ffffffff-2018-06,1
8472d23ffffffff-2018-07,14
8472d23ffffffff-2018-08,2
8472d23ffffffff-2019-06,1
8472d23ffffffff-2019-07,1
8472d23ffffffff-2019-09,1
8472d23ffffffff-2022-07,14
8472d23ffffffff-2022-08,13
8472d23ffffffff-2023-06,6
8472d23ffffffff-2023-07,7
8472d23ffffffff-2023-08,11
8472d23ffffffff-2023-09,13
8472d49ffffffff-2019-08,2
8472d59ffffffff-2016-04,3
8472dd5ffffffff-2014-10,1
8472dd5ffffffff-2015-10,1
8472dd5ffffffff-2017-10,1
8472debffffffff-2014-07,4
8472debffffffff-2018-07,2
8472debffffffff-2019-06,3
8472debffffffff-2023-06,4
8472debffffffff-2023-08,12
8472f23ffffffff-2013-12,6
8472f23ffffffff-2015-03,2
8472f23ffffffff-2015-07,2
8472f23ffffffff-2015-08,3
8472f23ffffffff-2015-09,2
8472f23ffffffff-2016-03,3
8472f23ffffffff-2016-09,5
8472f23ffffffff-2016-10,2
8472f23ffffffff-2017-06,3
8472f23ffffffff-2017-09,23
8472f23ffffffff-2017-11,3
8472f23ffffffff-2018-06,1
8472f23ffffffff-2018-07,8
8472f23ffffffff-2018-08,24
8472f23ffffffff-2018-09,1
8472f23ffffffff-2018-10,11
8472f23ffffffff-2019-06,3
8472f23ffffffff-2019-07,3
8472f23ffffffff-2019-08,13
8472f23ffffffff-2019-09,4
8472f23ffffffff-2019-10,6
8472f23ffffffff-2022-03,1
8472f23ffffffff-2022-04,1
8472f23ffffffff-2022-06,4
8472f23ffffffff-2022-07,17
8472f23ffffffff-2022-08,4
8472f23ffffffff-2022-09,22
8472f23ffffffff-2022-10,6
8472f23ffffffff-2022-12,3
8472f23ffffffff-2023-02,10
8472f23ffffffff-2023-03,2
8472f23ffffffff-2023-04,1
8472f23ffffffff-2023-05,2
8472f23ffffffff-2023-06,12
8472f23ffffffff-2023-07,24
8472f23ffffffff-2023-08,36
8472f23ffffffff-2023-09,14
8472f23ffffffff-2023-10,1
8472f35ffffffff-2017-09,2
8472f35ffffffff-2018-08,1
8472f35ffffffff-2019-01,2
8472f35ffffffff-2021-05,1
8472f35ffffffff-2022-04,2
8472f35ffffffff-2022-05,7
8472f35ffffffff-2022-06,2
8472f35ffffffff-2022-07,6
8472f35ffffffff-2022-08,1
8472f35ffffffff-2022-09,4
8472f35ffffffff-2022-10,1
8472f35ffffffff-2022-11,3
8472f35ffffffff-2022-12,7
8472f35ffffffff-2023-01,5
8472f35ffffffff-2023-02,5
8472f35ffffffff-2023-03,6
8472f35ffffffff-2023-05,1
8472f35ffffffff-2023-07,1
8472f35ffffffff-2023-08,14
8472f35ffffffff-2023-09,1
8472f37ffffffff-2019-01,2
8472f37ffffffff-2023-08,3
8472f37ffffffff-2023-09,1
84739b1ffffffff-2018-09,2
84739b1ffffffff-2019-10,1
84739b1ffffffff-2022-08,1
84739b1ffffffff-2023-09,2
84739b1ffffffff-2023-10,7
84739b3ffffffff-2023-11,1
84739b5ffffffff-2018-10,1
84739b5ffffffff-2022-10,2
84956d3ffffffff-2023-10,1
849c851ffffffff-2019-06,2
849c851ffffffff-2023-10,2
849c85bffffffff-2018-07,1
849c993ffffffff-2012-06,39
849c993ffffffff-2012-07,28
849c993ffffffff-2012-09,41
849c993ffffffff-2012-10,49
849c993ffffffff-2014-10,1
849c993ffffffff-2016-03,7
849c993ffffffff-2017-10,1
849c997ffffffff-2012-07,5
849c997ffffffff-2012-08,11
849c997ffffffff-2015-10,1
849c9d1ffffffff-2012-05,1
849c9d5ffffffff-2016-07,1
849ca65ffffffff-2013-07,1
849ca65ffffffff-2014-07,6
849ca65ffffffff-2014-08,4
849ca65ffffffff-2015-09,5
849ca65ffffffff-2015-10,15
849ca65ffffffff-2015-11,2
849ca65ffffffff-2015-12,4
849ca65ffffffff-2016-01,12
849caa1ffffffff-2014-07,1
849cd19ffffffff-2016-03,2
849cd19ffffffff-2017-03,2
849cd19ffffffff-2017-04,2
849cd19ffffffff-2019-07,1
849cd31ffffffff-2013-08,1
849cd31ffffffff-2014-07,5
849cd31ffffffff-2014-09,1
849cd31ffffffff-2015-07,2
849cd31ffffffff-2016-03,6
849cd31ffffffff-2016-07,2
849cd31ffffffff-2017-07,13
849cd31ffffffff-2017-08,1
849cd31ffffffff-2018-06,4
849cd31ffffffff-2018-07,7
849cd31ffffffff-2019-07,5
849cd31ffffffff-2019-09,5
849cd31ffffffff-2022-07,17
849cd31ffffffff-2022-08,6
849cd31ffffffff-2022-09,2
849cd31ffffffff-2023-06,7
849cd31ffffffff-2023-07,14
849cd31ffffffff-2023-08,4
849cd31ffffffff-2023-09,1
849cd33ffffffff-2013-08,1
849cd33ffffffff-2014-06,1
849cd33ffffffff-2014-07,1
849cd33ffffffff-2014-08,2
849cd33ffffffff-2016-07,1
849cd33ffffffff-2017-07,15
849cd33ffffffff-2018-07,5
849cd33ffffffff-2018-08,2
849cd33ffffffff-2019-07,2
849cd33ffffffff-2019-08,2
849cd33ffffffff-2019-09,4
849cd33ffffffff-2022-07,2
849cd33ffffffff-2022-08,3
849cd33ffffffff-2023-08,2
849cd33ffffffff-2023-09,1
849cd37ffffffff-2022-08,3
