index,n
8472a07ffffffff-2018-07,1
8472a2bffffffff-2013-12,4
8472a2bffffffff-2015-08,1
8472a2bffffffff-2015-09,1
8472a2bffffffff-2016-08,4
8472a2bffffffff-2016-10,3
8472a2bffffffff-2017-06,6
8472a2bffffffff-2017-09,8
8472a2bffffffff-2017-10,8
8472a2bffffffff-2017-11,7
8472a2bffffffff-2017-12,4
8472a2bffffffff-2018-06,4
8472a2bffffffff-2018-08,2
8472a2bffffffff-2018-09,5
8472a2bffffffff-2018-10,1
8472a2bffffffff-2019-06,5
8472a2bffffffff-2019-08,4
8472a2bffffffff-2019-09,4
8472a2bffffffff-2019-10,2
8472a2bffffffff-2022-07,4
8472a2bffffffff-2022-08,7
8472a2bffffffff-2022-09,2
8472a2bffffffff-2022-10,5
8472a2bffffffff-2023-04,2
8472a2bffffffff-2023-06,3
8472a2bffffffff-2023-07,10
8472a2bffffffff-2023-08,3
8472a2bffffffff-2023-09,12
8472a2bffffffff-2023-10,11
8472a2bffffffff-2023-11,9
8472d23ffffffff-2012-08,1
8472d23ffffffff-2013-07,1
8472d23ffffffff-2013-08,1
8472d23ffffffff-2013-10,3
8472d23ffffffff-2014-07,9
8472d23ffffffff-2014-08,1
8472d23ffffffff-2015-06,1
8472d23ffffffff-2015-07,5
8472d23ffffffff-2016-07,5
8472d23ffffffff-2016-08,8
8472d23ffffffff-2017-07,6
8472d23ffffffff-2017-08,4
8472d23ffffffff-2018-06,3
8472d23ffffffff-2018-07,11
8472d23ffffffff-2018-08,1
8472d23ffffffff-2019-07,7
8472d23ffffffff-2019-08,2
8472d23ffffffff-2019-09,3
8472d23ffffffff-2022-07,20
8472d23ffffffff-2022-08,15
8472d23ffffffff-2022-09,4
8472d23ffffffff-2023-06,14
8472d23ffffffff-2023-07,3
8472d23ffffffff-2023-08,14
8472d23ffffffff-2023-09,8
8472d3dffffffff-2023-06,2
8472da1ffffffff-2017-10,1
8472da1ffffffff-2023-07,3
8472da3ffffffff-2016-10,1
8472da3ffffffff-2022-09,4
8472da3ffffffff-2023-06,1
8472da3ffffffff-2023-08,4
8472db3ffffffff-2019-07,1
8472f35ffffffff-2022-09,1
84739abffffffff-2016-08,2
84739abffffffff-2017-09,3
84739abffffffff-2018-08,1
84739abffffffff-2022-09,1
84739abffffffff-2022-10,3
84739b1ffffffff-2018-09,2
84739b1ffffffff-2022-09,5
84739b5ffffffff-2023-07,3
849c851ffffffff-2023-10,12
849c85bffffffff-2012-05,2
849c85bffffffff-2014-07,1
849c85bffffffff-2017-03,1
849c85bffffffff-2019-07,1
849c8b5ffffffff-2012-06,2
849c8b5ffffffff-2012-07,8
849c9d1ffffffff-2018-11,1
849c9ddffffffff-2019-07,1
849cd2dffffffff-2013-08,1
849cd2dffffffff-2014-07,1
849cd33ffffffff-2014-08,1
849cd33ffffffff-2019-09,1
