index,n
843c065ffffffff-2022-06,1
843c065ffffffff-2023-06,1
843c0a5ffffffff-2022-03,1
843c0a5ffffffff-2022-04,2
843c0a5ffffffff-2023-07,1
843c159ffffffff-2012-08,1
843c159ffffffff-2012-09,2
843c159ffffffff-2015-04,1
843c159ffffffff-2016-05,1
843c159ffffffff-2017-05,2
843c159ffffffff-2018-06,1
843c159ffffffff-2019-05,1
843c159ffffffff-2019-06,3
843c159ffffffff-2020-06,2
843c159ffffffff-2021-05,2
843c159ffffffff-2021-07,1
843c159ffffffff-2022-05,13
843c159ffffffff-2022-06,17
843c159ffffffff-2022-07,4
843c159ffffffff-2022-08,3
843c159ffffffff-2023-05,1
843c159ffffffff-2023-06,3
843c159ffffffff-2023-07,1
843c159ffffffff-2023-09,2
843c15bffffffff-2022-05,1
843c199ffffffff-2020-02,1
843c199ffffffff-2021-06,1
843c199ffffffff-2022-05,1
843c199ffffffff-2022-07,1
843c199ffffffff-2023-05,2
843c199ffffffff-2023-06,1
843c19bffffffff-2015-07,3
843c19bffffffff-2019-07,1
843c19bffffffff-2021-01,1
843c19bffffffff-2021-06,2
843c19bffffffff-2021-07,1
843c19bffffffff-2021-08,3
843c19bffffffff-2022-05,4
843c19bffffffff-2023-05,1
843c1c3ffffffff-2020-05,4
843c1c3ffffffff-2020-09,2
843c1c3ffffffff-2021-08,1
843c369ffffffff-2023-06,1
843c525ffffffff-2019-05,3
843c525ffffffff-2019-06,1
843c525ffffffff-2022-05,1
843c527ffffffff-2013-05,2
843c527ffffffff-2021-06,3
843c527ffffffff-2022-05,2
843c527ffffffff-2023-05,2
843c581ffffffff-2015-06,2
843c581ffffffff-2019-05,3
843c581ffffffff-2021-05,1
843c581ffffffff-2021-10,2
843c581ffffffff-2022-04,1
843c581ffffffff-2022-05,17
843c581ffffffff-2022-06,4
843c581ffffffff-2023-05,9
843c587ffffffff-2016-06,1
843c587ffffffff-2019-04,1
843c587ffffffff-2021-09,1
843c587ffffffff-2022-06,1
843c58dffffffff-2023-05,1
843c5a1ffffffff-2015-04,2
843c5a1ffffffff-2016-05,10
843c5a1ffffffff-2018-02,1
843c5a1ffffffff-2018-05,4
843c5a1ffffffff-2019-05,3
843c5a1ffffffff-2021-04,2
843c5a1ffffffff-2022-04,8
843c5a1ffffffff-2022-05,27
843c5a1ffffffff-2022-06,4
843c5a1ffffffff-2023-04,5
843c5a1ffffffff-2023-05,49
843c5a1ffffffff-2023-06,12
843c5a1ffffffff-2023-07,7
843c5a9ffffffff-2016-05,1
843c5a9ffffffff-2022-04,1
843c5a9ffffffff-2022-05,1
843c5a9ffffffff-2022-07,1
843c5a9ffffffff-2023-04,2
843c5a9ffffffff-2023-05,1
843c5abffffffff-2016-04,6
843c5adffffffff-2017-04,1
843c5adffffffff-2018-05,2
843c5adffffffff-2021-04,1
843c5adffffffff-2022-05,2
843c5adffffffff-2022-06,4
843c5adffffffff-2023-05,3
843c5bdffffffff-2018-04,1
843cc05ffffffff-2021-05,1
843cc05ffffffff-2021-08,6
843cc05ffffffff-2023-06,4
843cc07ffffffff-2014-05,2
843cc09ffffffff-2023-05,1
843cc09ffffffff-2023-06,4
843cc0bffffffff-2017-05,1
843cc0bffffffff-2019-04,1
843cc0bffffffff-2022-05,8
843cc0dffffffff-2023-06,2
843cc21ffffffff-2019-05,1
843cc21ffffffff-2023-06,1
843cc29ffffffff-2014-06,1
843cc29ffffffff-2018-06,1
843cc29ffffffff-2022-05,5
843cc29ffffffff-2022-06,1
843cc29ffffffff-2023-05,3
843cc29ffffffff-2023-06,11
843cc29ffffffff-2023-07,2
843cc29ffffffff-2023-09,1
843cc2bffffffff-2014-04,1
843cc2bffffffff-2014-05,1
843cc2bffffffff-2014-06,1
843cc2bffffffff-2021-06,2
843cc2bffffffff-2022-08,1
843cc41ffffffff-2013-07,1
843cc41ffffffff-2018-05,3
843cc41ffffffff-2019-05,2
843cc41ffffffff-2019-08,3
843cc41ffffffff-2021-05,3
843cc41ffffffff-2021-06,5
843cc41ffffffff-2021-08,1
843cc41ffffffff-2022-09,1
843cc41ffffffff-2023-05,1
843cc41ffffffff-2023-06,4
843cc41ffffffff-2023-07,6
843cc43ffffffff-2020-07,1
843cc43ffffffff-2021-05,2
843cc43ffffffff-2023-07,3
843cc45ffffffff-2015-04,1
843cc45ffffffff-2021-05,3
843cc45ffffffff-2021-06,2
843cc45ffffffff-2021-08,1
843cc45ffffffff-2021-10,1
843cc45ffffffff-2022-05,18
843cc45ffffffff-2022-06,16
843cc45ffffffff-2022-07,26
843cc45ffffffff-2023-04,1
843cc45ffffffff-2023-05,12
843cc45ffffffff-2023-06,24
843cc45ffffffff-2023-07,6
843cc47ffffffff-2022-09,3
