index,n
845280dffffffff-2018-12,1
8452831ffffffff-2017-11,1
8452831ffffffff-2018-12,1
8452831ffffffff-2019-11,3
8452831ffffffff-2021-03,1
84529b9ffffffff-2013-11,1
84541a3ffffffff-2014-04,1
84541a3ffffffff-2016-07,1
84541a3ffffffff-2017-01,1
84541a3ffffffff-2017-12,1
84541a3ffffffff-2019-12,1
84541a3ffffffff-2020-01,1
84541a3ffffffff-2020-12,1
84541a3ffffffff-2022-02,1
84541a3ffffffff-2022-03,4
84541a3ffffffff-2022-12,1
84541a3ffffffff-2023-02,4
84541b5ffffffff-2022-04,1
84541bdffffffff-2019-12,3
8454a93ffffffff-2012-03,1
8454a93ffffffff-2013-02,1
8454a93ffffffff-2013-12,1
8454a93ffffffff-2014-01,2
8454a93ffffffff-2014-02,1
8454a93ffffffff-2015-02,1
8454a93ffffffff-2015-12,3
8454a93ffffffff-2016-03,3
8454a93ffffffff-2016-11,16
8454a93ffffffff-2018-04,2
8454a93ffffffff-2018-07,1
8454a93ffffffff-2018-11,3
8454a93ffffffff-2018-12,4
8454a93ffffffff-2019-01,3
8454a93ffffffff-2019-02,1
8454a93ffffffff-2019-03,2
8454a93ffffffff-2019-06,2
8454a93ffffffff-2019-11,9
8454a93ffffffff-2020-01,4
8454a93ffffffff-2020-02,1
8454a93ffffffff-2021-10,2
8454a93ffffffff-2022-01,2
8454a93ffffffff-2022-03,6
8454a93ffffffff-2022-11,2
8454a93ffffffff-2023-11,1
8454e05ffffffff-2020-01,1
8454e21ffffffff-2019-05,1
8454e21ffffffff-2021-09,1
8454e21ffffffff-2023-06,2
8454e51ffffffff-2018-02,2
8454e51ffffffff-2020-12,4
8454e51ffffffff-2023-03,3
8454e59ffffffff-2020-06,1
8454e9dffffffff-2017-02,1
8454f43ffffffff-2021-10,2
8454f47ffffffff-2019-01,1
8454f47ffffffff-2021-10,2
8454f49ffffffff-2019-11,1
8454f49ffffffff-2023-02,1
8454f4dffffffff-2020-02,1
8454f4dffffffff-2023-02,2
84582c3ffffffff-2023-02,1
84589cbffffffff-2013-11,1
84589cbffffffff-2019-01,1
8458b0bffffffff-2014-11,1
8458e2dffffffff-2013-11,1
8458e2dffffffff-2016-11,1
8458e2dffffffff-2017-09,1
8458e2dffffffff-2018-06,1
8458e2dffffffff-2019-03,1
8458e2dffffffff-2019-05,1
8458e2dffffffff-2019-10,2
8458e2dffffffff-2021-05,1
8458e2dffffffff-2021-10,1
8458e2dffffffff-2023-06,2
