index,n
84529b5ffffffff-2019-01,1
84529b5ffffffff-2021-06,1
84529b9ffffffff-2012-04,1
84529b9ffffffff-2017-11,1
84529b9ffffffff-2018-11,1
8452d33ffffffff-2015-10,1
8452d33ffffffff-2016-10,1
8452d33ffffffff-2018-07,2
8452d33ffffffff-2021-03,15
8452d33ffffffff-2021-04,22
8452d33ffffffff-2021-05,30
8452d33ffffffff-2021-06,8
8452d33ffffffff-2022-07,1
8452d33ffffffff-2023-10,1
8452d37ffffffff-2021-03,5
8452d37ffffffff-2021-05,1
846a4a3ffffffff-2016-11,2
846a4a5ffffffff-2022-12,1
846a4b3ffffffff-2020-01,2
846a581ffffffff-2022-05,5
846a5a9ffffffff-2022-04,1
846a5abffffffff-2022-05,15
846a5b5ffffffff-2021-11,1
846a5bbffffffff-2022-05,5
846a6ddffffffff-2015-03,1
846ac93ffffffff-2015-10,1
846ac93ffffffff-2017-03,10
846ac93ffffffff-2017-11,5
846ac93ffffffff-2018-11,6
846ac93ffffffff-2020-03,4
846ac93ffffffff-2020-11,1
846ac93ffffffff-2020-12,3
846ac93ffffffff-2021-02,2
846ac93ffffffff-2021-03,2
846ac93ffffffff-2021-06,2
846ac93ffffffff-2021-07,2
846ac93ffffffff-2021-08,1
846ac93ffffffff-2021-10,1
846ac93ffffffff-2021-11,2
846ac93ffffffff-2022-05,1
846ac93ffffffff-2022-10,1
846ac93ffffffff-2023-03,2
846ac93ffffffff-2023-09,2
846ac9bffffffff-2015-04,1
846ac9bffffffff-2016-02,3
846ac9bffffffff-2018-02,1
846ac9bffffffff-2018-03,1
846ac9bffffffff-2019-11,2
846ac9bffffffff-2020-12,2
846ac9bffffffff-2021-06,2
846ad93ffffffff-2023-05,2
846aee3ffffffff-2018-10,1
847a401ffffffff-2013-05,1
847a401ffffffff-2015-03,1
847a401ffffffff-2015-05,1
847a401ffffffff-2016-11,5
847a401ffffffff-2017-02,1
847a401ffffffff-2017-04,2
847a401ffffffff-2017-09,3
847a401ffffffff-2018-08,5
847a401ffffffff-2020-12,1
847a401ffffffff-2021-08,1
847a401ffffffff-2021-11,2
847a401ffffffff-2021-12,3
847a401ffffffff-2022-02,1
847a401ffffffff-2022-04,2
847a401ffffffff-2022-07,11
847a401ffffffff-2022-08,9
847a401ffffffff-2022-11,2
847a401ffffffff-2023-01,4
847a401ffffffff-2023-04,4
847a401ffffffff-2023-08,10
847a401ffffffff-2023-10,1
847a401ffffffff-2023-11,1
847a403ffffffff-2013-01,3
847a403ffffffff-2016-08,1
847a403ffffffff-2016-11,1
847a403ffffffff-2018-06,1
847a403ffffffff-2019-02,1
847a403ffffffff-2019-12,4
847a403ffffffff-2021-02,1
847a403ffffffff-2022-03,1
847a403ffffffff-2023-10,1
847a405ffffffff-2013-07,1
847a405ffffffff-2017-04,2
847a405ffffffff-2022-01,1
847a405ffffffff-2022-02,2
847a407ffffffff-2013-07,2
847a407ffffffff-2014-07,2
847a407ffffffff-2014-08,4
847a407ffffffff-2015-04,1
847a407ffffffff-2015-10,1
847a407ffffffff-2016-07,6
847a407ffffffff-2016-08,1
847a407ffffffff-2017-02,1
847a407ffffffff-2017-09,1
