index,n
84728b9ffffffff-2015-08,2
84728b9ffffffff-2017-09,9
84728b9ffffffff-2017-10,4
84728b9ffffffff-2019-06,1
84728b9ffffffff-2019-07,2
84728e7ffffffff-2022-12,1
8472901ffffffff-2015-08,3
8472901ffffffff-2016-09,1
8472901ffffffff-2016-11,1
8472901ffffffff-2017-08,3
8472901ffffffff-2019-08,1
8472901ffffffff-2022-10,1
8472901ffffffff-2022-12,3
8472905ffffffff-2015-08,2
8472905ffffffff-2016-09,2
8472905ffffffff-2016-11,5
8472905ffffffff-2017-08,2
8472905ffffffff-2017-11,4
8472905ffffffff-2018-12,1
8472905ffffffff-2019-07,3
8472905ffffffff-2019-08,5
8472905ffffffff-2019-09,3
8472905ffffffff-2022-10,1
8472905ffffffff-2022-12,6
8472905ffffffff-2023-09,18
8472905ffffffff-2023-11,4
847290dffffffff-2015-08,4
847290dffffffff-2016-09,1
847290dffffffff-2016-11,1
847290dffffffff-2017-08,2
847290dffffffff-2017-11,2
847290dffffffff-2019-08,1
847290dffffffff-2019-09,1
847290dffffffff-2022-10,1
8472a2bffffffff-2012-10,8
8472a2bffffffff-2012-11,2
8472a2bffffffff-2013-12,5
8472a2bffffffff-2014-01,2
8472a2bffffffff-2015-08,7
8472a2bffffffff-2015-09,4
8472a2bffffffff-2015-11,2
8472a2bffffffff-2016-08,3
8472a2bffffffff-2016-10,4
8472a2bffffffff-2017-06,9
8472a2bffffffff-2017-07,1
8472a2bffffffff-2017-09,21
8472a2bffffffff-2017-10,1
8472a2bffffffff-2017-11,18
8472a2bffffffff-2017-12,4
8472a2bffffffff-2018-04,4
8472a2bffffffff-2018-06,11
8472a2bffffffff-2018-07,1
8472a2bffffffff-2018-08,20
8472a2bffffffff-2018-09,20
8472a2bffffffff-2018-10,21
8472a2bffffffff-2018-11,1
8472a2bffffffff-2019-06,47
8472a2bffffffff-2019-07,2
8472a2bffffffff-2019-08,16
8472a2bffffffff-2019-09,19
8472a2bffffffff-2019-10,8
8472a2bffffffff-2022-06,1
8472a2bffffffff-2022-07,21
8472a2bffffffff-2022-08,32
8472a2bffffffff-2022-09,12
8472a2bffffffff-2022-10,33
8472a2bffffffff-2022-11,7
8472a2bffffffff-2022-12,5
8472a2bffffffff-2023-01,43
8472a2bffffffff-2023-04,3
8472a2bffffffff-2023-05,5
8472a2bffffffff-2023-06,24
8472a2bffffffff-2023-07,33
8472a2bffffffff-2023-08,43
8472a2bffffffff-2023-09,28
8472a2bffffffff-2023-10,39
8472a2bffffffff-2023-11,14
8472aedffffffff-2015-08,1
8472d23ffffffff-2014-07,1
8472d23ffffffff-2019-09,3
8472d23ffffffff-2022-07,5
8472d23ffffffff-2023-09,1
8472d35ffffffff-2023-07,3
8472da1ffffffff-2014-04,1
8472da1ffffffff-2014-09,1
8472da1ffffffff-2015-06,1
8472da1ffffffff-2015-10,1
8472da1ffffffff-2015-11,3
8472da1ffffffff-2016-04,1
8472da1ffffffff-2016-07,3
8472da1ffffffff-2016-08,3
8472da1ffffffff-2017-07,13
8472da1ffffffff-2017-08,1
8472da1ffffffff-2017-09,3
8472da1ffffffff-2017-10,1
8472da1ffffffff-2017-11,1
8472da1ffffffff-2017-12,1
8472da1ffffffff-2018-06,2
8472da1ffffffff-2018-07,16
8472da1ffffffff-2018-08,2
8472da1ffffffff-2018-10,6
8472da1ffffffff-2019-06,1
8472da1ffffffff-2019-07,9
8472da1ffffffff-2019-08,1
8472da1ffffffff-2019-09,1
8472da1ffffffff-2019-10,4
8472da1ffffffff-2022-07,26
8472da1ffffffff-2022-08,12
8472da1ffffffff-2022-09,5
8472da1ffffffff-2023-06,5
8472da1ffffffff-2023-07,8
8472da1ffffffff-2023-08,26
8472da1ffffffff-2023-09,32
8472da1ffffffff-2023-10,11
8472da3ffffffff-2015-12,1
8472da3ffffffff-2016-10,1
8472da3ffffffff-2018-07,6
8472da3ffffffff-2019-06,4
8472da3ffffffff-2019-07,2
8472da3ffffffff-2019-08,1
8472da3ffffffff-2019-10,2
8472da3ffffffff-2022-07,18
8472da3ffffffff-2022-08,13
8472da3ffffffff-2022-09,11
8472da3ffffffff-2023-06,10
8472da3ffffffff-2023-07,22
8472da3ffffffff-2023-08,36
8472da3ffffffff-2023-09,19
8472db3ffffffff-2012-06,2
8472db3ffffffff-2015-11,34
8472db7ffffffff-2012-06,2
8472db7ffffffff-2015-10,2
8472db7ffffffff-2017-09,1
8473985ffffffff-2017-12,1
84739a1ffffffff-2019-08,3
84739a1ffffffff-2019-09,1
84739a1ffffffff-2022-07,1
84739a1ffffffff-2022-08,6
84739a1ffffffff-2022-09,1
84739a1ffffffff-2022-10,8
84739a1ffffffff-2022-11,16
84739a1ffffffff-2022-12,7
84739a1ffffffff-2023-02,2
84739a1ffffffff-2023-07,1
84739a1ffffffff-2023-10,6
84739a9ffffffff-2023-03,1
84739abffffffff-2015-12,2
84739abffffffff-2017-11,1
84739abffffffff-2017-12,1
84739abffffffff-2019-03,1
84739abffffffff-2019-11,1
84739abffffffff-2022-08,1
84739adffffffff-2013-10,1
84739b1ffffffff-2023-10,6
84739e1ffffffff-2017-09,1
8476b49ffffffff-2015-10,1
8477913ffffffff-2022-07,1
8477981ffffffff-2012-12,2
8477981ffffffff-2016-07,1
8477981ffffffff-2018-07,1
84779b3ffffffff-2022-06,1
84779c5ffffffff-2013-01,2
84779c5ffffffff-2015-10,1
8495441ffffffff-2016-11,5
8495441ffffffff-2017-11,3
8495449ffffffff-2012-11,1
8495449ffffffff-2016-11,1
8495449ffffffff-2017-09,3
8495449ffffffff-2017-11,5
8495449ffffffff-2022-05,1
8495449ffffffff-2022-11,7
8495449ffffffff-2023-07,1
849544bffffffff-2016-03,2
849544bffffffff-2016-09,3
849544bffffffff-2016-11,2
849544bffffffff-2017-09,9
849544bffffffff-2017-11,8
849544bffffffff-2019-07,3
849544bffffffff-2019-08,7
849544bffffffff-2019-09,3
849544bffffffff-2022-05,1
849544bffffffff-2022-09,3
849544bffffffff-2022-11,4
849544bffffffff-2022-12,6
849544bffffffff-2023-07,2
849544bffffffff-2023-10,4
849544bffffffff-2023-11,8
84956a5ffffffff-2019-09,1
84956abffffffff-2019-07,1
84956b5ffffffff-2017-08,2
84956bdffffffff-2016-01,9
84956bdffffffff-2016-03,1
84956bdffffffff-2016-09,2
84956bdffffffff-2016-11,2
84956bdffffffff-2017-10,3
84956bdffffffff-2017-11,22
84956bdffffffff-2018-05,8
84956bdffffffff-2018-11,1
84956bdffffffff-2019-09,1
84956bdffffffff-2020-03,1
84956bdffffffff-2022-08,2
84956bdffffffff-2022-11,10
84956bdffffffff-2023-10,18
84956d3ffffffff-2017-11,5
84956d3ffffffff-2018-11,1
84956d3ffffffff-2019-10,6
