index,n
8497453ffffffff-2022-02,4
849763bffffffff-2023-03,1
8497643ffffffff-2022-02,1
8497643ffffffff-2022-05,1
8497643ffffffff-2022-09,1
8497643ffffffff-2022-11,1
8497643ffffffff-2023-01,1
8497643ffffffff-2023-03,1
8497643ffffffff-2023-07,1
8497643ffffffff-2023-08,1
8497649ffffffff-2021-11,1
8497649ffffffff-2022-07,1
8497649ffffffff-2022-10,1
8497649ffffffff-2022-11,1
8497649ffffffff-2023-07,1
849764dffffffff-2021-07,1
84ac125ffffffff-2015-07,2
84ac125ffffffff-2015-08,12
84ac125ffffffff-2016-08,1
84ac125ffffffff-2016-09,2
84ac125ffffffff-2016-11,3
84ac125ffffffff-2017-02,1
84ac125ffffffff-2017-04,1
84ac125ffffffff-2017-07,1
84ac125ffffffff-2018-05,1
84ac125ffffffff-2018-07,2
84ac125ffffffff-2019-06,1
84ac125ffffffff-2019-10,1
84ac125ffffffff-2020-01,4
84ac125ffffffff-2020-12,1
84ac125ffffffff-2021-04,1
84ac125ffffffff-2021-10,1
84ac125ffffffff-2021-12,10
84ac125ffffffff-2022-02,1
84ac125ffffffff-2022-04,3
84ac125ffffffff-2022-05,1
84ac125ffffffff-2022-07,1
84ac125ffffffff-2022-08,2
84ac125ffffffff-2022-09,8
84ac125ffffffff-2022-10,5
84ac125ffffffff-2022-11,3
84ac125ffffffff-2022-12,3
84ac125ffffffff-2023-01,1
84ac125ffffffff-2023-03,6
84ac125ffffffff-2023-04,1
84ac125ffffffff-2023-05,1
84ac125ffffffff-2023-07,14
84ac125ffffffff-2023-08,41
84ac125ffffffff-2023-09,6
84ac125ffffffff-2023-10,5
84ac125ffffffff-2023-11,11
84ac12dffffffff-2014-03,1
84ac12dffffffff-2015-08,1
84ac12dffffffff-2017-10,1
84ac12dffffffff-2018-12,1
84ac12dffffffff-2019-06,1
84ac12dffffffff-2019-07,1
84ac12dffffffff-2019-11,1
84ac12dffffffff-2019-12,1
84ac12dffffffff-2021-05,1
84ac12dffffffff-2021-10,1
84ac12dffffffff-2022-09,5
84ac12dffffffff-2023-02,1
84ac12dffffffff-2023-04,1
84ac12dffffffff-2023-07,6
84ac12dffffffff-2023-09,3
84ac12dffffffff-2023-10,1
84ac12dffffffff-2023-11,3
84ac165ffffffff-2016-03,2
84ac165ffffffff-2017-06,2
84ac165ffffffff-2018-04,2
84ac165ffffffff-2018-10,1
84ac165ffffffff-2019-09,5
84ac165ffffffff-2019-11,1
84ac165ffffffff-2020-10,1
84ac165ffffffff-2021-04,1
84ac165ffffffff-2021-10,1
84ac165ffffffff-2021-11,4
84ac165ffffffff-2022-07,8
84ac165ffffffff-2022-08,2
84ac165ffffffff-2023-04,8
84ac165ffffffff-2023-06,7
84ac165ffffffff-2023-07,7
84ac165ffffffff-2023-10,2
84ac801ffffffff-2021-05,1
84ac801ffffffff-2022-08,1
84ac801ffffffff-2022-11,1
84ac805ffffffff-2018-07,1
84ac841ffffffff-2019-09,1
84ac849ffffffff-2022-08,1
84ac851ffffffff-2014-11,1
84ac859ffffffff-2023-08,1
84ac863ffffffff-2013-05,3
84ac867ffffffff-2017-11,1
84ac867ffffffff-2019-11,1
84ac867ffffffff-2022-09,1
84ac867ffffffff-2022-11,1
84ac867ffffffff-2023-09,2
84ac8a9ffffffff-2019-08,2
84ac8b9ffffffff-2017-02,1
84ac8b9ffffffff-2022-08,1
84ac8cbffffffff-2023-04,2
84aca03ffffffff-2022-10,2
84aca03ffffffff-2023-09,2
84aca0bffffffff-2016-07,1
84aca11ffffffff-2023-09,1
84aca15ffffffff-2012-08,1
84aca15ffffffff-2014-05,1
84aca15ffffffff-2014-07,1
84aca15ffffffff-2014-10,2
84aca15ffffffff-2014-12,1
84aca15ffffffff-2015-01,1
84aca15ffffffff-2015-04,4
84aca15ffffffff-2015-06,1
84aca15ffffffff-2015-08,2
84aca15ffffffff-2015-09,2
84aca15ffffffff-2015-11,3
84aca15ffffffff-2015-12,3
84aca15ffffffff-2016-03,1
84aca15ffffffff-2016-08,1
84aca15ffffffff-2016-09,3
84aca15ffffffff-2016-10,3
84aca15ffffffff-2017-10,6
84aca15ffffffff-2017-11,5
84aca15ffffffff-2018-04,1
84aca15ffffffff-2018-05,1
84aca15ffffffff-2018-11,1
84aca15ffffffff-2018-12,3
84aca15ffffffff-2019-01,2
84aca15ffffffff-2019-02,7
84aca15ffffffff-2021-04,2
84aca15ffffffff-2021-08,3
84aca15ffffffff-2021-10,1
84aca15ffffffff-2022-04,1
84aca15ffffffff-2022-06,1
84aca15ffffffff-2022-08,4
84aca15ffffffff-2022-10,1
84aca15ffffffff-2022-11,4
84aca15ffffffff-2022-12,4
84aca15ffffffff-2023-02,2
84aca15ffffffff-2023-03,4
84aca15ffffffff-2023-09,13
84aca15ffffffff-2023-10,5
84aca15ffffffff-2023-11,2
84aca19ffffffff-2015-06,2
84aca19ffffffff-2018-09,2
84aca19ffffffff-2019-11,1
84aca19ffffffff-2020-02,1
84aca19ffffffff-2022-07,1
84aca19ffffffff-2022-08,1
84aca19ffffffff-2022-09,2
84aca19ffffffff-2022-10,3
84aca19ffffffff-2023-08,2
84aca19ffffffff-2023-09,6
84aca19ffffffff-2023-10,4
84aca1dffffffff-2023-09,3
84aca23ffffffff-2022-04,1
84aca27ffffffff-2019-05,2
84aca27ffffffff-2022-05,1
84aca29ffffffff-2023-03,1
84aca29ffffffff-2023-10,1
84aca33ffffffff-2015-12,2
84aca39ffffffff-2015-08,1
84aca39ffffffff-2015-10,2
84aca39ffffffff-2016-04,1
84aca39ffffffff-2016-09,1
84aca39ffffffff-2016-10,2
84aca39ffffffff-2017-10,1
84aca39ffffffff-2022-05,1
84aca39ffffffff-2022-11,5
84aca39ffffffff-2023-09,4
84aca3dffffffff-2012-02,1
84aca3dffffffff-2012-08,1
84aca3dffffffff-2015-10,2
84aca3dffffffff-2015-11,1
84aca3dffffffff-2015-12,1
84aca3dffffffff-2017-03,2
84aca3dffffffff-2017-08,21
84aca3dffffffff-2017-09,4
84aca3dffffffff-2017-10,2
84aca3dffffffff-2018-12,1
84aca3dffffffff-2019-11,2
84aca3dffffffff-2021-12,10
84aca3dffffffff-2022-08,1
84aca3dffffffff-2023-01,1
84aca3dffffffff-2023-09,8
84aca41ffffffff-2013-05,2
84aca41ffffffff-2022-12,1
84aca49ffffffff-2017-11,1
84aca4bffffffff-2013-05,4
