index,n
842098dffffffff-2021-02,1
842098dffffffff-2021-06,5
842098dffffffff-2022-08,1
8420995ffffffff-2021-09,1
8420999ffffffff-2022-06,2
8420999ffffffff-2023-06,10
8420999ffffffff-2023-07,2
84209a1ffffffff-2021-11,1
84209a1ffffffff-2022-03,1
84209a1ffffffff-2022-08,2
84209a1ffffffff-2022-09,1
84209a7ffffffff-2018-08,2
84209a7ffffffff-2020-10,1
84209a7ffffffff-2021-06,14
84209a7ffffffff-2023-02,2
84209abffffffff-2018-11,3
84209abffffffff-2020-11,3
84209abffffffff-2021-04,1
84209abffffffff-2022-06,1
84209abffffffff-2022-07,1
84209abffffffff-2022-08,4
84209abffffffff-2023-06,9
84209abffffffff-2023-07,6
84209b5ffffffff-2019-06,6
84209b5ffffffff-2020-11,2
84209b5ffffffff-2022-07,3
84209b5ffffffff-2022-11,4
84209b7ffffffff-2017-10,1
84209b7ffffffff-2022-01,5
84209b7ffffffff-2022-02,4
84209b7ffffffff-2023-02,1
84209b7ffffffff-2023-10,1
84209cdffffffff-2022-06,1
843c341ffffffff-2021-04,2
843c343ffffffff-2021-10,3
843c345ffffffff-2021-04,2
843c34bffffffff-2014-03,1
843c34bffffffff-2014-05,6
843c34bffffffff-2014-10,7
843c34bffffffff-2015-10,8
843c34bffffffff-2022-05,1
843d109ffffffff-2017-01,1
843d109ffffffff-2017-02,6
843d109ffffffff-2017-03,1
843d109ffffffff-2017-05,2
843d109ffffffff-2017-06,1
843d109ffffffff-2017-09,1
843d109ffffffff-2017-11,3
843d109ffffffff-2018-02,3
843d109ffffffff-2018-09,1
843d109ffffffff-2018-11,3
843d109ffffffff-2019-02,5
843d109ffffffff-2019-05,1
843d109ffffffff-2021-02,1
843d109ffffffff-2022-02,2
843d10bffffffff-2019-10,1
843d111ffffffff-2013-11,1
843d111ffffffff-2015-09,2
843d111ffffffff-2017-02,1
843d111ffffffff-2017-11,2
843d111ffffffff-2018-03,2
843d111ffffffff-2021-01,2
843d111ffffffff-2021-03,7
843d111ffffffff-2021-10,1
843d111ffffffff-2021-12,3
843d111ffffffff-2022-01,4
843d111ffffffff-2022-02,2
843d111ffffffff-2022-04,2
843d111ffffffff-2022-11,4
