index,n
8424da5ffffffff-2023-07,1
8424dadffffffff-2021-07,2
8424dadffffffff-2023-07,2
8430911ffffffff-2012-06,1
843cc97ffffffff-2023-05,2
8440035ffffffff-2015-05,1
8440035ffffffff-2015-06,1
8440035ffffffff-2017-07,1
8440035ffffffff-2021-07,2
8440035ffffffff-2022-07,3
8440035ffffffff-2022-10,1
8440099ffffffff-2018-08,1
84400a5ffffffff-2018-08,1
84400e7ffffffff-2014-08,1
84400e7ffffffff-2018-05,1
8440197ffffffff-2019-03,2
8440197ffffffff-2019-04,1
844019dffffffff-2017-07,1
844019dffffffff-2017-10,1
844019dffffffff-2018-06,1
844019dffffffff-2018-07,1
844019dffffffff-2019-05,1
844019dffffffff-2019-07,6
844019dffffffff-2019-10,1
844019dffffffff-2020-05,2
844019dffffffff-2020-08,1
844019dffffffff-2021-05,1
844019dffffffff-2021-09,1
84401dbffffffff-2016-07,3
84401dbffffffff-2018-06,1
84401dbffffffff-2018-10,2
84401dbffffffff-2019-05,6
84401dbffffffff-2019-07,2
84401dbffffffff-2021-06,1
84401dbffffffff-2021-07,2
84401dbffffffff-2022-06,1
84401dbffffffff-2023-05,3
84401dbffffffff-2023-07,1
84401ddffffffff-2019-06,1
8440403ffffffff-2013-05,1
8440403ffffffff-2013-12,1
8440403ffffffff-2015-06,1
8440403ffffffff-2015-08,1
8440403ffffffff-2016-01,1
8440403ffffffff-2017-07,1
8440403ffffffff-2018-05,1
8440403ffffffff-2018-10,2
8440403ffffffff-2020-10,1
8440403ffffffff-2021-10,2
8440403ffffffff-2022-07,1
8440413ffffffff-2015-01,1
8440413ffffffff-2019-12,1
8440431ffffffff-2018-08,2
8440435ffffffff-2017-05,7
8440437ffffffff-2016-04,1
8440437ffffffff-2021-03,1
8440437ffffffff-2022-07,2
8440439ffffffff-2013-02,2
8440439ffffffff-2013-04,1
8440439ffffffff-2014-03,1
8440439ffffffff-2015-04,3
8440439ffffffff-2016-02,3
8440439ffffffff-2016-03,1
8440439ffffffff-2016-05,6
8440439ffffffff-2016-06,1
8440439ffffffff-2016-09,4
8440439ffffffff-2017-02,2
8440439ffffffff-2017-08,2
8440439ffffffff-2017-10,1
8440439ffffffff-2018-01,1
8440439ffffffff-2018-02,3
8440439ffffffff-2018-04,2
8440439ffffffff-2018-06,1
8440439ffffffff-2018-07,1
8440439ffffffff-2018-08,3
8440439ffffffff-2018-12,3
8440439ffffffff-2019-01,4
8440439ffffffff-2019-03,1
8440439ffffffff-2019-09,2
8440439ffffffff-2020-08,1
8440439ffffffff-2020-09,5
8440439ffffffff-2021-06,2
8440439ffffffff-2021-07,7
8440439ffffffff-2021-10,2
8440439ffffffff-2021-11,6
8440439ffffffff-2022-04,1
8440439ffffffff-2022-05,2
8440439ffffffff-2022-12,2
8440439ffffffff-2023-01,2
8440439ffffffff-2023-02,1
8440439ffffffff-2023-04,2
8440439ffffffff-2023-05,2
8440439ffffffff-2023-07,2
8440439ffffffff-2023-08,5
8440443ffffffff-2022-08,1
8440443ffffffff-2022-11,2
8440447ffffffff-2015-02,1
8440447ffffffff-2015-04,1
8440447ffffffff-2015-08,1
8440447ffffffff-2016-04,1
8440447ffffffff-2016-09,2
8440447ffffffff-2018-03,1
8440447ffffffff-2019-01,2
8440447ffffffff-2020-10,3
8440447ffffffff-2021-04,4
8440447ffffffff-2021-06,2
8440447ffffffff-2021-07,1
8440447ffffffff-2022-04,1
8440447ffffffff-2022-06,2
8440447ffffffff-2022-08,2
8440447ffffffff-2023-02,1
