index,n
84b9141ffffffff-2015-09,5
84ba241ffffffff-2018-01,5
84ba241ffffffff-2019-04,7
84ba241ffffffff-2021-04,4
84ba241ffffffff-2022-01,1
84ba241ffffffff-2023-02,4
84ba241ffffffff-2023-03,1
84ba24bffffffff-2018-01,2
84ba24bffffffff-2019-04,2
84ba24bffffffff-2020-11,1
84ba24bffffffff-2021-01,1
84ba24bffffffff-2021-04,6
84ba24bffffffff-2022-01,3
84ba24bffffffff-2022-06,2
84ba24dffffffff-2018-01,3
84ba24dffffffff-2019-04,3
84ba24dffffffff-2021-04,7
84ba24dffffffff-2022-11,2
84ba24dffffffff-2023-02,4
84bb081ffffffff-2017-12,1
84bb081ffffffff-2019-01,1
84bb081ffffffff-2019-04,1
84bb081ffffffff-2019-12,5
84bb081ffffffff-2021-01,26
84bb081ffffffff-2022-03,1
84bb081ffffffff-2022-12,1
84bb085ffffffff-2015-03,1
84bb085ffffffff-2015-11,1
84bb085ffffffff-2017-04,1
84bb085ffffffff-2017-10,9
84bb085ffffffff-2017-12,1
84bb085ffffffff-2018-02,1
84bb085ffffffff-2018-11,1
84bb085ffffffff-2019-01,2
84bb085ffffffff-2019-04,5
84bb085ffffffff-2020-02,2
84bb085ffffffff-2020-08,1
84bb085ffffffff-2020-09,5
84bb085ffffffff-2020-12,2
84bb085ffffffff-2021-01,26
84bb085ffffffff-2021-02,1
84bb085ffffffff-2021-04,1
84bb085ffffffff-2022-01,1
84bb085ffffffff-2023-02,7
84bb085ffffffff-2023-04,2
84bb085ffffffff-2023-10,1
84bb089ffffffff-2012-01,2
84bb089ffffffff-2013-01,1
84bb089ffffffff-2013-05,1
84bb089ffffffff-2013-10,1
84bb089ffffffff-2014-12,2
84bb089ffffffff-2015-11,2
84bb089ffffffff-2015-12,1
84bb089ffffffff-2016-01,1
84bb089ffffffff-2016-02,3
84bb089ffffffff-2016-03,2
84bb089ffffffff-2016-04,3
84bb089ffffffff-2016-06,5
84bb089ffffffff-2016-08,1
84bb089ffffffff-2016-09,2
84bb089ffffffff-2016-12,1
84bb089ffffffff-2017-01,4
84bb089ffffffff-2017-03,1
84bb089ffffffff-2017-10,7
84bb089ffffffff-2017-11,8
84bb089ffffffff-2017-12,2
84bb089ffffffff-2018-02,3
84bb089ffffffff-2018-04,5
84bb089ffffffff-2018-05,2
84bb089ffffffff-2018-10,3
84bb089ffffffff-2018-11,3
84bb089ffffffff-2019-02,2
84bb089ffffffff-2019-03,2
84bb089ffffffff-2019-04,5
84bb089ffffffff-2019-05,3
84bb089ffffffff-2019-09,1
84bb089ffffffff-2019-10,8
84bb089ffffffff-2019-11,26
84bb089ffffffff-2019-12,8
84bb089ffffffff-2020-01,5
84bb089ffffffff-2020-02,2
84bb089ffffffff-2020-03,2
84bb089ffffffff-2020-04,1
84bb089ffffffff-2020-05,5
84bb089ffffffff-2020-06,3
84bb089ffffffff-2020-07,4
84bb089ffffffff-2020-10,13
