index,n
8441035ffffffff-2021-01,1
8441035ffffffff-2021-05,1
8441035ffffffff-2021-08,1
8441035ffffffff-2021-09,1
8441037ffffffff-2020-10,1
8441037ffffffff-2020-11,2
8441037ffffffff-2021-03,2
8441037ffffffff-2021-10,1
84411c9ffffffff-2020-05,1
84411c9ffffffff-2020-07,1
84411c9ffffffff-2020-10,4
84411c9ffffffff-2021-05,1
84411c9ffffffff-2021-07,2
84411cbffffffff-2018-10,1
84411cbffffffff-2018-11,3
84411cbffffffff-2019-09,4
84411cbffffffff-2019-10,5
84411cbffffffff-2019-11,4
84411cbffffffff-2020-02,1
84411cbffffffff-2020-06,1
84411cbffffffff-2020-07,4
84411cbffffffff-2020-08,6
84411cbffffffff-2020-09,9
84411cbffffffff-2020-10,48
84411cbffffffff-2020-11,56
84411cbffffffff-2020-12,21
84411cbffffffff-2021-01,17
84411cbffffffff-2021-02,5
84411cbffffffff-2021-03,13
84411cbffffffff-2021-04,31
84411cbffffffff-2021-05,13
84411cbffffffff-2021-08,2
84411cbffffffff-2021-09,3
84411cbffffffff-2021-10,9
84411cbffffffff-2021-11,7
84411cbffffffff-2021-12,6
84411cbffffffff-2022-01,7
84411cbffffffff-2022-02,4
84411cbffffffff-2022-03,1
84411cbffffffff-2022-04,1
84411cbffffffff-2022-11,3
84411cbffffffff-2023-01,1
84411d5ffffffff-2020-11,3
8441643ffffffff-2016-04,1
8441643ffffffff-2019-02,2
8441643ffffffff-2023-01,1
844b849ffffffff-2017-12,3
844b849ffffffff-2021-05,2
844ba09ffffffff-2022-02,2
844ba0bffffffff-2016-07,1
844ba15ffffffff-2018-09,1
844ba25ffffffff-2021-08,3
844ba25ffffffff-2022-01,24
844ba25ffffffff-2022-02,23
844ba25ffffffff-2022-03,1
844ba25ffffffff-2022-07,4
844ba25ffffffff-2023-06,3
844ba25ffffffff-2023-10,5
844ba29ffffffff-2015-11,1
844ba29ffffffff-2017-09,1
844ba29ffffffff-2019-04,1
844ba29ffffffff-2019-05,1
844ba29ffffffff-2019-09,1
844bb53ffffffff-2021-11,5
845e429ffffffff-2015-04,1
