index,n
8458d81ffffffff-2019-04,2
846ac0bffffffff-2022-07,1
846ac15ffffffff-2012-11,1
846ac15ffffffff-2013-06,2
846ac15ffffffff-2016-07,2
846ac15ffffffff-2017-07,1
846ac15ffffffff-2018-07,4
846ac15ffffffff-2019-12,1
846ac15ffffffff-2020-10,1
846ac15ffffffff-2021-02,2
846ac15ffffffff-2021-08,1
846ac15ffffffff-2021-09,1
846ac15ffffffff-2021-11,3
846ac15ffffffff-2022-02,8
846ac15ffffffff-2022-03,6
846ac15ffffffff-2022-05,2
846ac15ffffffff-2022-06,4
846ac15ffffffff-2023-01,1
846ac15ffffffff-2023-02,1
846ac15ffffffff-2023-03,1
846ac15ffffffff-2023-04,1
846ac15ffffffff-2023-05,3
846ac15ffffffff-2023-08,6
846ac15ffffffff-2023-09,1
846ac3dffffffff-2014-02,1
846ac3dffffffff-2018-07,2
846ac89ffffffff-2023-07,1
846acd1ffffffff-2019-09,1
846acd5ffffffff-2013-12,1
846acd5ffffffff-2014-09,1
846acd5ffffffff-2017-11,1
846acd5ffffffff-2019-08,2
846acd5ffffffff-2021-11,1
846acd5ffffffff-2023-06,3
846acd5ffffffff-2023-10,2
846ace5ffffffff-2015-07,1
846ad1bffffffff-2013-04,1
846ada1ffffffff-2014-04,1
846ada1ffffffff-2019-07,1
846ada9ffffffff-2022-09,1
846ada9ffffffff-2023-11,2
846adadffffffff-2012-04,1
846adc1ffffffff-2012-01,4
846adc1ffffffff-2012-11,2
846adc1ffffffff-2012-12,1
846adc1ffffffff-2013-01,3
846adc1ffffffff-2013-02,2
846adc1ffffffff-2013-03,1
846adc1ffffffff-2013-06,4
846adc1ffffffff-2013-07,2
846adc1ffffffff-2013-09,1
846adc1ffffffff-2013-11,1
846adc1ffffffff-2014-01,2
846adc1ffffffff-2014-02,3
846adc1ffffffff-2014-06,5
846adc1ffffffff-2015-03,4
846adc1ffffffff-2015-06,4
846adc1ffffffff-2015-07,7
846adc1ffffffff-2015-09,2
846adc1ffffffff-2015-11,2
846adc1ffffffff-2015-12,1
846adc1ffffffff-2016-01,1
846adc1ffffffff-2016-03,4
846adc1ffffffff-2016-06,2
846adc1ffffffff-2016-07,5
846adc1ffffffff-2016-08,4
846adc1ffffffff-2016-11,9
846adc1ffffffff-2016-12,1
846adc1ffffffff-2017-01,3
846adc1ffffffff-2017-02,1
846adc1ffffffff-2017-04,3
846adc1ffffffff-2017-05,5
846adc1ffffffff-2017-06,2
846adc1ffffffff-2017-07,8
846adc1ffffffff-2017-08,2
846adc1ffffffff-2018-01,2
846adc1ffffffff-2018-02,1
846adc1ffffffff-2018-05,4
846adc1ffffffff-2018-06,11
846adc1ffffffff-2018-07,36
846adc1ffffffff-2018-08,8
846adc1ffffffff-2018-09,1
846adc1ffffffff-2018-10,1
846adc1ffffffff-2018-12,10
846adc1ffffffff-2019-02,4
846adc1ffffffff-2019-03,3
846adc1ffffffff-2019-05,3
846adc1ffffffff-2019-06,13
846adc1ffffffff-2019-07,12
846adc1ffffffff-2019-08,1
846adc1ffffffff-2019-10,1
846adc1ffffffff-2019-11,1
846adc1ffffffff-2019-12,8
846adc1ffffffff-2020-02,2
846adc1ffffffff-2020-10,2
846adc1ffffffff-2020-12,1
846adc1ffffffff-2021-01,5
846adc1ffffffff-2021-02,12
846adc1ffffffff-2021-03,3
