index,n
8446005ffffffff-2017-10,1
8446007ffffffff-2016-08,1
8446019ffffffff-2017-10,1
8446063ffffffff-2018-04,2
8446065ffffffff-2017-08,2
8446081ffffffff-2018-04,2
8446083ffffffff-2013-06,2
8446083ffffffff-2018-04,2
8446083ffffffff-2020-04,4
844608bffffffff-2016-08,1
844608bffffffff-2018-02,1
844608bffffffff-2018-04,2
844608bffffffff-2020-03,2
844608bffffffff-2020-04,4
8446093ffffffff-2020-03,4
8446095ffffffff-2020-03,2
84460c9ffffffff-2017-10,2
84460cbffffffff-2017-10,1
8446129ffffffff-2017-11,1
8446185ffffffff-2017-09,1
8446189ffffffff-2012-04,1
844618bffffffff-2017-11,1
8446199ffffffff-2017-11,1
844619dffffffff-2017-11,1
84461e7ffffffff-2017-09,2
84462b7ffffffff-2017-10,1
8446309ffffffff-2017-10,1
844633dffffffff-2012-01,10
844633dffffffff-2012-02,35
844633dffffffff-2012-03,21
844633dffffffff-2013-03,2
844633dffffffff-2014-08,2
844633dffffffff-2014-09,2
844633dffffffff-2016-08,1
844633dffffffff-2017-08,3
844633dffffffff-2021-07,5
844633dffffffff-2023-10,1
8446345ffffffff-2017-10,1
8446363ffffffff-2017-10,1
8446409ffffffff-2017-11,1
844640dffffffff-2017-10,1
8446421ffffffff-2019-03,1
8446421ffffffff-2020-03,10
8446421ffffffff-2022-04,1
8446423ffffffff-2018-04,4
8446423ffffffff-2020-03,6
8446425ffffffff-2013-09,1
8446425ffffffff-2018-04,6
8446425ffffffff-2020-03,2
8446427ffffffff-2018-04,4
8446427ffffffff-2019-03,1
8446429ffffffff-2016-08,1
8446429ffffffff-2021-07,1
8446429ffffffff-2022-04,6
8446429ffffffff-2022-10,5
844642bffffffff-2022-04,2
844642dffffffff-2013-09,1
8446431ffffffff-2020-03,2
8446431ffffffff-2022-04,1
8446433ffffffff-2019-10,8
8446435ffffffff-2020-03,5
8446437ffffffff-2020-03,2
8446437ffffffff-2020-04,2
8446439ffffffff-2019-10,1
844643dffffffff-2019-10,3
844643dffffffff-2022-04,3
844646bffffffff-2017-10,1
8446483ffffffff-2012-01,1
8446483ffffffff-2012-02,1
8446483ffffffff-2012-04,1
8446483ffffffff-2013-03,1
8446483ffffffff-2013-07,1
8446483ffffffff-2013-08,1
8446483ffffffff-2014-03,1
8446483ffffffff-2014-11,1
8446483ffffffff-2015-01,1
8446483ffffffff-2015-12,1
8446483ffffffff-2016-02,1
8446483ffffffff-2016-05,1
8446483ffffffff-2016-08,1
8446483ffffffff-2017-07,1
8446483ffffffff-2017-08,2
8446483ffffffff-2017-09,1
8446483ffffffff-2017-11,1
8446483ffffffff-2017-12,1
8446483ffffffff-2018-02,1
8446483ffffffff-2019-01,1
8446483ffffffff-2021-05,2
8446483ffffffff-2021-07,2
8446483ffffffff-2021-08,1
8446483ffffffff-2021-10,2
8446483ffffffff-2022-05,3
8446483ffffffff-2022-07,1
8446483ffffffff-2022-08,1
8446483ffffffff-2022-12,2
8446483ffffffff-2023-01,1
8446483ffffffff-2023-05,1
8446483ffffffff-2023-06,2
8446483ffffffff-2023-07,1
8446483ffffffff-2023-08,1
8446483ffffffff-2023-09,1
8446485ffffffff-2018-02,1
8446485ffffffff-2018-04,2
8446485ffffffff-2022-04,1
8446487ffffffff-2014-09,1
8446487ffffffff-2014-12,1
8446487ffffffff-2016-05,2
8446487ffffffff-2017-03,1
8446487ffffffff-2017-04,1
8446487ffffffff-2017-05,1
8446487ffffffff-2017-08,2
8446487ffffffff-2017-12,2
8446487ffffffff-2018-03,1
8446487ffffffff-2018-04,5
8446487ffffffff-2018-05,1
8446487ffffffff-2018-07,1
8446487ffffffff-2018-12,1
8446487ffffffff-2019-03,1
8446487ffffffff-2019-10,3
8446487ffffffff-2019-12,1
8446487ffffffff-2020-03,6
8446487ffffffff-2021-05,1
8446487ffffffff-2021-06,2
8446487ffffffff-2021-07,1
8446487ffffffff-2022-01,1
8446487ffffffff-2022-03,1
8446487ffffffff-2022-04,2
8446487ffffffff-2022-06,3
8446487ffffffff-2022-11,1
8446487ffffffff-2022-12,2
8446487ffffffff-2023-02,2
8446487ffffffff-2023-03,2
8446487ffffffff-2023-04,2
8446487ffffffff-2023-05,1
8446491ffffffff-2022-06,1
8446495ffffffff-2012-01,5
8446495ffffffff-2012-02,17
8446495ffffffff-2012-03,14
8446495ffffffff-2012-04,12
8446495ffffffff-2012-05,10
8446495ffffffff-2012-06,14
8446495ffffffff-2012-07,8
8446495ffffffff-2012-08,12
8446495ffffffff-2012-09,2
8446495ffffffff-2012-10,3
8446495ffffffff-2012-12,1
8446495ffffffff-2013-01,4
8446495ffffffff-2013-02,21
8446495ffffffff-2013-03,8
8446495ffffffff-2013-04,4
8446495ffffffff-2013-05,12
8446495ffffffff-2013-06,11
8446495ffffffff-2013-07,6
8446495ffffffff-2013-08,4
8446495ffffffff-2013-09,4
8446495ffffffff-2013-10,4
8446495ffffffff-2013-11,2
8446495ffffffff-2013-12,2
8446495ffffffff-2014-01,6
8446495ffffffff-2014-02,8
8446495ffffffff-2014-03,28
8446495ffffffff-2014-04,20
8446495ffffffff-2014-05,9
8446495ffffffff-2014-06,14
8446495ffffffff-2014-07,8
8446495ffffffff-2014-08,11
8446495ffffffff-2014-09,11
8446495ffffffff-2014-10,11
8446495ffffffff-2014-11,1
8446495ffffffff-2014-12,5
8446495ffffffff-2015-01,3
8446495ffffffff-2015-02,20
8446495ffffffff-2015-03,23
8446495ffffffff-2015-04,8
8446495ffffffff-2015-05,21
8446495ffffffff-2015-06,21
8446495ffffffff-2015-07,11
8446495ffffffff-2015-08,33
8446495ffffffff-2015-09,10
8446495ffffffff-2015-10,9
8446495ffffffff-2015-11,3
8446495ffffffff-2015-12,9
8446495ffffffff-2016-01,16
8446495ffffffff-2016-02,38
