index,n
843c025ffffffff-2013-04,1
843c025ffffffff-2018-06,1
843c025ffffffff-2020-10,3
843c025ffffffff-2021-02,2
843c025ffffffff-2022-04,1
843c025ffffffff-2022-05,1
843c025ffffffff-2023-02,1
843c029ffffffff-2023-04,4
843c02dffffffff-2020-12,1
843c02dffffffff-2021-01,1
843c02dffffffff-2021-02,1
843c02dffffffff-2021-04,3
843c02dffffffff-2021-12,1
843c02dffffffff-2022-02,2
843c02dffffffff-2022-03,2
843c02dffffffff-2022-04,3
843c02dffffffff-2022-05,1
843c02dffffffff-2022-06,2
843c02dffffffff-2022-11,1
843c02dffffffff-2022-12,1
843c02dffffffff-2023-01,3
843c02dffffffff-2023-03,1
843c02dffffffff-2023-04,8
843c02dffffffff-2023-06,1
843c02dffffffff-2023-09,2
843c065ffffffff-2014-01,1
843c065ffffffff-2017-06,1
843c065ffffffff-2020-05,1
843c065ffffffff-2021-01,1
843c065ffffffff-2021-04,2
843c065ffffffff-2022-03,1
843c065ffffffff-2022-04,3
843c065ffffffff-2022-06,1
843c065ffffffff-2022-10,1
843c065ffffffff-2023-01,3
843c065ffffffff-2023-03,1
843c0a5ffffffff-2015-10,1
843c0a5ffffffff-2018-03,1
843c0a5ffffffff-2019-01,2
843c0a5ffffffff-2019-03,2
843c0a5ffffffff-2019-04,5
843c0a5ffffffff-2019-11,1
843c0a5ffffffff-2021-02,3
843c0a5ffffffff-2021-03,1
843c0a5ffffffff-2021-06,1
843c0a5ffffffff-2021-12,1
843c0a5ffffffff-2022-03,5
843c0a7ffffffff-2022-02,2
843c153ffffffff-2020-10,2
843c153ffffffff-2022-04,1
843c153ffffffff-2022-12,2
843c159ffffffff-2012-01,1
843c159ffffffff-2012-03,3
843c159ffffffff-2012-08,2
843c159ffffffff-2012-10,1
843c159ffffffff-2012-12,5
843c159ffffffff-2013-01,3
843c159ffffffff-2013-09,5
843c159ffffffff-2013-10,1
843c159ffffffff-2013-11,1
843c159ffffffff-2014-01,1
843c159ffffffff-2014-02,2
843c159ffffffff-2014-03,1
