index,n
8472c91ffffffff-2013-12,2
8472c91ffffffff-2014-10,1
8472c91ffffffff-2015-10,1
8472c91ffffffff-2016-07,4
8472c91ffffffff-2016-10,2
8472c91ffffffff-2017-10,1
8472c91ffffffff-2023-10,1
8472c9dffffffff-2022-10,2
8472c9dffffffff-2023-10,3
8476809ffffffff-2022-11,1
8476809ffffffff-2023-09,4
847680dffffffff-2015-10,1
847680dffffffff-2022-10,2
84768abffffffff-2022-11,1
847699dffffffff-2023-04,2
84769d1ffffffff-2012-04,1
84769d1ffffffff-2017-07,4
84769d1ffffffff-2019-07,5
84769ddffffffff-2016-10,1
84769ddffffffff-2017-07,1
84769ddffffffff-2019-08,1
8477913ffffffff-2014-10,1
8477913ffffffff-2022-07,1
8477959ffffffff-2015-10,1
8477959ffffffff-2016-10,2
847795bffffffff-2013-01,10
847795bffffffff-2014-10,2
8477981ffffffff-2012-12,6
8477981ffffffff-2016-07,1
8477981ffffffff-2018-07,1
8477981ffffffff-2022-08,4
8477981ffffffff-2022-11,1
8477981ffffffff-2023-02,1
847798dffffffff-2022-07,1
84779a3ffffffff-2019-08,1
84779a3ffffffff-2022-10,4
84779abffffffff-2022-07,1
84779b5ffffffff-2017-07,1
84779bdffffffff-2016-10,2
84779bdffffffff-2019-03,1
84779bdffffffff-2022-09,1
84779bdffffffff-2023-10,2
84779c5ffffffff-2015-10,1
849a021ffffffff-2012-05,27
849a021ffffffff-2016-07,34
849a021ffffffff-2016-12,1
849a021ffffffff-2018-05,4
849a021ffffffff-2018-06,1
849a021ffffffff-2019-04,1
849a021ffffffff-2021-10,1
849a021ffffffff-2022-09,3
849a021ffffffff-2023-06,21
849a025ffffffff-2014-07,1
849a025ffffffff-2016-12,1
849a025ffffffff-2019-03,5
849a025ffffffff-2019-04,1
849a025ffffffff-2023-06,4
849a025ffffffff-2023-08,1
849a02dffffffff-2012-05,15
849a02dffffffff-2012-07,1
849a02dffffffff-2013-07,1
849a02dffffffff-2014-07,57
849a02dffffffff-2015-06,1
849a02dffffffff-2016-07,27
849a02dffffffff-2018-01,2
849a02dffffffff-2018-07,1
849a02dffffffff-2019-11,1
849a02dffffffff-2021-08,1
849a02dffffffff-2022-09,3
849a02dffffffff-2023-06,4
849a141ffffffff-2012-10,1
849a141ffffffff-2013-03,1
849a141ffffffff-2014-08,2
849a141ffffffff-2015-10,2
849a141ffffffff-2015-11,2
849a141ffffffff-2016-04,2
849a141ffffffff-2016-09,2
849a141ffffffff-2016-11,7
849a141ffffffff-2017-03,1
849a141ffffffff-2017-06,3
849a141ffffffff-2017-07,6
849a141ffffffff-2017-08,1
849a141ffffffff-2017-09,5
849a141ffffffff-2017-10,2
849a141ffffffff-2017-11,12
849a141ffffffff-2017-12,4
849a141ffffffff-2018-04,1
849a141ffffffff-2018-10,6
849a141ffffffff-2018-11,8
849a141ffffffff-2019-01,1
849a141ffffffff-2019-03,3
849a141ffffffff-2019-10,1
849a141ffffffff-2020-01,2
849a141ffffffff-2020-02,2
849a141ffffffff-2021-05,1
849a141ffffffff-2022-11,3
849a141ffffffff-2023-02,5
849a141ffffffff-2023-04,2
849a141ffffffff-2023-05,8
849a141ffffffff-2023-06,4
849a141ffffffff-2023-07,4
849a141ffffffff-2023-08,24
849a141ffffffff-2023-09,2
849a141ffffffff-2023-10,1
849a141ffffffff-2023-11,7
849a151ffffffff-2012-07,1
849a151ffffffff-2012-11,2
849a151ffffffff-2013-07,3
849a151ffffffff-2014-07,39
849a151ffffffff-2014-10,1
849a151ffffffff-2015-07,9
849a151ffffffff-2015-09,1
849a151ffffffff-2015-10,2
849a151ffffffff-2016-07,1
849a151ffffffff-2016-08,7
849a151ffffffff-2016-12,3
849a151ffffffff-2017-08,5
849a151ffffffff-2018-01,3
849a151ffffffff-2018-05,3
849a151ffffffff-2018-06,5
849a151ffffffff-2018-07,1
849a151ffffffff-2018-10,2
849a151ffffffff-2018-11,3
849a151ffffffff-2019-02,1
849a151ffffffff-2019-03,3
849a151ffffffff-2019-04,4
849a151ffffffff-2019-05,2
849a151ffffffff-2019-06,9
849a151ffffffff-2019-07,6
849a151ffffffff-2019-09,6
849a151ffffffff-2019-10,4
849a151ffffffff-2019-11,1
849a151ffffffff-2020-03,1
849a151ffffffff-2020-10,2
849a151ffffffff-2021-05,3
849a151ffffffff-2021-10,4
849a151ffffffff-2022-05,2
849a151ffffffff-2022-08,1
849a151ffffffff-2022-09,3
849a151ffffffff-2022-10,7
849a151ffffffff-2022-11,20
849a151ffffffff-2023-03,5
849a151ffffffff-2023-04,8
849a151ffffffff-2023-05,7
849a151ffffffff-2023-06,28
849a151ffffffff-2023-08,15
849a151ffffffff-2023-09,2
849a151ffffffff-2023-10,3
849a151ffffffff-2023-11,1
849a153ffffffff-2015-05,1
849a153ffffffff-2023-05,1
849a15bffffffff-2019-03,3
849a15bffffffff-2023-06,2
849a15dffffffff-2023-04,1
849a15dffffffff-2023-06,6
849a169ffffffff-2016-01,2
849a169ffffffff-2016-02,2
849a169ffffffff-2016-03,2
849a169ffffffff-2017-09,1
849a169ffffffff-2023-05,1
849a2e9ffffffff-2014-04,1
849a2e9ffffffff-2015-10,1
849a74dffffffff-2015-10,1
849a74dffffffff-2017-10,1
849a74dffffffff-2018-05,8
849a74dffffffff-2021-07,4
849a74dffffffff-2021-09,1
849a74dffffffff-2023-03,1
849b01bffffffff-2013-09,1
849b01bffffffff-2019-02,1
849b01bffffffff-2019-04,1
849b0a5ffffffff-2023-10,4
849b0cdffffffff-2012-07,1
849b0cdffffffff-2014-06,1
849b0cdffffffff-2015-09,1
849b0cdffffffff-2015-10,2
849b0cdffffffff-2017-02,1
849b0cdffffffff-2017-07,1
849b0cdffffffff-2018-07,4
849b0cdffffffff-2019-06,2
849b0cdffffffff-2019-08,2
849b0cdffffffff-2019-09,1
849b0cdffffffff-2019-11,1
849b0cdffffffff-2019-12,2
849b0cdffffffff-2022-10,1
849b0cdffffffff-2022-12,1
849b0cdffffffff-2023-01,5
849b0cdffffffff-2023-04,2
849b0cdffffffff-2023-05,2
849b0cdffffffff-2023-09,3
849b0cdffffffff-2023-10,1
849b0cdffffffff-2023-11,5
849b19bffffffff-2014-02,14
849b19bffffffff-2014-04,1
849b19bffffffff-2015-10,3
849b19bffffffff-2017-04,1
849b19bffffffff-2017-07,1
849b19bffffffff-2017-10,1
849b19bffffffff-2019-04,1
849b19bffffffff-2019-06,1
849b19bffffffff-2022-10,2
849b19bffffffff-2023-09,1
849b19bffffffff-2023-10,7
849b19bffffffff-2023-11,7
849b411ffffffff-2020-02,1
849b413ffffffff-2012-02,1
849b413ffffffff-2013-01,3
849b413ffffffff-2013-10,1
849b413ffffffff-2020-02,1
849b413ffffffff-2020-03,4
849b413ffffffff-2020-04,17
849b413ffffffff-2020-05,9
849b413ffffffff-2020-06,9
849b413ffffffff-2023-05,1
849b415ffffffff-2017-05,2
849b41bffffffff-2012-01,1
849b41bffffffff-2012-02,3
849b41bffffffff-2012-03,2
849b41bffffffff-2012-04,3
849b41bffffffff-2012-05,2
849b41bffffffff-2012-06,1
849b41bffffffff-2012-07,3
849b41bffffffff-2012-08,11
849b41bffffffff-2012-09,11
849b41bffffffff-2012-10,6
849b41bffffffff-2012-11,1
849b41bffffffff-2012-12,3
849b41bffffffff-2013-01,9
849b41bffffffff-2013-02,6
849b41bffffffff-2013-03,10
849b41bffffffff-2013-04,4
849b41bffffffff-2013-05,10
849b41bffffffff-2013-06,5
849b41bffffffff-2013-07,4
849b41bffffffff-2013-09,8
849b41bffffffff-2013-10,6
849b41bffffffff-2013-11,8
849b41bffffffff-2013-12,1
849b41bffffffff-2014-01,4
849b41bffffffff-2014-03,1
849b41bffffffff-2014-04,7
849b41bffffffff-2014-05,2
849b41bffffffff-2014-06,10
849b41bffffffff-2014-07,4
849b41bffffffff-2014-08,9
849b41bffffffff-2014-10,2
849b41bffffffff-2014-11,5
849b41bffffffff-2015-01,6
849b41bffffffff-2015-03,1
849b41bffffffff-2015-04,6
849b41bffffffff-2015-05,2
849b41bffffffff-2015-06,8
849b41bffffffff-2015-09,5
849b41bffffffff-2015-10,16
849b41bffffffff-2015-11,1
849b41bffffffff-2015-12,4
849b41bffffffff-2016-02,1
849b41bffffffff-2016-03,1
849b41bffffffff-2016-04,1
849b41bffffffff-2016-05,1
849b41bffffffff-2016-06,4
849b41bffffffff-2016-07,7
849b41bffffffff-2016-08,3
849b41bffffffff-2016-10,4
849b41bffffffff-2016-12,6
849b41bffffffff-2017-01,5
849b41bffffffff-2017-03,2
849b41bffffffff-2017-04,11
849b41bffffffff-2017-05,10
849b41bffffffff-2017-06,1
849b41bffffffff-2017-07,4
849b41bffffffff-2017-08,4
849b41bffffffff-2017-10,16
849b41bffffffff-2017-12,3
849b41bffffffff-2018-02,1
849b41bffffffff-2018-03,4
849b41bffffffff-2018-05,6
849b41bffffffff-2018-06,6
849b41bffffffff-2018-07,27
849b41bffffffff-2018-08,4
849b41bffffffff-2018-09,8
849b41bffffffff-2018-10,4
849b41bffffffff-2018-11,1
849b41bffffffff-2019-01,1
849b41bffffffff-2019-02,3
849b41bffffffff-2019-03,1
849b41bffffffff-2019-04,1
849b41bffffffff-2019-06,2
849b41bffffffff-2019-07,2
849b41bffffffff-2019-08,35
849b41bffffffff-2019-09,9
849b41bffffffff-2019-10,6
849b41bffffffff-2019-11,7
849b41bffffffff-2019-12,2
849b41bffffffff-2020-01,8
849b41bffffffff-2020-02,10
849b41bffffffff-2020-03,2
849b41bffffffff-2020-05,3
849b41bffffffff-2020-06,5
849b41bffffffff-2020-07,9
849b41bffffffff-2020-09,7
849b41bffffffff-2020-10,15
849b41bffffffff-2020-11,9
849b41bffffffff-2020-12,6
849b41bffffffff-2021-01,2
849b41bffffffff-2021-03,3
849b41bffffffff-2021-04,5
849b41bffffffff-2021-07,1
849b41bffffffff-2022-04,7
849b41bffffffff-2022-05,14
849b41bffffffff-2022-06,33
849b41bffffffff-2022-07,15
849b41bffffffff-2022-08,10
849b41bffffffff-2022-09,18
849b41bffffffff-2022-10,17
849b41bffffffff-2022-11,20
849b41bffffffff-2022-12,13
849b41bffffffff-2023-01,2
849b41bffffffff-2023-02,4
849b41bffffffff-2023-03,4
849b41bffffffff-2023-04,1
849b41bffffffff-2023-05,9
849b41bffffffff-2023-06,14
849b41bffffffff-2023-07,4
849b41bffffffff-2023-08,2
849b41bffffffff-2023-09,5
849b41bffffffff-2023-10,6
849b41bffffffff-2023-11,7
849b41dffffffff-2013-07,1
849b41dffffffff-2017-07,1
849b421ffffffff-2013-07,1
849b427ffffffff-2013-07,6
849b427ffffffff-2022-10,2
849b427ffffffff-2023-10,2
849b437ffffffff-2012-08,1
849b437ffffffff-2013-01,1
849b437ffffffff-2013-05,1
849b437ffffffff-2013-10,1
849b437ffffffff-2014-06,2
849b437ffffffff-2014-10,1
849b437ffffffff-2014-11,2
849b437ffffffff-2015-05,1
849b437ffffffff-2015-07,3
849b437ffffffff-2015-08,1
849b437ffffffff-2015-10,1
849b437ffffffff-2015-11,4
849b437ffffffff-2016-05,1
849b437ffffffff-2016-06,2
849b437ffffffff-2016-07,3
849b437ffffffff-2016-08,10
849b437ffffffff-2016-09,6
849b437ffffffff-2016-12,3
849b437ffffffff-2017-04,4
849b437ffffffff-2017-05,2
849b437ffffffff-2017-06,1
849b437ffffffff-2017-07,2
849b437ffffffff-2017-08,3
849b437ffffffff-2017-10,2
849b437ffffffff-2018-04,2
849b437ffffffff-2018-06,1
849b437ffffffff-2018-08,4
849b437ffffffff-2018-09,4
849b437ffffffff-2018-10,3
849b437ffffffff-2018-11,3
849b437ffffffff-2019-03,3
849b437ffffffff-2019-08,6
849b437ffffffff-2019-09,3
849b437ffffffff-2019-10,2
849b437ffffffff-2019-11,1
849b437ffffffff-2019-12,2
849b437ffffffff-2020-02,1
849b437ffffffff-2020-06,1
849b437ffffffff-2022-05,8
849b437ffffffff-2022-06,1
849b437ffffffff-2022-08,10
849b437ffffffff-2022-09,12
849b437ffffffff-2022-10,4
849b437ffffffff-2022-11,12
849b437ffffffff-2023-03,5
849b437ffffffff-2023-05,1
849b437ffffffff-2023-06,9
849b437ffffffff-2023-07,7
849b437ffffffff-2023-08,9
849b437ffffffff-2023-09,12
849b437ffffffff-2023-10,5
849b437ffffffff-2023-11,2
849b43bffffffff-2012-01,1
849b43bffffffff-2013-01,3
849b453ffffffff-2015-09,1
849b453ffffffff-2015-10,1
849b453ffffffff-2018-03,1
849b453ffffffff-2019-11,3
849b453ffffffff-2022-09,2
849b453ffffffff-2023-03,4
849b453ffffffff-2023-06,1
849b45bffffffff-2012-09,2
849b45bffffffff-2018-03,2
849b45bffffffff-2018-12,4
849b45bffffffff-2019-01,6
849b45bffffffff-2019-11,2
849b45bffffffff-2019-12,1
849b45bffffffff-2020-03,3
849b45bffffffff-2022-05,1
849b45bffffffff-2022-07,2
849b45bffffffff-2022-09,4
849b45bffffffff-2022-10,1
849b45bffffffff-2022-11,4
849b45bffffffff-2022-12,1
849b45bffffffff-2023-06,4
849b45bffffffff-2023-10,1
849b4c1ffffffff-2016-08,2
849b4c1ffffffff-2017-09,2
849b4c1ffffffff-2019-08,3
