index,n
8444249ffffffff-2016-04,1
8444249ffffffff-2017-05,4
8444249ffffffff-2017-06,1
8444249ffffffff-2017-07,2
8444249ffffffff-2017-11,1
8444249ffffffff-2017-12,2
8444249ffffffff-2018-01,1
8444249ffffffff-2018-02,1
8444249ffffffff-2018-03,3
8444249ffffffff-2018-05,3
8444249ffffffff-2019-01,3
8444249ffffffff-2019-02,8
8444249ffffffff-2019-03,1
8444249ffffffff-2019-05,2
8444249ffffffff-2019-06,5
8444249ffffffff-2019-10,1
8444249ffffffff-2020-02,1
8444249ffffffff-2020-04,1
8444249ffffffff-2021-01,2
8444249ffffffff-2021-02,2
8444249ffffffff-2021-03,2
8444249ffffffff-2021-08,1
8444249ffffffff-2021-10,2
8444249ffffffff-2022-02,1
8444249ffffffff-2022-08,1
8444249ffffffff-2023-01,2
8444249ffffffff-2023-02,6
8444249ffffffff-2023-04,2
8444249ffffffff-2023-05,6
8444249ffffffff-2023-06,1
8444249ffffffff-2023-11,1
8445011ffffffff-2017-01,1
8445011ffffffff-2018-10,2
8445011ffffffff-2019-06,1
8445011ffffffff-2020-02,2
8445011ffffffff-2021-12,1
8445011ffffffff-2022-11,1
8445011ffffffff-2023-09,1
8445019ffffffff-2017-03,10
8445019ffffffff-2017-07,2
8445019ffffffff-2017-11,6
8445019ffffffff-2018-01,7
8445019ffffffff-2018-02,14
8445019ffffffff-2018-03,24
8445019ffffffff-2018-04,7
8445019ffffffff-2018-06,6
8445019ffffffff-2018-08,13
8445019ffffffff-2018-09,2
8445019ffffffff-2018-10,5
8445019ffffffff-2018-12,6
8445019ffffffff-2019-01,25
8445019ffffffff-2019-02,9
8445019ffffffff-2019-03,33
8445019ffffffff-2019-04,5
8445019ffffffff-2019-05,9
8445019ffffffff-2019-06,10
8445019ffffffff-2019-08,6
8445019ffffffff-2019-09,14
8445019ffffffff-2019-10,6
8445019ffffffff-2019-11,1
8445019ffffffff-2020-01,4
8445019ffffffff-2020-02,5
8445019ffffffff-2020-03,7
8445019ffffffff-2020-04,7
8445019ffffffff-2020-05,6
8445019ffffffff-2020-06,6
8445019ffffffff-2020-07,6
8445019ffffffff-2020-08,1
8445019ffffffff-2020-09,1
8445019ffffffff-2021-01,1
8445019ffffffff-2021-02,4
8445019ffffffff-2021-06,7
8445019ffffffff-2021-08,4
8445019ffffffff-2022-01,9
8445019ffffffff-2022-02,1
8445019ffffffff-2022-04,1
8445019ffffffff-2022-05,1
8445019ffffffff-2023-01,2
8445019ffffffff-2023-03,8
844501bffffffff-2014-06,2
844501bffffffff-2015-09,1
844501bffffffff-2015-12,2
844501bffffffff-2016-02,2
844501bffffffff-2016-04,2
844501bffffffff-2016-05,2
844501bffffffff-2016-10,3
844501bffffffff-2017-07,3
844501bffffffff-2017-11,1
844501bffffffff-2017-12,2
844501bffffffff-2018-02,5
844501bffffffff-2018-03,1
844501bffffffff-2018-04,3
844501bffffffff-2018-07,1
844501bffffffff-2018-08,1
844501bffffffff-2018-09,6
844501bffffffff-2019-01,4
844501bffffffff-2019-02,2
844501bffffffff-2019-03,1
844501bffffffff-2019-05,1
844501bffffffff-2019-08,2
844501bffffffff-2019-09,6
844501bffffffff-2019-10,10
844501bffffffff-2019-11,7
844501bffffffff-2020-01,4
844501bffffffff-2020-02,2
844501bffffffff-2020-03,2
844501bffffffff-2020-04,1
