index,n
843d845ffffffff-2014-02,1
843d845ffffffff-2023-04,2
843d9d1ffffffff-2022-03,4
843da03ffffffff-2021-09,1
843da03ffffffff-2021-11,1
843da03ffffffff-2022-06,1
843da03ffffffff-2023-01,1
843da03ffffffff-2023-05,3
843da11ffffffff-2016-04,1
843da11ffffffff-2016-07,2
843da11ffffffff-2016-08,14
843da11ffffffff-2016-11,4
843da11ffffffff-2016-12,2
843da11ffffffff-2017-02,4
843da11ffffffff-2017-03,1
843da11ffffffff-2017-04,13
843da11ffffffff-2017-05,8
843da11ffffffff-2017-06,7
843da11ffffffff-2017-07,3
843da11ffffffff-2017-10,2
843da11ffffffff-2017-12,1
843da11ffffffff-2018-02,1
843da11ffffffff-2018-04,1
843da11ffffffff-2018-05,6
843da11ffffffff-2018-06,8
843da11ffffffff-2018-07,1
843da11ffffffff-2019-01,1
843da11ffffffff-2019-05,10
843da11ffffffff-2019-06,3
843da11ffffffff-2019-07,3
843da11ffffffff-2019-10,2
843da11ffffffff-2020-01,6
843da11ffffffff-2020-03,4
843da11ffffffff-2020-06,1
843da11ffffffff-2020-07,7
843da11ffffffff-2020-12,4
843da11ffffffff-2021-01,6
843da11ffffffff-2021-02,5
843da11ffffffff-2021-03,4
843da11ffffffff-2021-06,3
843da11ffffffff-2021-07,17
843da11ffffffff-2021-08,11
843da11ffffffff-2021-09,10
843da11ffffffff-2021-10,7
843da11ffffffff-2021-11,6
843da11ffffffff-2021-12,5
843da11ffffffff-2022-01,5
843da11ffffffff-2022-05,5
843da11ffffffff-2022-06,6
843da11ffffffff-2022-08,4
843da11ffffffff-2022-09,2
843da11ffffffff-2022-10,2
843da11ffffffff-2023-02,3
843da11ffffffff-2023-04,8
843da11ffffffff-2023-05,14
843da11ffffffff-2023-09,2
843da11ffffffff-2023-11,3
843da1dffffffff-2016-07,1
843da1dffffffff-2017-08,1
843da1dffffffff-2019-06,1
843da1dffffffff-2020-02,10
843da1dffffffff-2020-05,1
843da1dffffffff-2020-06,1
843da1dffffffff-2020-07,7
843da1dffffffff-2020-08,1
843da1dffffffff-2020-10,1
843da1dffffffff-2021-05,1
843da1dffffffff-2021-09,2
843da1dffffffff-2022-08,2
843da1dffffffff-2022-10,1
843da1dffffffff-2023-02,4
843da1dffffffff-2023-04,1
843da1dffffffff-2023-05,1
843da1dffffffff-2023-07,2
843da21ffffffff-2018-02,2
843da21ffffffff-2021-09,2
843da21ffffffff-2021-12,4
843da21ffffffff-2022-01,2
843da21ffffffff-2022-04,1
843da21ffffffff-2023-02,1
843da21ffffffff-2023-05,1
843da21ffffffff-2023-07,2
843da21ffffffff-2023-08,2
843da21ffffffff-2023-10,4
843da21ffffffff-2023-11,4
843da25ffffffff-2019-08,1
843da25ffffffff-2021-10,4
843da25ffffffff-2022-07,3
843da25ffffffff-2023-07,2
843da25ffffffff-2023-08,1
843da27ffffffff-2020-05,1
843da2bffffffff-2021-12,2
843da2bffffffff-2023-07,1
843da2dffffffff-2021-07,3
843da2dffffffff-2021-08,1
843da2dffffffff-2023-01,1
843da2dffffffff-2023-09,5
843da37ffffffff-2012-12,1
843da37ffffffff-2014-12,2
843da37ffffffff-2018-12,2
843da37ffffffff-2022-10,2
843da3dffffffff-2023-10,1
843da61ffffffff-2021-07,1
843da63ffffffff-2020-11,1
843da63ffffffff-2021-05,2
843da63ffffffff-2021-06,1
843da63ffffffff-2021-12,1
843da63ffffffff-2022-01,1
843da63ffffffff-2022-03,1
843da63ffffffff-2022-07,4
843da63ffffffff-2022-08,6
843da63ffffffff-2023-01,1
843da63ffffffff-2023-03,1
843da63ffffffff-2023-04,1
843da63ffffffff-2023-08,2
843da67ffffffff-2020-06,1
843da67ffffffff-2020-07,2
843da67ffffffff-2020-08,2
843da67ffffffff-2020-12,1
843da67ffffffff-2021-04,1
843da67ffffffff-2021-05,5
843da67ffffffff-2021-06,3
843da67ffffffff-2021-07,4
843da67ffffffff-2021-08,3
843da67ffffffff-2021-09,3
843da67ffffffff-2022-01,2
843da67ffffffff-2022-03,6
843da67ffffffff-2022-04,5
843da67ffffffff-2022-06,11
843da67ffffffff-2022-07,9
843da67ffffffff-2022-08,8
843da67ffffffff-2022-09,2
843da67ffffffff-2023-01,1
843da67ffffffff-2023-03,3
843da67ffffffff-2023-04,8
843da67ffffffff-2023-05,1
843da67ffffffff-2023-06,2
843da67ffffffff-2023-08,1
843da67ffffffff-2023-09,5
843da67ffffffff-2023-11,1
843db13ffffffff-2020-01,1
843db13ffffffff-2023-07,1
843db27ffffffff-2021-09,3
843db27ffffffff-2022-02,1
843db51ffffffff-2019-07,1
843db51ffffffff-2019-08,3
843db51ffffffff-2021-08,3
843db51ffffffff-2022-08,4
843db51ffffffff-2023-07,3
843db51ffffffff-2023-08,1
843db57ffffffff-2020-07,1
843db57ffffffff-2021-08,9
843db57ffffffff-2022-08,1
843db57ffffffff-2023-08,6
843db5bffffffff-2023-04,1
843db61ffffffff-2022-11,1
843db61ffffffff-2023-05,1
843db67ffffffff-2022-03,3
843db67ffffffff-2023-11,2
843db6dffffffff-2022-02,1
843db6dffffffff-2022-04,2
843db6dffffffff-2022-05,4
843db6dffffffff-2022-06,2
843db6dffffffff-2022-09,2
843db6dffffffff-2022-10,3
843db6dffffffff-2023-02,2
843db6dffffffff-2023-03,2
843db6dffffffff-2023-04,2
843db6dffffffff-2023-05,1
843db6dffffffff-2023-06,2
843db6dffffffff-2023-07,1
843db6dffffffff-2023-08,1
8442c01ffffffff-2017-12,2
8442c05ffffffff-2022-11,2
8442c07ffffffff-2018-01,1
8442c07ffffffff-2018-08,1
8442c07ffffffff-2018-10,2
8442c07ffffffff-2019-06,1
8442c07ffffffff-2019-09,2
8442c07ffffffff-2020-05,1
8442c07ffffffff-2020-06,1
8442c07ffffffff-2020-07,4
8442c07ffffffff-2020-08,2
8442c07ffffffff-2020-09,4
8442c07ffffffff-2021-01,1
8442c07ffffffff-2021-02,1
8442c07ffffffff-2021-04,3
8442c07ffffffff-2021-07,2
8442c07ffffffff-2021-08,1
8442c07ffffffff-2022-02,2
8442c07ffffffff-2022-06,2
8442c07ffffffff-2022-08,2
8442c07ffffffff-2023-10,2
8442c09ffffffff-2021-07,1
8442c09ffffffff-2022-09,4
8442c09ffffffff-2023-09,4
8442c09ffffffff-2023-10,3
8442c13ffffffff-2022-01,1
8442c17ffffffff-2022-04,3
8442c17ffffffff-2022-07,1
8442c17ffffffff-2022-10,1
8442c17ffffffff-2023-02,4
8442c17ffffffff-2023-03,1
8442c17ffffffff-2023-07,1
8442c19ffffffff-2023-10,1
8442c23ffffffff-2022-09,2
8442c31ffffffff-2015-06,1
8442c31ffffffff-2015-09,2
8442c31ffffffff-2016-06,1
8442c31ffffffff-2017-07,2
8442c31ffffffff-2018-01,1
8442c31ffffffff-2018-08,2
8442c31ffffffff-2019-05,1
8442c31ffffffff-2019-07,8
8442c31ffffffff-2019-12,2
8442c31ffffffff-2020-06,2
8442c31ffffffff-2020-11,1
8442c31ffffffff-2021-04,2
8442c31ffffffff-2021-05,2
8442c31ffffffff-2021-06,2
8442c31ffffffff-2021-09,4
8442c31ffffffff-2022-06,7
8442c31ffffffff-2022-07,3
8442c31ffffffff-2022-12,1
8442c31ffffffff-2023-02,2
8442c31ffffffff-2023-06,7
8442c31ffffffff-2023-07,1
8442c31ffffffff-2023-11,2
8442c33ffffffff-2021-02,1
8442c35ffffffff-2023-09,1
8442c35ffffffff-2023-10,2
8442c39ffffffff-2016-12,1
8442c39ffffffff-2018-07,1
8442c39ffffffff-2018-12,2
8442c39ffffffff-2019-03,1
8442c39ffffffff-2019-04,1
8442c39ffffffff-2022-02,1
8442c39ffffffff-2022-07,2
8442c39ffffffff-2023-05,1
8442c39ffffffff-2023-07,4
8442c39ffffffff-2023-10,1
8442c3dffffffff-2019-11,1
8442c3dffffffff-2020-06,1
8442c3dffffffff-2020-07,1
8442c3dffffffff-2020-10,3
8442c3dffffffff-2022-08,1
8442c41ffffffff-2013-01,1
8442c41ffffffff-2014-02,1
8442c41ffffffff-2014-06,1
8442c41ffffffff-2014-10,2
8442c41ffffffff-2014-11,2
8442c41ffffffff-2015-01,1
8442c41ffffffff-2015-02,1
8442c41ffffffff-2015-06,2
8442c41ffffffff-2015-08,1
8442c41ffffffff-2015-10,1
8442c41ffffffff-2015-12,1
8442c41ffffffff-2016-01,6
8442c41ffffffff-2016-06,1
8442c41ffffffff-2016-09,4
8442c41ffffffff-2016-10,2
8442c41ffffffff-2016-12,2
8442c41ffffffff-2017-01,16
8442c41ffffffff-2017-02,2
8442c41ffffffff-2017-09,5
8442c41ffffffff-2017-10,4
8442c41ffffffff-2017-12,5
8442c41ffffffff-2018-01,8
8442c41ffffffff-2018-02,7
8442c41ffffffff-2018-06,2
8442c41ffffffff-2018-09,14
8442c41ffffffff-2018-10,2
8442c41ffffffff-2018-11,3
8442c41ffffffff-2018-12,14
8442c41ffffffff-2019-01,5
8442c41ffffffff-2019-02,1
8442c41ffffffff-2019-03,1
8442c41ffffffff-2019-05,1
8442c41ffffffff-2019-08,4
8442c41ffffffff-2019-09,8
8442c41ffffffff-2019-10,1
8442c41ffffffff-2019-12,1
8442c41ffffffff-2020-01,3
8442c41ffffffff-2020-02,23
8442c41ffffffff-2020-09,1
8442c41ffffffff-2020-10,6
8442c41ffffffff-2020-11,5
8442c41ffffffff-2020-12,6
8442c41ffffffff-2021-01,13
8442c41ffffffff-2021-02,3
8442c41ffffffff-2021-07,2
8442c41ffffffff-2021-09,26
8442c41ffffffff-2021-10,3
8442c41ffffffff-2021-12,2
8442c41ffffffff-2022-01,9
8442c41ffffffff-2022-02,5
8442c41ffffffff-2022-07,1
8442c41ffffffff-2022-08,5
8442c41ffffffff-2022-09,118
8442c41ffffffff-2022-10,4
8442c41ffffffff-2022-11,4
8442c41ffffffff-2022-12,23
8442c41ffffffff-2023-01,29
8442c41ffffffff-2023-02,29
8442c41ffffffff-2023-04,1
8442c41ffffffff-2023-05,1
8442c41ffffffff-2023-06,2
8442c41ffffffff-2023-07,3
8442c41ffffffff-2023-08,3
8442c41ffffffff-2023-09,62
8442c41ffffffff-2023-10,2
8442c41ffffffff-2023-11,1
8442c43ffffffff-2015-08,1
8442c43ffffffff-2015-09,1
8442c43ffffffff-2016-08,1
8442c43ffffffff-2016-10,1
8442c43ffffffff-2017-01,1
8442c43ffffffff-2018-04,1
8442c43ffffffff-2018-09,6
8442c43ffffffff-2019-04,1
8442c43ffffffff-2019-07,3
8442c43ffffffff-2019-08,1
8442c43ffffffff-2019-09,3
8442c43ffffffff-2019-10,3
8442c43ffffffff-2019-12,1
8442c43ffffffff-2020-02,1
8442c43ffffffff-2020-06,1
8442c43ffffffff-2020-07,2
8442c43ffffffff-2020-12,1
8442c43ffffffff-2021-02,1
