index,n
8496025ffffffff-2022-08,1
8496217ffffffff-2016-09,1
8496217ffffffff-2023-10,4
849623bffffffff-2023-10,1
8496289ffffffff-2023-06,2
849628bffffffff-2019-08,1
84962b1ffffffff-2016-10,2
84962b1ffffffff-2019-06,1
84962b1ffffffff-2023-06,2
84962b9ffffffff-2016-10,1
84962b9ffffffff-2017-09,1
84962b9ffffffff-2019-10,1
84962b9ffffffff-2023-06,1
84962c1ffffffff-2022-04,1
84962c5ffffffff-2020-11,1
84962c5ffffffff-2021-08,1
84962c5ffffffff-2022-04,1
84962c5ffffffff-2022-10,3
84962c5ffffffff-2022-12,1
84962c5ffffffff-2023-09,1
84962c9ffffffff-2021-05,2
84962d1ffffffff-2019-05,1
84962d1ffffffff-2022-09,2
84962e5ffffffff-2022-11,3
84962e5ffffffff-2022-12,2
84962e5ffffffff-2023-01,1
84962e5ffffffff-2023-03,2
84962e5ffffffff-2023-09,2
84962ebffffffff-2022-07,1
84962edffffffff-2015-09,2
84962edffffffff-2022-12,1
8496569ffffffff-2015-07,1
8496755ffffffff-2022-05,1
8496755ffffffff-2022-10,1
8496755ffffffff-2023-11,1
8496757ffffffff-2023-07,4
8497415ffffffff-2012-02,1
8497415ffffffff-2019-09,1
8497415ffffffff-2023-08,1
8497417ffffffff-2014-08,1
8497417ffffffff-2015-06,2
8497417ffffffff-2015-07,2
8497417ffffffff-2018-06,1
8497417ffffffff-2018-08,1
8497417ffffffff-2018-11,1
8497417ffffffff-2019-08,1
8497417ffffffff-2019-11,1
8497417ffffffff-2023-05,1
8497417ffffffff-2023-07,1
849741dffffffff-2019-01,1
849741dffffffff-2021-02,1
849741dffffffff-2021-09,3
849741dffffffff-2022-05,1
849741dffffffff-2023-02,2
849741dffffffff-2023-05,2
849741dffffffff-2023-09,2
8497431ffffffff-2019-05,1
8497431ffffffff-2021-06,1
8497431ffffffff-2023-03,1
8497431ffffffff-2023-05,1
8497431ffffffff-2023-10,1
8497437ffffffff-2018-08,1
8497437ffffffff-2020-01,5
8497437ffffffff-2022-08,1
8497437ffffffff-2022-12,1
849743bffffffff-2019-07,2
849743bffffffff-2019-09,1
849743bffffffff-2021-09,1
849743bffffffff-2023-10,1
84974a9ffffffff-2012-09,1
84974a9ffffffff-2014-08,1
84974a9ffffffff-2015-11,5
84974a9ffffffff-2015-12,3
84974a9ffffffff-2016-03,1
84974a9ffffffff-2016-10,1
84974a9ffffffff-2016-11,1
84974a9ffffffff-2017-11,4
84974a9ffffffff-2019-02,1
84974a9ffffffff-2019-10,2
84974a9ffffffff-2019-11,3
84974a9ffffffff-2021-09,2
84974a9ffffffff-2022-05,1
84974a9ffffffff-2022-07,1
84974a9ffffffff-2022-09,1
84974a9ffffffff-2023-04,1
84974a9ffffffff-2023-09,2
