index,n
845f02bffffffff-2022-08,1
845f089ffffffff-2020-02,1
845f095ffffffff-2015-01,1
845f095ffffffff-2018-10,1
845f095ffffffff-2022-07,1
845f113ffffffff-2020-06,1
845f129ffffffff-2023-10,1
845f12bffffffff-2019-01,1
845f12bffffffff-2019-08,2
845f12bffffffff-2020-01,2
845f12bffffffff-2021-04,1
845f12bffffffff-2021-07,1
845f12bffffffff-2021-09,1
845f12bffffffff-2021-11,4
845f12bffffffff-2022-01,1
845f12bffffffff-2022-04,2
845f12bffffffff-2023-01,2
845f12bffffffff-2023-04,3
845f12bffffffff-2023-05,2
845f12bffffffff-2023-06,1
845f12bffffffff-2023-08,1
845f12bffffffff-2023-10,1
845f12bffffffff-2023-11,1
845f131ffffffff-2020-11,1
845f131ffffffff-2021-03,1
845f131ffffffff-2021-05,1
845f131ffffffff-2021-11,7
845f139ffffffff-2017-11,1
845f139ffffffff-2019-04,2
845f139ffffffff-2023-08,1
845f13bffffffff-2018-12,1
845f13bffffffff-2020-07,1
845f13bffffffff-2020-10,1
845f13bffffffff-2020-11,2
845f13bffffffff-2020-12,1
845f13bffffffff-2021-02,2
845f13bffffffff-2021-11,5
845f13bffffffff-2022-07,2
845f13bffffffff-2023-07,1
845f13bffffffff-2023-08,2
845f13dffffffff-2016-12,3
845f13dffffffff-2017-02,3
845f13dffffffff-2017-11,1
845f13dffffffff-2017-12,1
845f13dffffffff-2018-01,1
845f13dffffffff-2018-03,1
845f13dffffffff-2018-05,1
845f13dffffffff-2018-07,1
845f13dffffffff-2018-10,1
845f13dffffffff-2018-12,1
845f13dffffffff-2019-01,1
845f13dffffffff-2019-11,1
845f13dffffffff-2020-01,2
845f13dffffffff-2020-10,1
845f13dffffffff-2020-11,3
845f13dffffffff-2021-03,1
845f13dffffffff-2022-05,1
845f13dffffffff-2022-07,1
845f13dffffffff-2022-12,1
845f13dffffffff-2023-03,1
845f13dffffffff-2023-09,1
845f13dffffffff-2023-10,1
845f1e9ffffffff-2020-11,1
845f1edffffffff-2020-11,1
845f291ffffffff-2012-10,1
845f291ffffffff-2014-02,2
845f291ffffffff-2017-10,4
845f291ffffffff-2018-01,3
845f291ffffffff-2019-09,3
845f291ffffffff-2019-10,1
845f291ffffffff-2021-11,1
845f295ffffffff-2012-10,1
845f295ffffffff-2014-01,1
845f295ffffffff-2015-03,1
845f295ffffffff-2017-02,2
845f295ffffffff-2017-03,1
845f295ffffffff-2019-01,5
845f295ffffffff-2019-07,1
845f295ffffffff-2022-04,1
845f295ffffffff-2022-05,1
845f295ffffffff-2022-09,13
845f295ffffffff-2023-01,1
845f295ffffffff-2023-02,3
845f295ffffffff-2023-09,1
845f295ffffffff-2023-11,6
845f299ffffffff-2014-01,2
845f299ffffffff-2021-08,1
845f299ffffffff-2022-02,6
845f299ffffffff-2022-11,4
845f29dffffffff-2014-01,1
845f29dffffffff-2015-03,2
845f29dffffffff-2015-12,1
845f29dffffffff-2016-11,1
