index,n
841f115ffffffff-2022-02,1
841f12bffffffff-2023-07,2
841f12bffffffff-2023-09,1
841f1d5ffffffff-2021-10,1
84391e1ffffffff-2019-04,2
84391e1ffffffff-2020-01,4
84391e1ffffffff-2020-02,2
844898dffffffff-2023-05,6
8452825ffffffff-2014-02,1
8452851ffffffff-2018-03,1
8452853ffffffff-2018-03,1
8452853ffffffff-2019-06,2
845291bffffffff-2014-11,1
845291bffffffff-2019-10,1
8452997ffffffff-2016-06,1
8452997ffffffff-2018-09,2
8452997ffffffff-2019-09,1
8452997ffffffff-2019-10,1
8452997ffffffff-2019-11,1
8452997ffffffff-2021-02,1
8452997ffffffff-2021-04,1
8452997ffffffff-2021-08,2
84529a3ffffffff-2020-09,1
84529b1ffffffff-2022-12,4
84529b1ffffffff-2023-06,2
84529b3ffffffff-2016-03,6
84529b3ffffffff-2018-01,1
84529b3ffffffff-2019-06,1
84529b3ffffffff-2019-11,1
84529b3ffffffff-2019-12,1
84529b3ffffffff-2020-11,3
84529b3ffffffff-2023-06,1
84529b5ffffffff-2012-02,3
84529b5ffffffff-2012-04,1
84529b5ffffffff-2013-11,2
84529b5ffffffff-2014-01,1
84529b5ffffffff-2014-02,1
84529b5ffffffff-2014-11,1
84529b5ffffffff-2014-12,4
84529b5ffffffff-2015-09,4
84529b5ffffffff-2015-10,1
84529b5ffffffff-2015-11,1
84529b5ffffffff-2016-02,1
84529b5ffffffff-2016-03,7
84529b5ffffffff-2016-04,1
84529b5ffffffff-2016-07,1
84529b5ffffffff-2016-09,1
84529b5ffffffff-2017-01,3
84529b5ffffffff-2017-02,3
84529b5ffffffff-2017-03,2
84529b5ffffffff-2017-04,3
84529b5ffffffff-2017-06,1
84529b5ffffffff-2018-01,4
84529b5ffffffff-2018-02,8
84529b5ffffffff-2018-03,1
84529b5ffffffff-2018-04,7
84529b5ffffffff-2018-05,3
84529b5ffffffff-2018-06,5
84529b5ffffffff-2018-07,1
84529b5ffffffff-2018-08,3
84529b5ffffffff-2018-09,1
84529b5ffffffff-2018-10,5
84529b5ffffffff-2018-11,18
84529b5ffffffff-2019-01,3
84529b5ffffffff-2019-02,1
84529b5ffffffff-2019-03,1
84529b5ffffffff-2019-04,1
84529b5ffffffff-2019-05,2
84529b5ffffffff-2019-06,4
84529b5ffffffff-2019-08,1
84529b5ffffffff-2019-10,4
84529b5ffffffff-2019-11,4
84529b5ffffffff-2019-12,4
84529b5ffffffff-2020-01,1
84529b5ffffffff-2020-02,1
84529b5ffffffff-2020-03,1
84529b5ffffffff-2020-08,1
84529b5ffffffff-2020-10,1
84529b5ffffffff-2020-11,6
84529b5ffffffff-2022-02,1
84529b5ffffffff-2022-05,2
84529b5ffffffff-2022-09,1
84529b5ffffffff-2022-10,5
84529b5ffffffff-2023-03,3
84529b5ffffffff-2023-06,4
84529b5ffffffff-2023-07,6
84529b7ffffffff-2015-11,1
84529b7ffffffff-2017-04,1
84529b7ffffffff-2022-07,2
84529b7ffffffff-2023-07,1
84529b9ffffffff-2013-11,2
84529b9ffffffff-2014-12,1
84529b9ffffffff-2017-02,1
84529b9ffffffff-2017-07,2
84529b9ffffffff-2018-03,1
84529b9ffffffff-2018-04,1
84529b9ffffffff-2018-07,1
84529b9ffffffff-2018-09,3
84529b9ffffffff-2018-10,2
84529b9ffffffff-2018-11,1
84529b9ffffffff-2019-06,1
84529b9ffffffff-2019-09,1
84529b9ffffffff-2019-12,2
84529b9ffffffff-2020-03,2
84529bbffffffff-2012-10,1
84529bbffffffff-2014-05,2
84529bbffffffff-2016-03,6
84529bbffffffff-2017-07,2
84529bbffffffff-2017-09,2
84529bbffffffff-2018-02,6
84529bbffffffff-2018-10,3
84529bbffffffff-2019-01,4
84529bbffffffff-2019-08,1
84529bbffffffff-2019-09,1
84529bbffffffff-2019-12,4
84529bbffffffff-2021-05,1
84529bdffffffff-2012-04,2
84529bdffffffff-2013-12,1
84529bdffffffff-2018-08,2
84529bdffffffff-2020-03,2
8458cd5ffffffff-2012-03,1
8458cd5ffffffff-2017-04,1
8458dc5ffffffff-2018-06,1
8458dc5ffffffff-2022-02,1
8458de9ffffffff-2016-11,1
8458debffffffff-2020-12,2
8458debffffffff-2021-07,1
8458debffffffff-2022-02,2
8458debffffffff-2022-03,4
8458debffffffff-2023-01,6
8458dedffffffff-2013-02,1
8458dedffffffff-2013-06,2
846a539ffffffff-2018-07,1
846a687ffffffff-2019-10,1
846a68bffffffff-2015-03,1
846a697ffffffff-2019-04,1
846a6b1ffffffff-2016-09,1
846a6b1ffffffff-2023-07,1
846ac03ffffffff-2014-02,1
846ac03ffffffff-2015-02,1
846ac03ffffffff-2018-03,1
846ac03ffffffff-2018-08,1
846ac03ffffffff-2019-07,2
846ac03ffffffff-2019-09,2
846ac03ffffffff-2020-01,1
846ac03ffffffff-2021-02,3
846ac03ffffffff-2021-08,3
846ac03ffffffff-2021-12,1
846ac03ffffffff-2022-02,1
846ac03ffffffff-2022-05,1
846ac03ffffffff-2022-07,2
846ac03ffffffff-2022-08,1
846ac03ffffffff-2022-09,1
846ac03ffffffff-2023-02,1
846ac03ffffffff-2023-07,6
846ac03ffffffff-2023-08,2
846ac03ffffffff-2023-10,3
846ac15ffffffff-2013-04,1
846ac15ffffffff-2015-07,1
846ac15ffffffff-2016-11,5
846ac15ffffffff-2016-12,1
846ac15ffffffff-2018-07,9
846ac15ffffffff-2019-12,1
846ac15ffffffff-2020-04,1
846ac15ffffffff-2020-09,1
846ac15ffffffff-2021-10,1
846ac15ffffffff-2021-12,3
846ac15ffffffff-2022-02,2
846ac15ffffffff-2022-03,1
846ac15ffffffff-2022-09,1
846ac15ffffffff-2022-10,1
846ac15ffffffff-2023-08,24
846ac15ffffffff-2023-09,2
846ac17ffffffff-2021-02,1
846ac17ffffffff-2023-01,4
846ac1dffffffff-2022-02,1
846ac31ffffffff-2016-07,1
846ac31ffffffff-2018-01,1
846ac33ffffffff-2018-01,3
846ac33ffffffff-2022-03,2
846ac33ffffffff-2023-02,1
846ac35ffffffff-2021-10,1
846ac37ffffffff-2015-07,1
846ac3dffffffff-2014-02,1
846ac3dffffffff-2014-11,3
846ac3dffffffff-2015-01,1
846ac3dffffffff-2015-09,1
846ac3dffffffff-2016-11,1
846ac3dffffffff-2017-07,1
846ac3dffffffff-2019-06,4
846ac3dffffffff-2021-11,1
846ac3dffffffff-2022-07,9
846ac3dffffffff-2022-08,2
846ac3dffffffff-2023-02,1
846ac3dffffffff-2023-09,1
846ac81ffffffff-2013-02,1
846ac81ffffffff-2015-11,2
846ac81ffffffff-2018-12,8
846ac81ffffffff-2020-10,2
846ac81ffffffff-2020-11,1
846ac89ffffffff-2012-01,4
846ac89ffffffff-2012-07,1
846ac89ffffffff-2012-08,3
846ac89ffffffff-2012-09,3
846ac89ffffffff-2012-11,3
846ac89ffffffff-2013-01,1
846ac89ffffffff-2013-02,1
846ac89ffffffff-2013-03,2
846ac89ffffffff-2013-04,2
846ac89ffffffff-2013-05,1
846ac89ffffffff-2013-06,4
846ac89ffffffff-2013-07,8
846ac89ffffffff-2013-09,2
846ac89ffffffff-2013-10,2
846ac89ffffffff-2014-01,4
846ac89ffffffff-2014-02,4
846ac89ffffffff-2014-04,5
846ac89ffffffff-2014-05,2
846ac89ffffffff-2014-06,6
846ac89ffffffff-2014-08,3
846ac89ffffffff-2014-09,5
846ac89ffffffff-2015-01,2
846ac89ffffffff-2015-02,2
846ac89ffffffff-2015-03,6
846ac89ffffffff-2015-05,1
846ac89ffffffff-2015-06,2
846ac89ffffffff-2015-07,12
846ac89ffffffff-2015-08,5
846ac89ffffffff-2015-09,6
846ac89ffffffff-2015-10,2
846ac89ffffffff-2015-11,5
846ac89ffffffff-2015-12,2
846ac89ffffffff-2016-01,2
846ac89ffffffff-2016-02,2
846ac89ffffffff-2016-03,1
846ac89ffffffff-2016-04,2
846ac89ffffffff-2016-05,3
846ac89ffffffff-2016-06,3
846ac89ffffffff-2016-07,7
846ac89ffffffff-2016-08,1
846ac89ffffffff-2016-09,2
846ac89ffffffff-2016-10,5
846ac89ffffffff-2016-11,12
846ac89ffffffff-2016-12,6
846ac89ffffffff-2017-01,11
846ac89ffffffff-2017-03,1
846ac89ffffffff-2017-04,6
846ac89ffffffff-2017-05,21
846ac89ffffffff-2017-06,4
846ac89ffffffff-2017-07,14
846ac89ffffffff-2017-08,9
846ac89ffffffff-2017-09,7
846ac89ffffffff-2017-10,5
846ac89ffffffff-2017-11,12
846ac89ffffffff-2017-12,1
846ac89ffffffff-2018-01,13
846ac89ffffffff-2018-02,1
846ac89ffffffff-2018-03,2
846ac89ffffffff-2018-04,4
846ac89ffffffff-2018-05,13
846ac89ffffffff-2018-06,22
846ac89ffffffff-2018-07,33
846ac89ffffffff-2018-08,13
846ac89ffffffff-2018-09,3
846ac89ffffffff-2018-10,9
846ac89ffffffff-2018-11,16
846ac89ffffffff-2018-12,11
846ac89ffffffff-2019-01,16
846ac89ffffffff-2019-02,19
846ac89ffffffff-2019-03,11
846ac89ffffffff-2019-04,1
846ac89ffffffff-2019-05,28
846ac89ffffffff-2019-06,15
846ac89ffffffff-2019-07,34
846ac89ffffffff-2019-08,20
846ac89ffffffff-2019-09,17
846ac89ffffffff-2019-11,26
846ac89ffffffff-2019-12,38
846ac89ffffffff-2020-01,6
846ac89ffffffff-2020-02,16
846ac89ffffffff-2020-03,2
846ac89ffffffff-2020-05,1
846ac89ffffffff-2020-06,1
846ac89ffffffff-2020-07,3
846ac89ffffffff-2020-08,1
846ac89ffffffff-2020-09,1
846ac89ffffffff-2020-10,23
846ac89ffffffff-2020-11,6
846ac89ffffffff-2020-12,5
846ac89ffffffff-2021-01,2
846ac89ffffffff-2021-02,8
846ac89ffffffff-2021-03,6
846ac89ffffffff-2021-04,7
846ac89ffffffff-2021-05,34
846ac89ffffffff-2021-06,49
846ac89ffffffff-2021-07,13
846ac89ffffffff-2021-08,24
846ac89ffffffff-2021-09,6
846ac89ffffffff-2021-10,23
846ac89ffffffff-2021-11,14
846ac89ffffffff-2021-12,9
846ac89ffffffff-2022-01,12
846ac89ffffffff-2022-02,25
846ac89ffffffff-2022-03,10
846ac89ffffffff-2022-04,11
846ac89ffffffff-2022-05,12
846ac89ffffffff-2022-06,46
846ac89ffffffff-2022-07,70
846ac89ffffffff-2022-08,58
846ac89ffffffff-2022-09,28
846ac89ffffffff-2022-10,16
846ac89ffffffff-2022-11,24
846ac89ffffffff-2022-12,20
846ac89ffffffff-2023-01,20
846ac89ffffffff-2023-02,34
846ac89ffffffff-2023-03,33
846ac89ffffffff-2023-04,9
846ac89ffffffff-2023-05,23
846ac89ffffffff-2023-06,38
846ac89ffffffff-2023-07,45
846ac89ffffffff-2023-08,53
846ac89ffffffff-2023-09,26
846ac89ffffffff-2023-10,40
846ac89ffffffff-2023-11,61
846ac8dffffffff-2013-03,1
846ac8dffffffff-2015-04,1
846ac8dffffffff-2018-06,1
846ac8dffffffff-2018-07,7
846ac8dffffffff-2019-02,1
846ac8dffffffff-2019-07,1
846ac8dffffffff-2019-11,1
846ac8dffffffff-2019-12,1
846ac8dffffffff-2020-01,1
846ac8dffffffff-2021-08,1
846ac8dffffffff-2022-02,2
846ac8dffffffff-2022-07,1
846ac8dffffffff-2022-10,1
846ac8dffffffff-2023-03,1
846ac8dffffffff-2023-05,2
846ac8dffffffff-2023-06,1
846ac8dffffffff-2023-10,1
846ac9bffffffff-2020-10,1
846ac9bffffffff-2022-01,2
846aca5ffffffff-2013-05,1
846aca5ffffffff-2023-06,1
846aca5ffffffff-2023-11,1
846acadffffffff-2021-06,2
846acadffffffff-2023-01,2
846acadffffffff-2023-07,2
846acc3ffffffff-2018-10,1
846acc3ffffffff-2020-11,1
846acc3ffffffff-2021-12,1
846acc3ffffffff-2023-05,4
846acc7ffffffff-2022-02,2
846accbffffffff-2022-07,1
846acd1ffffffff-2020-03,3
846acd1ffffffff-2022-01,1
846acd1ffffffff-2023-10,4
846acd3ffffffff-2023-11,1
846acd5ffffffff-2015-10,1
846acd5ffffffff-2016-04,1
846acd5ffffffff-2019-02,2
846acd5ffffffff-2019-06,1
846acd5ffffffff-2021-04,1
846acd5ffffffff-2021-10,5
846acd5ffffffff-2021-12,11
846acd5ffffffff-2022-01,1
846acd5ffffffff-2022-05,1
846acd5ffffffff-2023-05,1
846acd5ffffffff-2023-06,1
846acd5ffffffff-2023-07,1
846acd5ffffffff-2023-10,1
846ace1ffffffff-2014-07,1
846ace1ffffffff-2015-02,1
846ace1ffffffff-2015-07,1
846ace1ffffffff-2015-08,2
846ace1ffffffff-2015-09,1
846ace1ffffffff-2016-06,1
846ace1ffffffff-2016-08,1
846ace1ffffffff-2016-11,1
846ace1ffffffff-2017-02,2
846ace1ffffffff-2017-06,2
846ace1ffffffff-2017-07,1
846ace1ffffffff-2017-10,3
846ace1ffffffff-2020-07,1
846ace1ffffffff-2022-07,7
846ace1ffffffff-2022-09,2
846ace1ffffffff-2022-11,1
846ace1ffffffff-2023-07,4
846ace1ffffffff-2023-09,2
846ace3ffffffff-2015-02,1
846ace3ffffffff-2015-03,1
846ace3ffffffff-2018-03,1
846ace3ffffffff-2018-04,2
846ace3ffffffff-2019-02,3
846ace3ffffffff-2022-09,1
846ace3ffffffff-2023-02,1
846ace5ffffffff-2012-12,1
846ace5ffffffff-2013-06,2
846ace5ffffffff-2014-12,2
846ace5ffffffff-2015-01,2
846ace5ffffffff-2015-09,1
846ace5ffffffff-2015-10,1
846ace5ffffffff-2016-01,2
846ace5ffffffff-2016-06,1
846ace5ffffffff-2016-07,1
846ace5ffffffff-2016-11,7
846ace5ffffffff-2017-01,3
846ace5ffffffff-2017-04,3
846ace5ffffffff-2017-07,3
846ace5ffffffff-2017-10,3
846ace5ffffffff-2018-05,1
846ace5ffffffff-2018-06,5
846ace5ffffffff-2018-07,12
846ace5ffffffff-2018-08,1
846ace5ffffffff-2018-09,1
846ace5ffffffff-2018-10,1
846ace5ffffffff-2018-11,8
846ace5ffffffff-2018-12,1
846ace5ffffffff-2019-02,1
846ace5ffffffff-2019-06,2
846ace5ffffffff-2019-07,7
846ace5ffffffff-2019-09,6
846ace5ffffffff-2019-10,1
846ace5ffffffff-2019-12,12
846ace5ffffffff-2020-02,1
846ace5ffffffff-2020-10,2
846ace5ffffffff-2020-12,1
846ace5ffffffff-2021-06,7
846ace5ffffffff-2021-07,5
846ace5ffffffff-2021-08,8
846ace5ffffffff-2021-09,2
846ace5ffffffff-2021-10,5
846ace5ffffffff-2021-11,27
846ace5ffffffff-2021-12,3
846ace5ffffffff-2022-02,3
846ace5ffffffff-2022-04,1
846ace5ffffffff-2022-05,7
846ace5ffffffff-2022-06,4
846ace5ffffffff-2022-07,6
846ace5ffffffff-2022-08,17
846ace5ffffffff-2022-09,13
846ace5ffffffff-2022-10,1
846ace5ffffffff-2022-11,3
846ace5ffffffff-2022-12,5
846ace5ffffffff-2023-01,3
846ace5ffffffff-2023-02,5
846ace5ffffffff-2023-05,9
846ace5ffffffff-2023-06,6
846ace5ffffffff-2023-07,22
846ace5ffffffff-2023-08,1
846ace5ffffffff-2023-09,4
846ace5ffffffff-2023-10,4
846ace5ffffffff-2023-11,1
846ace7ffffffff-2017-01,3
846ace7ffffffff-2023-01,1
846acebffffffff-2015-10,3
846acebffffffff-2021-07,2
846ad81ffffffff-2013-02,1
846ad81ffffffff-2013-03,1
846ad81ffffffff-2013-08,1
846ad81ffffffff-2014-06,1
846ad81ffffffff-2014-08,1
846ad81ffffffff-2014-09,2
846ad81ffffffff-2014-10,2
846ad81ffffffff-2015-03,1
846ad81ffffffff-2015-06,4
846ad81ffffffff-2016-01,4
846ad81ffffffff-2016-06,1
846ad81ffffffff-2017-10,1
846ad81ffffffff-2018-02,4
846ad81ffffffff-2018-03,2
846ad81ffffffff-2018-07,1
846ad81ffffffff-2018-09,1
846ad81ffffffff-2018-12,2
846ad81ffffffff-2019-01,1
846ad81ffffffff-2019-02,3
846ad81ffffffff-2019-03,4
846ad81ffffffff-2019-07,1
846ad81ffffffff-2019-08,2
846ad81ffffffff-2019-09,3
846ad81ffffffff-2019-12,3
846ad81ffffffff-2020-03,1
846ad81ffffffff-2020-05,2
846ad81ffffffff-2020-06,1
846ad81ffffffff-2020-09,1
846ad81ffffffff-2021-01,1
846ad81ffffffff-2021-02,2
846ad81ffffffff-2021-03,2
846ad81ffffffff-2021-04,3
846ad81ffffffff-2021-05,2
846ad81ffffffff-2021-07,6
846ad81ffffffff-2021-09,1
846ad81ffffffff-2021-10,3
846ad81ffffffff-2021-11,2
846ad81ffffffff-2021-12,5
846ad81ffffffff-2022-01,2
846ad81ffffffff-2022-02,3
846ad81ffffffff-2022-04,1
846ad81ffffffff-2022-05,1
846ad81ffffffff-2022-07,10
846ad81ffffffff-2022-08,10
846ad81ffffffff-2022-09,7
846ad81ffffffff-2022-10,9
846ad81ffffffff-2022-11,9
846ad81ffffffff-2022-12,3
846ad81ffffffff-2023-01,5
846ad81ffffffff-2023-02,1
846ad81ffffffff-2023-03,3
846ad81ffffffff-2023-04,1
846ad81ffffffff-2023-06,2
846ad81ffffffff-2023-07,30
846ad81ffffffff-2023-08,2
846ad81ffffffff-2023-09,3
846ad81ffffffff-2023-10,7
846ad81ffffffff-2023-11,5
846ad83ffffffff-2019-09,1
846ad85ffffffff-2016-05,1
846ad85ffffffff-2018-09,1
846ad85ffffffff-2021-05,1
846ad85ffffffff-2022-06,1
846ad85ffffffff-2023-05,3
846ad85ffffffff-2023-10,1
846ad87ffffffff-2021-09,1
846ad89ffffffff-2013-02,1
846ad89ffffffff-2014-02,1
846ad89ffffffff-2014-06,1
846ad89ffffffff-2014-09,1
846ad89ffffffff-2015-06,2
846ad89ffffffff-2015-07,2
846ad89ffffffff-2015-08,3
846ad89ffffffff-2016-10,2
846ad89ffffffff-2017-03,1
846ad89ffffffff-2017-04,1
846ad89ffffffff-2017-06,1
846ad89ffffffff-2017-07,1
846ad89ffffffff-2017-09,1
846ad89ffffffff-2018-07,1
846ad89ffffffff-2018-08,3
846ad89ffffffff-2018-09,3
846ad89ffffffff-2018-11,1
846ad89ffffffff-2019-01,6
846ad89ffffffff-2019-02,5
846ad89ffffffff-2019-03,4
846ad89ffffffff-2019-04,10
846ad89ffffffff-2019-05,2
846ad89ffffffff-2019-06,4
846ad89ffffffff-2019-07,6
846ad89ffffffff-2019-08,7
846ad89ffffffff-2019-09,2
846ad89ffffffff-2019-12,3
846ad89ffffffff-2020-03,3
846ad89ffffffff-2020-05,2
846ad89ffffffff-2020-06,6
846ad89ffffffff-2020-07,7
846ad89ffffffff-2020-08,6
846ad89ffffffff-2020-09,2
846ad89ffffffff-2020-10,4
846ad89ffffffff-2020-11,6
846ad89ffffffff-2020-12,2
846ad89ffffffff-2021-01,2
846ad89ffffffff-2021-03,3
846ad89ffffffff-2021-04,1
846ad89ffffffff-2021-05,4
846ad89ffffffff-2021-06,8
846ad89ffffffff-2021-07,6
846ad89ffffffff-2021-08,1
846ad89ffffffff-2021-09,3
846ad89ffffffff-2021-10,3
846ad89ffffffff-2021-11,1
846ad89ffffffff-2021-12,1
846ad89ffffffff-2022-01,7
846ad89ffffffff-2022-02,6
846ad89ffffffff-2022-05,2
846ad89ffffffff-2022-06,9
846ad89ffffffff-2022-07,3
846ad89ffffffff-2022-08,3
846ad89ffffffff-2022-09,1
846ad89ffffffff-2022-10,6
846ad89ffffffff-2022-11,8
846ad89ffffffff-2022-12,4
846ad89ffffffff-2023-01,2
846ad89ffffffff-2023-02,7
846ad89ffffffff-2023-03,3
846ad89ffffffff-2023-04,3
846ad89ffffffff-2023-05,4
846ad89ffffffff-2023-06,6
846ad89ffffffff-2023-07,28
846ad89ffffffff-2023-08,1
846ad89ffffffff-2023-09,3
846ad89ffffffff-2023-10,3
846ad8bffffffff-2013-04,2
846ad8bffffffff-2016-06,2
846ad8bffffffff-2019-03,1
846ad8bffffffff-2019-04,1
846ad8bffffffff-2019-09,4
846ad8bffffffff-2020-06,4
846ad8bffffffff-2020-07,1
846ad8bffffffff-2020-09,1
846ad8bffffffff-2021-03,1
846ad8bffffffff-2021-08,2
846ad8bffffffff-2021-09,1
846ad8bffffffff-2021-10,2
846ad8bffffffff-2022-05,1
846ad8bffffffff-2022-06,8
846ad8bffffffff-2022-07,1
846ad8bffffffff-2022-09,2
846ad8bffffffff-2022-10,3
846ad8bffffffff-2022-11,3
846ad8bffffffff-2023-01,3
846ad8bffffffff-2023-07,1
846ad8bffffffff-2023-09,5
846ad8bffffffff-2023-10,2
846ad8dffffffff-2017-07,1
846ad8dffffffff-2019-09,1
846ad8dffffffff-2020-06,1
846ad8dffffffff-2020-07,1
846ad8dffffffff-2020-08,2
846ad8dffffffff-2020-10,5
846ad8dffffffff-2020-11,1
846ad8dffffffff-2021-01,3
846ad8dffffffff-2021-03,2
846ad8dffffffff-2021-05,3
846ad8dffffffff-2021-06,2
846ad8dffffffff-2021-07,5
846ad8dffffffff-2021-10,4
846ad8dffffffff-2021-11,1
846ad8dffffffff-2021-12,1
846ad8dffffffff-2022-02,1
846ad8dffffffff-2022-11,8
846ad8dffffffff-2023-07,1
846ad8dffffffff-2023-11,6
846adc1ffffffff-2013-04,1
846adc1ffffffff-2013-06,2
846adc1ffffffff-2016-07,1
846adc1ffffffff-2017-05,2
846adc1ffffffff-2017-07,1
846adc1ffffffff-2017-09,1
846adc1ffffffff-2018-12,1
846adc1ffffffff-2019-07,3
846adc1ffffffff-2021-03,2
846adc1ffffffff-2021-08,1
846adc1ffffffff-2021-10,1
846adc1ffffffff-2021-11,1
846adc1ffffffff-2022-03,2
846adc1ffffffff-2022-05,3
846adc1ffffffff-2022-06,2
846adc1ffffffff-2022-07,1
846adc1ffffffff-2022-08,1
846adc1ffffffff-2022-09,1
846adc1ffffffff-2023-02,3
846adc1ffffffff-2023-03,5
846adc1ffffffff-2023-04,1
846adc1ffffffff-2023-05,1
846adc1ffffffff-2023-06,3
846adc1ffffffff-2023-07,12
846adc1ffffffff-2023-08,22
846adc1ffffffff-2023-09,3
846adc3ffffffff-2012-01,3
846adc3ffffffff-2012-06,1
846adc3ffffffff-2013-03,1
846adc3ffffffff-2016-03,1
846adc3ffffffff-2017-07,1
846adc3ffffffff-2018-10,1
846adc3ffffffff-2020-01,1
846adc3ffffffff-2020-02,2
846adc3ffffffff-2020-05,1
846adc3ffffffff-2020-10,5
846adc3ffffffff-2021-04,1
846adc3ffffffff-2021-10,1
846adc3ffffffff-2022-01,1
846adc3ffffffff-2022-07,4
846adc3ffffffff-2022-08,1
846adc3ffffffff-2023-01,3
846adc3ffffffff-2023-02,1
846adc3ffffffff-2023-04,1
846adc3ffffffff-2023-06,20
846adc3ffffffff-2023-08,3
846adc3ffffffff-2023-09,1
846adc7ffffffff-2013-02,1
846adc7ffffffff-2013-03,2
846adc7ffffffff-2015-04,1
846adc7ffffffff-2017-06,1
846adc7ffffffff-2017-09,1
846adc7ffffffff-2018-01,1
846adc7ffffffff-2018-09,1
846adc7ffffffff-2018-12,3
846adc7ffffffff-2019-01,3
846adc7ffffffff-2019-02,3
846adc7ffffffff-2019-03,2
846adc7ffffffff-2019-04,6
846adc7ffffffff-2019-05,10
846adc7ffffffff-2019-07,3
846adc7ffffffff-2019-08,2
846adc7ffffffff-2019-09,2
846adc7ffffffff-2019-12,2
846adc7ffffffff-2020-01,1
846adc7ffffffff-2020-02,5
