index,n
8429861ffffffff-2017-10,1
8429a03ffffffff-2016-05,4
8429a03ffffffff-2017-05,1
8429a03ffffffff-2018-02,1
8429a09ffffffff-2022-03,1
8429a0bffffffff-2012-10,1
8429a0bffffffff-2013-09,1
8429a0bffffffff-2013-11,1
8429a0bffffffff-2014-08,1
8429a0bffffffff-2014-12,1
8429a0bffffffff-2015-02,1
8429a0bffffffff-2015-09,1
8429a0bffffffff-2015-12,1
8429a0bffffffff-2016-03,1
8429a0bffffffff-2016-05,1
8429a0bffffffff-2016-09,1
8429a0bffffffff-2016-10,1
8429a0bffffffff-2017-04,1
8429a0bffffffff-2017-05,1
8429a0bffffffff-2017-06,1
8429a0bffffffff-2017-07,3
8429a0bffffffff-2017-09,14
8429a0bffffffff-2017-10,8
8429a0bffffffff-2017-11,1
8429a0bffffffff-2017-12,1
8429a0bffffffff-2018-01,3
8429a0bffffffff-2018-02,1
8429a0bffffffff-2018-04,2
8429a0bffffffff-2018-05,2
8429a0bffffffff-2018-06,3
8429a0bffffffff-2018-07,7
8429a0bffffffff-2018-08,2
8429a0bffffffff-2018-09,19
8429a0bffffffff-2018-10,1
8429a0bffffffff-2018-11,1
8429a0bffffffff-2019-01,3
8429a0bffffffff-2019-03,5
8429a0bffffffff-2019-04,1
8429a0bffffffff-2019-05,1
8429a0bffffffff-2019-06,10
8429a0bffffffff-2019-07,10
8429a0bffffffff-2019-08,17
8429a0bffffffff-2019-09,8
8429a0bffffffff-2019-10,6
8429a0bffffffff-2019-11,4
8429a0bffffffff-2019-12,6
8429a0bffffffff-2020-01,2
8429a0bffffffff-2020-02,4
8429a0bffffffff-2020-03,4
8429a0bffffffff-2020-04,1
8429a0bffffffff-2020-05,13
8429a0bffffffff-2020-06,12
8429a0bffffffff-2020-07,10
8429a0bffffffff-2020-08,11
8429a0bffffffff-2020-09,2
8429a0bffffffff-2020-10,1
8429a0bffffffff-2020-11,5
8429a0bffffffff-2020-12,2
8429a0bffffffff-2021-01,1
8429a0bffffffff-2021-02,1
8429a0bffffffff-2021-04,1
