index,n
845280dffffffff-2020-02,2
8452817ffffffff-2019-05,1
8452827ffffffff-2016-02,1
8452831ffffffff-2018-09,1
845291bffffffff-2019-08,1
8452991ffffffff-2018-10,2
8452991ffffffff-2019-12,3
8452997ffffffff-2014-01,1
8452997ffffffff-2015-01,1
8452997ffffffff-2016-06,1
8452997ffffffff-2017-02,3
8452997ffffffff-2017-09,2
8452997ffffffff-2018-06,3
8452997ffffffff-2018-08,4
8452997ffffffff-2018-10,4
8452997ffffffff-2019-06,4
8452997ffffffff-2020-03,1
8452997ffffffff-2021-02,2
8452997ffffffff-2021-04,2
8452997ffffffff-2021-05,1
8452997ffffffff-2021-08,2
8452997ffffffff-2022-11,2
8452997ffffffff-2022-12,4
845299bffffffff-2021-03,1
84529b1ffffffff-2019-06,1
84529b1ffffffff-2023-06,2
84529b3ffffffff-2016-05,1
84529b3ffffffff-2016-09,1
84529b3ffffffff-2018-09,2
84529b3ffffffff-2018-10,2
84529b3ffffffff-2018-11,8
84529b3ffffffff-2019-06,1
84529b3ffffffff-2019-10,1
84529b3ffffffff-2019-12,1
84529b3ffffffff-2020-11,3
84529b3ffffffff-2023-03,2
84529b5ffffffff-2012-02,1
84529b5ffffffff-2014-07,2
84529b5ffffffff-2014-11,2
84529b5ffffffff-2015-10,1
84529b5ffffffff-2016-06,1
84529b5ffffffff-2016-09,2
84529b5ffffffff-2017-04,3
84529b5ffffffff-2017-09,1
84529b5ffffffff-2018-02,1
84529b5ffffffff-2018-03,1
84529b5ffffffff-2018-06,2
84529b5ffffffff-2018-08,1
84529b5ffffffff-2019-02,1
84529b5ffffffff-2019-03,1
84529b5ffffffff-2019-08,2
84529b5ffffffff-2019-11,1
84529b5ffffffff-2020-08,1
84529b5ffffffff-2020-09,1
84529b5ffffffff-2022-09,1
84529b5ffffffff-2022-12,1
84529b5ffffffff-2023-06,2
84529b5ffffffff-2023-07,4
84529b7ffffffff-2016-09,1
84529b7ffffffff-2017-09,1
84529b9ffffffff-2014-06,1
84529b9ffffffff-2017-02,2
84529b9ffffffff-2018-02,1
84529b9ffffffff-2018-03,1
84529b9ffffffff-2018-10,2
84529b9ffffffff-2019-06,1
84529b9ffffffff-2019-10,2
84529b9ffffffff-2020-03,2
84529b9ffffffff-2023-06,3
84529b9ffffffff-2023-08,1
84529bbffffffff-2012-10,1
84529bbffffffff-2014-05,2
84529bbffffffff-2017-09,2
84529bbffffffff-2019-08,1
84529bbffffffff-2019-09,1
84529bbffffffff-2021-05,1
84529bdffffffff-2016-06,1
84529bdffffffff-2018-08,1
84529bdffffffff-2018-10,1
84589c9ffffffff-2023-05,2
84589cdffffffff-2021-08,1
8458ca5ffffffff-2020-11,1
8458d13ffffffff-2012-03,1
8458d13ffffffff-2013-11,2
8458d13ffffffff-2015-07,1
8458d13ffffffff-2015-09,1
8458d13ffffffff-2016-11,1
8458d13ffffffff-2017-04,2
8458d13ffffffff-2017-07,2
8458d1dffffffff-2016-11,1
8458d1dffffffff-2020-10,1
8458dcdffffffff-2015-05,1
8458dcdffffffff-2015-09,1
8458dcdffffffff-2022-10,1
8458e2dffffffff-2022-08,1
846a4d3ffffffff-2019-03,1
846a5a9ffffffff-2019-08,4
846ac15ffffffff-2021-05,2
846ac15ffffffff-2021-10,3
846ac15ffffffff-2022-05,1
846ac15ffffffff-2022-11,1
846ac15ffffffff-2023-09,1
846ac15ffffffff-2023-10,2
846ac31ffffffff-2018-12,8
846ac31ffffffff-2021-09,1
846ac31ffffffff-2022-07,2
846ac35ffffffff-2020-05,2
846ac35ffffffff-2021-10,1
846ac37ffffffff-2020-01,2
846ac3dffffffff-2019-09,2
846ac3dffffffff-2021-03,1
846ac3dffffffff-2022-07,1
846ac3dffffffff-2022-09,4
846ac93ffffffff-2012-02,2
846ac93ffffffff-2014-11,4
846ac93ffffffff-2017-11,2
846ac93ffffffff-2021-04,1
846ac93ffffffff-2021-11,2
846ac93ffffffff-2022-03,1
846ac93ffffffff-2022-08,2
846ac93ffffffff-2022-12,1
846ac93ffffffff-2023-05,1
846acdbffffffff-2021-01,1
846ace5ffffffff-2013-03,1
