index,n
840e497ffffffff-2017-08,1
840e497ffffffff-2018-07,2
840e497ffffffff-2019-06,2
840e497ffffffff-2019-07,4
840e497ffffffff-2020-07,2
840e497ffffffff-2022-07,1
840e497ffffffff-2022-08,2
840e497ffffffff-2023-07,2
840e4dbffffffff-2016-07,17
840e4dbffffffff-2023-08,2
840e805ffffffff-2016-06,1
840e805ffffffff-2023-07,3
840e8d3ffffffff-2014-06,1
840e8e9ffffffff-2013-07,37
840ec19ffffffff-2012-07,18
840ec19ffffffff-2012-08,13
840ec6dffffffff-2022-06,1
840ecc9ffffffff-2016-07,44
840ecc9ffffffff-2016-08,76
840ecc9ffffffff-2023-07,6
840eea7ffffffff-2013-07,1
840eea7ffffffff-2013-08,66
840eea7ffffffff-2015-07,3
840eea7ffffffff-2016-07,44
840eea7ffffffff-2016-08,69
840eea7ffffffff-2019-07,1
840eeabffffffff-2016-07,3
840eebdffffffff-2014-07,6
840eebdffffffff-2014-08,4
840eebdffffffff-2017-06,1
840eee3ffffffff-2019-09,1
840eee3ffffffff-2022-07,2
840ef03ffffffff-2023-07,38
840ef07ffffffff-2023-06,13
840ef07ffffffff-2023-07,1
840ef1dffffffff-2016-07,1
840ef2dffffffff-2023-07,30
840ef39ffffffff-2023-06,5
8412187ffffffff-2019-07,1
8412187ffffffff-2022-08,1
8412199ffffffff-2020-07,1
84121adffffffff-2013-06,1
84121bbffffffff-2020-06,5
84121bbffffffff-2020-07,2
84121bbffffffff-2021-05,1
84121bbffffffff-2021-06,1
84121e3ffffffff-2013-06,7
84121e3ffffffff-2013-07,1
84121e3ffffffff-2014-06,1
84121e3ffffffff-2015-05,2
84121e3ffffffff-2015-06,1
84121e3ffffffff-2016-06,3
84121e3ffffffff-2017-05,2
84121e3ffffffff-2017-06,13
84121e3ffffffff-2017-07,1
84121e3ffffffff-2019-05,5
84121e3ffffffff-2019-06,3
84121e3ffffffff-2020-05,1
84121e3ffffffff-2020-06,3
84121e3ffffffff-2020-07,1
84121e3ffffffff-2022-07,4
8412215ffffffff-2012-06,1
8412215ffffffff-2022-06,2
841221dffffffff-2018-07,1
841221dffffffff-2023-06,1
84122d7ffffffff-2014-07,1
84122d7ffffffff-2018-06,2
8412309ffffffff-2015-06,1
841249bffffffff-2014-07,1
84124b3ffffffff-2013-05,3
84124b3ffffffff-2013-06,5
84124b3ffffffff-2013-07,2
84124b3ffffffff-2014-08,1
84124b3ffffffff-2015-06,1
84124b7ffffffff-2013-06,3
84124d1ffffffff-2019-07,1
84124d1ffffffff-2022-05,1
84124dbffffffff-2022-06,2
84124dbffffffff-2023-06,1
8412501ffffffff-2018-06,2
8412501ffffffff-2021-05,2
8412501ffffffff-2021-06,4
8412503ffffffff-2013-05,1
8412503ffffffff-2014-06,1
8412503ffffffff-2016-05,1
8412503ffffffff-2018-05,2
8412503ffffffff-2020-05,5
8412505ffffffff-2021-06,1
8412507ffffffff-2023-07,1
8412511ffffffff-2019-06,1
8412511ffffffff-2021-05,5
8412511ffffffff-2022-06,4
8412513ffffffff-2023-05,1
8412515ffffffff-2013-06,1
8412515ffffffff-2013-08,5
8412515ffffffff-2017-06,2
8412515ffffffff-2018-05,2
8412515ffffffff-2018-06,9
8412515ffffffff-2019-05,1
8412515ffffffff-2019-06,2
8412515ffffffff-2020-06,4
8412515ffffffff-2021-05,2
8412515ffffffff-2021-06,6
8412515ffffffff-2022-05,10
8412515ffffffff-2022-06,11
8412523ffffffff-2020-05,1
8412523ffffffff-2020-06,2
8412523ffffffff-2020-07,1
8412523ffffffff-2021-05,2
8412523ffffffff-2021-06,4
8412527ffffffff-2021-06,6
8412535ffffffff-2019-08,2
8412535ffffffff-2020-07,1
8412535ffffffff-2021-06,1
8412537ffffffff-2014-07,1
8412539ffffffff-2013-06,2
841255dffffffff-2018-06,2
841258dffffffff-2021-07,1
8412591ffffffff-2016-07,1
8412591ffffffff-2019-05,1
8412595ffffffff-2016-05,2
8412597ffffffff-2020-09,2
8412597ffffffff-2023-05,1
8412599ffffffff-2022-05,1
