index,n
844b845ffffffff-2018-05,1
844b849ffffffff-2014-03,1
844b849ffffffff-2016-03,2
844b849ffffffff-2017-01,1
844b849ffffffff-2017-12,4
844b849ffffffff-2018-03,1
844b849ffffffff-2018-12,1
844b849ffffffff-2019-10,3
844b849ffffffff-2020-06,2
844b849ffffffff-2021-12,1
844b849ffffffff-2022-08,1
844b849ffffffff-2022-10,1
844b849ffffffff-2023-03,10
844b849ffffffff-2023-04,2
844b84dffffffff-2016-07,1
844b84dffffffff-2017-04,1
844b84dffffffff-2020-08,1
844b84dffffffff-2021-01,1
844b84dffffffff-2022-03,1
844b84dffffffff-2022-12,7
844b84dffffffff-2023-01,20
844b84dffffffff-2023-02,3
844b84dffffffff-2023-03,2
844b869ffffffff-2021-01,1
844ba01ffffffff-2012-04,1
844ba01ffffffff-2012-06,2
844ba01ffffffff-2013-06,1
844ba01ffffffff-2014-04,1
844ba01ffffffff-2015-04,2
844ba01ffffffff-2015-06,4
844ba01ffffffff-2015-09,1
844ba01ffffffff-2015-11,2
844ba01ffffffff-2015-12,3
844ba01ffffffff-2016-02,1
844ba01ffffffff-2016-03,1
844ba01ffffffff-2017-01,2
844ba01ffffffff-2017-02,1
844ba01ffffffff-2017-04,1
844ba01ffffffff-2017-07,1
844ba01ffffffff-2017-11,1
844ba01ffffffff-2017-12,5
844ba01ffffffff-2018-02,2
844ba01ffffffff-2018-03,3
844ba01ffffffff-2018-04,11
844ba01ffffffff-2018-06,4
844ba01ffffffff-2018-07,2
844ba01ffffffff-2018-08,1
844ba01ffffffff-2018-09,2
844ba01ffffffff-2018-11,1
844ba01ffffffff-2018-12,8
844ba01ffffffff-2019-01,3
844ba01ffffffff-2019-02,2
844ba01ffffffff-2019-03,1
844ba01ffffffff-2019-04,2
844ba01ffffffff-2019-05,7
844ba01ffffffff-2019-06,3
844ba01ffffffff-2019-08,1
844ba01ffffffff-2019-09,1
844ba01ffffffff-2019-11,1
844ba01ffffffff-2019-12,23
844ba01ffffffff-2020-01,13
844ba01ffffffff-2020-02,13
844ba01ffffffff-2020-04,7
844ba01ffffffff-2020-05,3
844ba01ffffffff-2020-06,1
844ba01ffffffff-2020-10,3
844ba01ffffffff-2020-11,1
844ba01ffffffff-2020-12,16
844ba01ffffffff-2021-01,2
844ba01ffffffff-2021-02,5
844ba01ffffffff-2021-03,3
844ba01ffffffff-2021-04,5
844ba01ffffffff-2021-05,4
844ba01ffffffff-2021-07,2
844ba01ffffffff-2021-09,3
844ba01ffffffff-2021-10,5
844ba01ffffffff-2021-12,17
844ba01ffffffff-2022-01,5
844ba01ffffffff-2022-02,3
844ba01ffffffff-2022-03,15
844ba01ffffffff-2022-04,2
844ba01ffffffff-2022-05,2
844ba01ffffffff-2022-06,3
844ba01ffffffff-2022-07,2
844ba01ffffffff-2022-08,2
844ba01ffffffff-2022-09,3
844ba01ffffffff-2022-10,6
844ba01ffffffff-2022-11,7
844ba01ffffffff-2022-12,10
844ba01ffffffff-2023-01,6
844ba01ffffffff-2023-02,4
844ba01ffffffff-2023-03,1
844ba01ffffffff-2023-04,26
844ba01ffffffff-2023-05,6
844ba01ffffffff-2023-06,5
844ba01ffffffff-2023-07,1
844ba01ffffffff-2023-08,2
844ba01ffffffff-2023-09,4
844ba01ffffffff-2023-10,2
844ba01ffffffff-2023-11,5
844ba03ffffffff-2012-04,1
844ba03ffffffff-2012-06,1
844ba03ffffffff-2013-04,2
844ba03ffffffff-2013-05,1
844ba03ffffffff-2013-06,4
844ba03ffffffff-2014-02,5
844ba03ffffffff-2014-04,4
844ba03ffffffff-2014-06,1
844ba03ffffffff-2014-10,1
844ba03ffffffff-2015-04,4
844ba03ffffffff-2015-05,1
844ba03ffffffff-2015-06,6
844ba03ffffffff-2015-07,1
844ba03ffffffff-2015-11,1
844ba03ffffffff-2016-02,1
