index,n
84541b9ffffffff-2018-11,4
8454a93ffffffff-2018-11,4
8454ac3ffffffff-2019-06,1
8454ac3ffffffff-2019-10,3
8454addffffffff-2019-06,1
8454addffffffff-2019-07,2
8454c43ffffffff-2022-12,1
8454c53ffffffff-2022-12,1
8454cc3ffffffff-2018-08,1
8454ccbffffffff-2023-02,1
8454e13ffffffff-2013-07,6
8454e13ffffffff-2016-04,2
8454e13ffffffff-2016-05,1
8454e13ffffffff-2018-04,1
8454e13ffffffff-2022-05,2
8454e1bffffffff-2017-09,1
8454ea9ffffffff-2013-07,4
8454ea9ffffffff-2020-08,1
8454ea9ffffffff-2021-05,2
8454ea9ffffffff-2021-06,1
8454ea9ffffffff-2022-04,1
8454ea9ffffffff-2022-10,2
8454eadffffffff-2022-11,1
8454eb3ffffffff-2019-12,1
8454ebbffffffff-2023-01,3
8454ec5ffffffff-2013-07,2
8454ec5ffffffff-2022-05,1
8454ec5ffffffff-2022-11,1
8454ee3ffffffff-2013-07,2
8454ee3ffffffff-2020-08,1
8454ee3ffffffff-2020-09,1
8454ee3ffffffff-2020-10,1
8454ee3ffffffff-2020-12,1
8454ee3ffffffff-2021-04,1
8454ee3ffffffff-2021-05,1
8454f01ffffffff-2020-12,1
8454f09ffffffff-2022-12,1
8454f0dffffffff-2015-04,1
8454f0dffffffff-2023-06,2
8454f1bffffffff-2020-01,1
8454f1bffffffff-2023-06,5
8454f1bffffffff-2023-07,1
8454f4dffffffff-2018-02,1
8454f57ffffffff-2020-01,1
8454f57ffffffff-2021-06,1
8454f57ffffffff-2022-06,1
8454f6bffffffff-2017-03,1
8454f6bffffffff-2019-07,1
8454f6bffffffff-2020-02,4
8454f6bffffffff-2021-10,2
8454f6bffffffff-2023-02,2
8454f6bffffffff-2023-10,1
8458839ffffffff-2013-06,1
8458883ffffffff-2019-06,4
8458883ffffffff-2022-05,1
845888bffffffff-2023-04,1
8458901ffffffff-2014-03,4
8458901ffffffff-2014-05,1
8458901ffffffff-2014-07,1
8458901ffffffff-2019-12,1
845890dffffffff-2013-10,1
845890dffffffff-2013-11,1
845890dffffffff-2014-04,2
845895bffffffff-2021-06,1
845895bffffffff-2021-07,2
8458961ffffffff-2018-11,1
8458961ffffffff-2019-11,1
8458961ffffffff-2023-01,1
8458963ffffffff-2015-01,1
8458963ffffffff-2016-11,1
8458963ffffffff-2018-11,1
8458963ffffffff-2019-09,1
8458963ffffffff-2019-12,1
8458963ffffffff-2021-07,1
8458963ffffffff-2022-01,4
8458963ffffffff-2023-01,2
8458963ffffffff-2023-04,2
8458965ffffffff-2017-06,1
8458965ffffffff-2023-03,1
8458965ffffffff-2023-10,9
8458967ffffffff-2017-09,1
8458967ffffffff-2022-05,1
84589c9ffffffff-2012-10,2
84589c9ffffffff-2022-10,1
84589c9ffffffff-2023-02,1
84589c9ffffffff-2023-05,2
84589cbffffffff-2022-02,1
8458c3dffffffff-2021-10,1
8458c3dffffffff-2022-10,3
8458c8bffffffff-2017-04,1
8458c8bffffffff-2020-06,3
8458c8bffffffff-2023-04,3
8458cd5ffffffff-2012-03,2
8458d1dffffffff-2020-10,1
8458da3ffffffff-2017-01,2
8458da3ffffffff-2017-03,2
8458db1ffffffff-2020-06,2
8458db1ffffffff-2023-05,2
8458debffffffff-2014-12,1
8458debffffffff-2016-12,1
8458debffffffff-2017-07,1
8458debffffffff-2018-06,2
8458debffffffff-2018-07,1
8458debffffffff-2019-08,7
8458debffffffff-2020-08,1
8458debffffffff-2020-12,1
8458debffffffff-2021-07,5
8458debffffffff-2023-01,3
8458e2dffffffff-2013-11,1
8458e2dffffffff-2016-11,4
8458e2dffffffff-2018-04,1
8458e2dffffffff-2018-05,6
8458e2dffffffff-2018-06,8
8458e2dffffffff-2018-07,11
8458e2dffffffff-2018-08,7
8458e2dffffffff-2018-09,1
8458e2dffffffff-2018-10,2
8458e2dffffffff-2018-11,1
8458e2dffffffff-2018-12,2
8458e2dffffffff-2019-05,2
8458e2dffffffff-2019-06,8
8458e2dffffffff-2019-07,4
8458e2dffffffff-2019-08,1
8458e2dffffffff-2019-09,3
8458e2dffffffff-2019-10,3
8458e2dffffffff-2019-11,6
8458e2dffffffff-2019-12,1
8458e2dffffffff-2020-01,1
8458e2dffffffff-2020-02,1
8458e2dffffffff-2020-04,5
8458e2dffffffff-2020-05,9
8458e2dffffffff-2020-10,2
8458e2dffffffff-2021-04,1
8458e2dffffffff-2021-05,1
8458e2dffffffff-2021-07,1
8458e2dffffffff-2021-08,1
8458e2dffffffff-2021-09,1
8458e2dffffffff-2021-10,10
8458e2dffffffff-2022-05,36
8458e2dffffffff-2022-06,6
8458e2dffffffff-2022-07,8
8458e2dffffffff-2022-08,14
8458e2dffffffff-2022-09,1
8458e2dffffffff-2022-10,15
8458e2dffffffff-2022-11,2
8458e2dffffffff-2022-12,2
8458e2dffffffff-2023-02,1
8458e2dffffffff-2023-03,3
8458e2dffffffff-2023-05,10
8458e2dffffffff-2023-06,6
8458e2dffffffff-2023-07,12
8458e2dffffffff-2023-08,11
8458e2dffffffff-2023-09,1
8458e2dffffffff-2023-10,4
8458e67ffffffff-2021-10,1
8458e67ffffffff-2022-05,2
8458f13ffffffff-2019-12,2
8458f47ffffffff-2012-10,1
8458f47ffffffff-2022-11,1
8458f47ffffffff-2023-01,2
8458f47ffffffff-2023-05,1
8458f47ffffffff-2023-06,1
8458f47ffffffff-2023-08,2
8458f53ffffffff-2017-09,1
8458f59ffffffff-2023-09,1
8458f5bffffffff-2016-11,2
8458f5bffffffff-2018-07,1
8458f5bffffffff-2019-10,1
8458f5bffffffff-2019-12,1
8458f5bffffffff-2021-02,1
8458f5bffffffff-2021-08,1
8458f5bffffffff-2022-05,1
8458f5bffffffff-2022-06,4
8458f5bffffffff-2022-07,1
8458f5bffffffff-2022-12,2
8458f5bffffffff-2023-01,3
8458f5bffffffff-2023-02,3
8458f5bffffffff-2023-04,1
8458f5bffffffff-2023-05,1
8458f5bffffffff-2023-07,2
8458f5bffffffff-2023-09,1
8458f5bffffffff-2023-11,1
8458f5dffffffff-2019-10,1
846a5a9ffffffff-2018-05,2
846a5a9ffffffff-2019-07,2
846a5a9ffffffff-2019-08,4
846a5a9ffffffff-2020-01,1
846a5a9ffffffff-2020-10,1
846a5a9ffffffff-2021-06,2
846a5a9ffffffff-2021-12,1
846a5a9ffffffff-2022-04,1
846a5a9ffffffff-2022-05,5
846a5a9ffffffff-2022-06,1
846a5a9ffffffff-2022-07,1
846a5a9ffffffff-2023-11,1
846a5abffffffff-2023-06,2
846ac03ffffffff-2016-11,2
846ac03ffffffff-2017-05,2
846ac03ffffffff-2017-11,1
846ac03ffffffff-2018-03,1
846ac03ffffffff-2019-03,1
846ac03ffffffff-2019-07,1
846ac03ffffffff-2019-09,1
846ac03ffffffff-2021-02,3
846ac03ffffffff-2021-07,1
846ac03ffffffff-2021-09,2
846ac03ffffffff-2021-10,1
846ac03ffffffff-2021-11,1
846ac03ffffffff-2022-02,2
846ac03ffffffff-2022-06,1
846ac03ffffffff-2022-07,3
846ac03ffffffff-2022-09,1
846ac03ffffffff-2022-10,1
846ac03ffffffff-2022-12,1
846ac03ffffffff-2023-01,3
846ac03ffffffff-2023-03,5
846ac03ffffffff-2023-05,1
846ac03ffffffff-2023-06,1
846ac03ffffffff-2023-10,3
846ac0bffffffff-2012-09,1
846ac0bffffffff-2013-03,1
846ac0bffffffff-2014-11,1
846ac0bffffffff-2015-07,2
846ac0bffffffff-2017-08,1
846ac0bffffffff-2023-03,5
846ac15ffffffff-2012-12,1
846ac15ffffffff-2013-07,1
846ac15ffffffff-2017-07,1
846ac15ffffffff-2018-06,1
846ac15ffffffff-2018-07,2
846ac15ffffffff-2018-08,1
846ac15ffffffff-2018-12,2
846ac15ffffffff-2019-11,1
846ac15ffffffff-2019-12,3
846ac15ffffffff-2020-02,1
846ac15ffffffff-2020-03,1
846ac15ffffffff-2020-04,2
846ac15ffffffff-2020-06,1
846ac15ffffffff-2020-08,2
846ac15ffffffff-2020-09,2
846ac15ffffffff-2020-10,3
846ac15ffffffff-2020-11,2
846ac15ffffffff-2020-12,1
846ac15ffffffff-2021-01,3
846ac15ffffffff-2021-02,7
846ac15ffffffff-2021-04,1
846ac15ffffffff-2021-05,3
846ac15ffffffff-2021-07,3
846ac15ffffffff-2021-08,4
846ac15ffffffff-2021-09,3
846ac15ffffffff-2021-10,8
846ac15ffffffff-2021-11,4
846ac15ffffffff-2021-12,3
846ac15ffffffff-2022-01,5
846ac15ffffffff-2022-02,9
846ac15ffffffff-2022-03,9
846ac15ffffffff-2022-04,1
846ac15ffffffff-2022-05,8
846ac15ffffffff-2022-06,6
846ac15ffffffff-2022-07,1
846ac15ffffffff-2022-09,4
846ac15ffffffff-2022-11,4
846ac15ffffffff-2022-12,3
846ac15ffffffff-2023-01,1
846ac15ffffffff-2023-02,4
846ac15ffffffff-2023-03,1
846ac15ffffffff-2023-04,1
846ac15ffffffff-2023-05,2
846ac15ffffffff-2023-06,2
846ac15ffffffff-2023-08,2
846ac15ffffffff-2023-09,1
846ac15ffffffff-2023-10,4
846ac15ffffffff-2023-11,9
846ac17ffffffff-2023-09,4
846ac1bffffffff-2023-11,1
846ac1dffffffff-2013-03,4
846ac1dffffffff-2013-04,5
846ac1dffffffff-2013-05,5
846ac1dffffffff-2016-12,1
846ac1dffffffff-2017-01,2
846ac1dffffffff-2017-02,2
846ac1dffffffff-2019-03,2
846ac1dffffffff-2022-01,1
846ac1dffffffff-2022-02,2
846ac1dffffffff-2022-07,2
846ac1dffffffff-2022-08,1
846ac1dffffffff-2022-09,2
846ac1dffffffff-2022-11,1
846ac1dffffffff-2023-01,1
846ac23ffffffff-2023-10,1
846ac2bffffffff-2023-05,1
846ac31ffffffff-2015-01,2
846ac31ffffffff-2017-08,1
846ac31ffffffff-2017-10,2
846ac31ffffffff-2018-11,1
846ac31ffffffff-2018-12,1
846ac31ffffffff-2020-01,1
846ac31ffffffff-2021-02,2
846ac31ffffffff-2021-07,6
846ac31ffffffff-2022-02,1
846ac31ffffffff-2022-06,2
846ac31ffffffff-2022-07,4
846ac31ffffffff-2022-08,1
846ac31ffffffff-2022-12,1
846ac31ffffffff-2023-01,5
846ac31ffffffff-2023-02,6
846ac31ffffffff-2023-07,2
846ac31ffffffff-2023-09,2
846ac33ffffffff-2021-07,6
846ac33ffffffff-2021-11,2
846ac33ffffffff-2022-03,1
846ac33ffffffff-2022-08,2
846ac33ffffffff-2022-10,1
846ac35ffffffff-2016-03,1
846ac35ffffffff-2016-12,1
846ac35ffffffff-2017-06,1
846ac35ffffffff-2017-07,2
846ac35ffffffff-2018-05,2
846ac35ffffffff-2018-07,7
846ac35ffffffff-2018-08,1
846ac35ffffffff-2019-02,1
846ac35ffffffff-2019-12,1
846ac35ffffffff-2021-06,3
846ac35ffffffff-2021-07,6
846ac35ffffffff-2021-10,2
846ac35ffffffff-2022-01,4
846ac35ffffffff-2022-02,3
846ac35ffffffff-2022-08,1
846ac35ffffffff-2022-09,2
846ac35ffffffff-2022-10,3
846ac35ffffffff-2023-01,5
846ac35ffffffff-2023-06,2
846ac35ffffffff-2023-07,10
846ac35ffffffff-2023-08,1
846ac35ffffffff-2023-09,1
846ac37ffffffff-2020-01,1
846ac39ffffffff-2016-07,2
846ac39ffffffff-2017-12,4
846ac39ffffffff-2018-08,1
846ac39ffffffff-2018-09,1
846ac39ffffffff-2019-08,4
846ac39ffffffff-2022-06,2
846ac39ffffffff-2022-08,6
846ac39ffffffff-2022-09,2
846ac39ffffffff-2023-01,1
846ac39ffffffff-2023-03,2
846ac39ffffffff-2023-07,2
846ac3bffffffff-2020-10,3
846ac3bffffffff-2022-06,1
846ac3dffffffff-2012-01,4
846ac3dffffffff-2012-08,1
846ac3dffffffff-2013-03,1
846ac3dffffffff-2013-06,2
846ac3dffffffff-2013-07,3
846ac3dffffffff-2013-09,1
846ac3dffffffff-2014-02,6
846ac3dffffffff-2014-05,1
846ac3dffffffff-2014-06,3
846ac3dffffffff-2015-02,1
846ac3dffffffff-2015-04,2
846ac3dffffffff-2015-06,1
846ac3dffffffff-2015-07,2
846ac3dffffffff-2015-09,2
846ac3dffffffff-2015-10,1
846ac3dffffffff-2016-03,1
846ac3dffffffff-2016-07,1
846ac3dffffffff-2016-08,2
846ac3dffffffff-2016-11,19
846ac3dffffffff-2016-12,2
846ac3dffffffff-2017-01,3
846ac3dffffffff-2017-02,2
846ac3dffffffff-2017-04,3
846ac3dffffffff-2017-06,6
846ac3dffffffff-2017-07,4
846ac3dffffffff-2017-08,2
846ac3dffffffff-2017-10,2
846ac3dffffffff-2017-11,3
846ac3dffffffff-2018-05,1
846ac3dffffffff-2018-06,9
846ac3dffffffff-2018-07,31
846ac3dffffffff-2018-08,4
846ac3dffffffff-2018-09,6
846ac3dffffffff-2018-10,5
846ac3dffffffff-2018-11,13
846ac3dffffffff-2018-12,13
846ac3dffffffff-2019-01,1
846ac3dffffffff-2019-02,8
846ac3dffffffff-2019-03,7
846ac3dffffffff-2019-06,16
846ac3dffffffff-2019-07,8
846ac3dffffffff-2019-09,2
846ac3dffffffff-2019-10,1
846ac3dffffffff-2019-11,6
846ac3dffffffff-2019-12,1
846ac3dffffffff-2020-02,4
846ac3dffffffff-2020-03,3
846ac3dffffffff-2020-07,1
846ac3dffffffff-2020-09,2
846ac3dffffffff-2020-10,4
846ac3dffffffff-2020-12,2
846ac3dffffffff-2021-01,2
846ac3dffffffff-2021-02,2
846ac3dffffffff-2021-03,1
846ac3dffffffff-2021-06,22
846ac3dffffffff-2021-07,2
846ac3dffffffff-2021-08,7
846ac3dffffffff-2021-09,8
846ac3dffffffff-2021-11,1
846ac3dffffffff-2021-12,11
846ac3dffffffff-2022-01,4
846ac3dffffffff-2022-02,20
846ac3dffffffff-2022-03,4
846ac3dffffffff-2022-04,1
846ac3dffffffff-2022-05,4
846ac3dffffffff-2022-06,19
846ac3dffffffff-2022-07,35
846ac3dffffffff-2022-08,22
846ac3dffffffff-2022-09,27
846ac3dffffffff-2022-10,12
846ac3dffffffff-2022-11,3
846ac3dffffffff-2022-12,6
846ac3dffffffff-2023-01,4
846ac3dffffffff-2023-02,16
846ac3dffffffff-2023-03,6
846ac3dffffffff-2023-05,4
846ac3dffffffff-2023-06,6
846ac3dffffffff-2023-07,25
846ac3dffffffff-2023-08,41
846ac3dffffffff-2023-09,4
846ac3dffffffff-2023-10,2
846ac3dffffffff-2023-11,5
846ac51ffffffff-2018-06,1
846ac53ffffffff-2019-11,1
846ac53ffffffff-2023-03,2
846ac53ffffffff-2023-06,1
846ac53ffffffff-2023-08,1
846ac89ffffffff-2012-07,1
846ac89ffffffff-2012-11,1
846ac89ffffffff-2013-07,1
846ac89ffffffff-2014-02,2
846ac89ffffffff-2014-06,1
846ac89ffffffff-2014-09,3
846ac89ffffffff-2015-01,1
846ac89ffffffff-2015-07,5
846ac89ffffffff-2015-09,1
846ac89ffffffff-2015-11,3
846ac89ffffffff-2015-12,2
846ac89ffffffff-2016-03,1
846ac89ffffffff-2016-05,3
846ac89ffffffff-2016-06,2
846ac89ffffffff-2016-07,2
846ac89ffffffff-2016-08,2
846ac89ffffffff-2016-10,1
846ac89ffffffff-2016-11,14
846ac89ffffffff-2016-12,1
846ac89ffffffff-2017-01,2
846ac89ffffffff-2017-04,1
846ac89ffffffff-2017-05,8
846ac89ffffffff-2017-06,5
846ac89ffffffff-2017-07,9
846ac89ffffffff-2017-08,4
846ac89ffffffff-2017-09,3
846ac89ffffffff-2017-10,1
846ac89ffffffff-2017-11,3
846ac89ffffffff-2018-01,5
846ac89ffffffff-2018-03,1
846ac89ffffffff-2018-04,2
846ac89ffffffff-2018-05,9
846ac89ffffffff-2018-06,7
846ac89ffffffff-2018-07,30
846ac89ffffffff-2018-08,11
846ac89ffffffff-2018-10,1
846ac89ffffffff-2018-11,8
846ac89ffffffff-2018-12,1
846ac89ffffffff-2019-01,12
846ac89ffffffff-2019-02,5
846ac89ffffffff-2019-03,8
846ac89ffffffff-2019-05,9
846ac89ffffffff-2019-06,6
846ac89ffffffff-2019-07,4
846ac89ffffffff-2019-08,3
846ac89ffffffff-2019-09,3
846ac89ffffffff-2019-11,13
846ac89ffffffff-2019-12,21
846ac89ffffffff-2020-01,6
846ac89ffffffff-2020-02,2
846ac89ffffffff-2020-05,4
846ac89ffffffff-2020-09,1
846ac89ffffffff-2020-10,12
846ac89ffffffff-2020-12,1
846ac89ffffffff-2021-01,3
846ac89ffffffff-2021-02,3
846ac89ffffffff-2021-03,2
846ac89ffffffff-2021-04,2
846ac89ffffffff-2021-05,13
846ac89ffffffff-2021-06,6
846ac89ffffffff-2021-07,3
846ac89ffffffff-2021-08,7
846ac89ffffffff-2021-09,3
846ac89ffffffff-2021-10,10
846ac89ffffffff-2021-11,1
846ac89ffffffff-2021-12,2
846ac89ffffffff-2022-01,5
846ac89ffffffff-2022-02,9
846ac89ffffffff-2022-03,4
846ac89ffffffff-2022-04,3
846ac89ffffffff-2022-05,2
846ac89ffffffff-2022-06,3
846ac89ffffffff-2022-07,6
846ac89ffffffff-2022-08,7
846ac89ffffffff-2022-09,2
846ac89ffffffff-2022-10,2
846ac89ffffffff-2022-11,6
846ac89ffffffff-2022-12,1
