index,n
848b203ffffffff-2018-01,14
848b203ffffffff-2022-10,2
848b203ffffffff-2023-09,6
848b203ffffffff-2023-11,3
848b205ffffffff-2013-07,5
848b205ffffffff-2014-07,3
848b205ffffffff-2015-06,1
848b205ffffffff-2015-09,1
848b205ffffffff-2016-09,1
848b205ffffffff-2017-08,3
848b205ffffffff-2018-01,1
848b205ffffffff-2019-06,1
848b205ffffffff-2019-09,1
848b205ffffffff-2019-11,1
848b205ffffffff-2020-01,1
848b205ffffffff-2020-09,1
848b205ffffffff-2020-10,2
848b205ffffffff-2021-03,3
848b205ffffffff-2022-06,3
848b205ffffffff-2022-08,7
848b205ffffffff-2023-09,7
848b205ffffffff-2023-10,2
848b211ffffffff-2021-05,3
848b211ffffffff-2021-08,1
848b211ffffffff-2021-10,3
848b213ffffffff-2021-10,1
848b215ffffffff-2023-01,2
848b21dffffffff-2023-08,1
848b229ffffffff-2012-01,2
848b229ffffffff-2012-07,2
848b229ffffffff-2012-09,2
848b229ffffffff-2012-10,1
848b229ffffffff-2013-08,2
848b229ffffffff-2013-11,2
848b229ffffffff-2014-11,1
848b229ffffffff-2015-03,1
848b229ffffffff-2015-09,5
848b229ffffffff-2015-10,1
848b229ffffffff-2015-11,1
848b229ffffffff-2016-02,2
848b229ffffffff-2016-07,4
848b229ffffffff-2016-09,1
848b229ffffffff-2016-10,2
848b229ffffffff-2016-11,6
848b229ffffffff-2017-03,3
848b229ffffffff-2017-06,1
848b229ffffffff-2017-07,6
848b229ffffffff-2017-08,4
848b229ffffffff-2017-09,2
848b229ffffffff-2017-11,2
848b229ffffffff-2018-05,1
848b229ffffffff-2018-08,3
848b229ffffffff-2018-09,8
848b229ffffffff-2018-10,4
848b229ffffffff-2018-11,4
848b229ffffffff-2019-01,3
848b229ffffffff-2019-04,1
848b229ffffffff-2019-05,1
848b229ffffffff-2019-06,4
848b229ffffffff-2019-07,3
848b229ffffffff-2019-08,3
848b229ffffffff-2019-09,2
848b229ffffffff-2019-10,2
848b229ffffffff-2020-05,1
848b229ffffffff-2020-10,1
848b229ffffffff-2020-12,2
848b229ffffffff-2021-05,1
848b229ffffffff-2021-10,1
848b229ffffffff-2021-11,4
