index,n
8445889ffffffff-2012-02,2
8445889ffffffff-2012-03,7
8445889ffffffff-2012-04,2
8445889ffffffff-2012-11,5
8445889ffffffff-2013-02,3
8445889ffffffff-2013-03,13
8445889ffffffff-2013-04,4
8445889ffffffff-2013-11,1
8445889ffffffff-2014-01,2
8445889ffffffff-2014-02,2
8445889ffffffff-2014-03,12
8445889ffffffff-2014-04,9
8445889ffffffff-2014-07,1
8445889ffffffff-2014-10,2
8445889ffffffff-2014-12,2
8445889ffffffff-2015-01,9
8445889ffffffff-2015-02,31
8445889ffffffff-2015-03,1
8445889ffffffff-2015-04,2
8445889ffffffff-2015-11,1
8445889ffffffff-2015-12,1
8445889ffffffff-2016-01,21
8445889ffffffff-2016-02,13
8445889ffffffff-2016-03,7
8445889ffffffff-2016-04,4
8445889ffffffff-2016-09,4
8445889ffffffff-2016-10,6
8445889ffffffff-2016-11,10
8445889ffffffff-2016-12,3
8445889ffffffff-2017-01,18
8445889ffffffff-2017-03,7
8445889ffffffff-2017-04,6
8445889ffffffff-2017-07,17
8445889ffffffff-2017-10,1
8445889ffffffff-2017-11,2
8445889ffffffff-2017-12,5
8445889ffffffff-2018-01,12
8445889ffffffff-2018-02,23
8445889ffffffff-2018-03,18
8445889ffffffff-2018-04,13
8445889ffffffff-2018-07,1
8445889ffffffff-2018-09,2
8445889ffffffff-2018-10,2
8445889ffffffff-2018-11,6
8445889ffffffff-2018-12,15
8445889ffffffff-2019-01,16
8445889ffffffff-2019-02,15
8445889ffffffff-2019-03,14
8445889ffffffff-2019-04,10
8445889ffffffff-2019-05,5
8445889ffffffff-2019-10,1
8445889ffffffff-2019-11,7
8445889ffffffff-2019-12,3
8445889ffffffff-2020-02,7
8445889ffffffff-2020-03,3
8445889ffffffff-2020-10,1
8445889ffffffff-2021-01,1
8445889ffffffff-2021-02,3
8445889ffffffff-2022-02,1
8445889ffffffff-2022-03,3
8445889ffffffff-2022-04,3
8445889ffffffff-2022-11,9
8445889ffffffff-2022-12,11
8445889ffffffff-2023-01,22
8445889ffffffff-2023-02,11
8445889ffffffff-2023-03,19
8445889ffffffff-2023-04,10
8445889ffffffff-2023-05,3
8445889ffffffff-2023-08,1
8445889ffffffff-2023-10,14
8445889ffffffff-2023-11,20
84458c3ffffffff-2012-01,1
84458c3ffffffff-2012-03,2
84458c3ffffffff-2017-04,2
84458c3ffffffff-2018-02,1
84458c3ffffffff-2019-11,1
84458c7ffffffff-2017-01,2
84458c7ffffffff-2017-03,1
84458c7ffffffff-2018-01,2
84458d5ffffffff-2012-02,2
84458d5ffffffff-2012-04,3
84458d5ffffffff-2013-02,2
84458d5ffffffff-2013-03,6
84458d5ffffffff-2013-04,2
84458d5ffffffff-2014-02,1
84458d5ffffffff-2014-12,1
84458d5ffffffff-2015-01,1
84458d5ffffffff-2015-02,1
84458d5ffffffff-2015-08,1
84458d5ffffffff-2015-12,1
84458d5ffffffff-2016-01,1
84458d5ffffffff-2016-02,2
84458d5ffffffff-2016-03,14
84458d5ffffffff-2016-04,15
84458d5ffffffff-2016-05,1
84458d5ffffffff-2016-12,7
84458d5ffffffff-2017-01,19
84458d5ffffffff-2017-02,27
84458d5ffffffff-2017-03,24
84458d5ffffffff-2017-04,22
84458d5ffffffff-2017-05,3
84458d5ffffffff-2017-07,21
84458d5ffffffff-2017-10,7
84458d5ffffffff-2017-11,12
84458d5ffffffff-2017-12,25
84458d5ffffffff-2018-01,6
84458d5ffffffff-2018-02,19
84458d5ffffffff-2018-03,17
84458d5ffffffff-2018-04,21
84458d5ffffffff-2018-08,3
84458d5ffffffff-2018-09,1
84458d5ffffffff-2018-10,7
84458d5ffffffff-2018-11,14
84458d5ffffffff-2018-12,16
84458d5ffffffff-2019-01,15
84458d5ffffffff-2019-02,25
84458d5ffffffff-2019-03,24
84458d5ffffffff-2019-04,13
84458d5ffffffff-2019-05,4
84458d5ffffffff-2019-07,3
84458d5ffffffff-2019-10,2
84458d5ffffffff-2019-11,22
84458d5ffffffff-2019-12,8
84458d5ffffffff-2020-01,21
84458d5ffffffff-2020-02,40
84458d5ffffffff-2020-03,12
84458d5ffffffff-2020-10,2
84458d5ffffffff-2020-11,2
84458d5ffffffff-2021-12,2
84458d5ffffffff-2022-01,3
84458d5ffffffff-2022-02,4
84458d5ffffffff-2022-03,17
84458d5ffffffff-2022-04,8
84458d5ffffffff-2022-05,1
84458d5ffffffff-2022-08,1
84458d5ffffffff-2022-09,3
84458d5ffffffff-2022-11,9
84458d5ffffffff-2022-12,9
84458d5ffffffff-2023-01,28
84458d5ffffffff-2023-02,12
84458d5ffffffff-2023-03,23
84458d5ffffffff-2023-04,7
84458d5ffffffff-2023-05,6
84458d5ffffffff-2023-11,1
84458e1ffffffff-2023-01,1
8445981ffffffff-2012-01,1
8445981ffffffff-2012-02,2
8445981ffffffff-2012-11,4
8445981ffffffff-2013-02,4
8445981ffffffff-2013-04,3
8445981ffffffff-2013-10,1
8445981ffffffff-2014-01,4
8445981ffffffff-2014-04,9
8445981ffffffff-2014-12,1
8445981ffffffff-2015-01,1
8445981ffffffff-2015-02,5
8445981ffffffff-2015-03,1
8445981ffffffff-2015-04,1
8445981ffffffff-2015-11,3
8445981ffffffff-2016-01,6
8445981ffffffff-2016-04,4
8445981ffffffff-2016-11,2
8445981ffffffff-2016-12,4
8445981ffffffff-2017-01,14
8445981ffffffff-2017-02,11
8445981ffffffff-2017-03,20
8445981ffffffff-2017-04,17
8445981ffffffff-2017-07,3
8445981ffffffff-2017-11,4
8445981ffffffff-2018-02,1
8445981ffffffff-2018-03,1
8445981ffffffff-2018-10,4
8445981ffffffff-2018-11,17
8445981ffffffff-2018-12,21
8445981ffffffff-2019-01,9
8445981ffffffff-2019-02,16
8445981ffffffff-2019-03,48
8445981ffffffff-2019-04,25
8445981ffffffff-2019-05,1
8445981ffffffff-2019-06,1
8445981ffffffff-2019-10,1
8445981ffffffff-2019-11,10
8445981ffffffff-2019-12,8
8445981ffffffff-2020-01,1
8445981ffffffff-2020-02,31
8445981ffffffff-2020-03,11
8445981ffffffff-2021-02,1
8445981ffffffff-2022-01,2
8445981ffffffff-2022-02,2
8445981ffffffff-2022-03,20
8445981ffffffff-2022-10,1
8445981ffffffff-2022-12,6
8445981ffffffff-2023-02,18
8445981ffffffff-2023-03,33
8445981ffffffff-2023-04,7
8445981ffffffff-2023-05,1
8445981ffffffff-2023-07,1
8445981ffffffff-2023-10,1
8445981ffffffff-2023-11,8
8445989ffffffff-2012-02,3
8445989ffffffff-2012-10,1
8445989ffffffff-2012-11,3
8445989ffffffff-2013-02,1
8445989ffffffff-2013-03,18
8445989ffffffff-2013-04,3
8445989ffffffff-2013-11,1
8445989ffffffff-2014-01,1
8445989ffffffff-2014-03,1
8445989ffffffff-2014-04,1
8445989ffffffff-2014-12,1
8445989ffffffff-2015-02,14
8445989ffffffff-2015-03,2
8445989ffffffff-2016-01,1
8445989ffffffff-2016-02,6
8445989ffffffff-2016-03,18
8445989ffffffff-2016-04,3
8445989ffffffff-2016-11,3
8445989ffffffff-2016-12,1
8445989ffffffff-2017-01,2
8445989ffffffff-2017-02,8
8445989ffffffff-2017-03,15
8445989ffffffff-2017-04,6
8445989ffffffff-2017-12,23
8445989ffffffff-2018-01,5
8445989ffffffff-2018-02,20
8445989ffffffff-2018-03,5
8445989ffffffff-2018-04,20
8445989ffffffff-2018-11,7
8445989ffffffff-2018-12,17
8445989ffffffff-2019-01,15
8445989ffffffff-2019-02,2
8445989ffffffff-2019-03,5
8445989ffffffff-2019-07,1
8445989ffffffff-2019-10,1
8445989ffffffff-2019-11,1
8445989ffffffff-2020-01,1
8445989ffffffff-2020-02,1
8445989ffffffff-2022-03,4
8445989ffffffff-2022-04,2
8445989ffffffff-2022-09,1
8445989ffffffff-2022-11,1
8445989ffffffff-2022-12,1
8445989ffffffff-2023-01,3
8445989ffffffff-2023-02,2
8445989ffffffff-2023-04,3
8445989ffffffff-2023-05,1
8445989ffffffff-2023-11,1
844598bffffffff-2012-10,1
844598bffffffff-2014-03,1
844598bffffffff-2015-02,1
844598bffffffff-2015-03,3
844598bffffffff-2016-03,2
844598bffffffff-2016-04,3
844598bffffffff-2022-02,1
844598bffffffff-2023-03,4
844598dffffffff-2012-01,2
844598dffffffff-2012-04,2
844598dffffffff-2012-12,1
844598dffffffff-2013-02,1
844598dffffffff-2013-03,1
844598dffffffff-2014-02,1
844598dffffffff-2014-04,2
844598dffffffff-2015-02,7
844598dffffffff-2015-03,1
844598dffffffff-2015-11,11
844598dffffffff-2016-01,7
844598dffffffff-2016-02,7
844598dffffffff-2016-04,1
844598dffffffff-2016-09,4
844598dffffffff-2016-11,8
844598dffffffff-2017-01,2
844598dffffffff-2017-02,1
844598dffffffff-2017-03,12
844598dffffffff-2017-04,3
844598dffffffff-2017-07,5
844598dffffffff-2017-12,3
844598dffffffff-2018-10,2
844598dffffffff-2019-10,1
844598dffffffff-2019-12,1
844598dffffffff-2020-02,1
84459c3ffffffff-2023-05,1
84459d7ffffffff-2023-03,7
844c981ffffffff-2013-04,1
844c981ffffffff-2019-06,2
844c981ffffffff-2020-02,1
844c981ffffffff-2020-08,1
844c981ffffffff-2022-02,4
844c981ffffffff-2022-09,4
844c981ffffffff-2023-09,1
844c985ffffffff-2012-03,1
844c985ffffffff-2015-01,3
844c985ffffffff-2020-08,1
844c985ffffffff-2022-02,4
844c985ffffffff-2022-03,1
844c985ffffffff-2022-04,3
844c985ffffffff-2022-05,3
844c985ffffffff-2022-07,3
844c985ffffffff-2023-01,3
844c985ffffffff-2023-05,1
844c985ffffffff-2023-07,1
844c98bffffffff-2020-03,1
844c98bffffffff-2020-07,2
844c98bffffffff-2022-09,3
844c98bffffffff-2023-09,2
